Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
 1411520 |  4.29e-05 |     -- |  1.79e+00 |  2.43e+00 |     -- |  4.66e+00 |  8.92e+00
 1437184 |  4.14e-05 |     -- |  1.58e+00 |  2.22e+00 |     -- |  4.57e+00 |  8.80e+00
 1462848 |  4.08e-05 |     -- |  1.60e+00 |  2.16e+00 |     -- |  4.54e+00 |  8.77e+00
 1488512 |  4.23e-05 |     -- |  1.74e+00 |  2.41e+00 |     -- |  4.60e+00 |  8.86e+00
 1514176 |  4.03e-05 |     -- |  1.67e+00 |  2.24e+00 |     -- |  4.49e+00 |  8.68e+00
 1539840 |  3.95e-05 |     -- |  1.61e+00 |  2.20e+00 |     -- |  4.48e+00 |  8.60e+00
 1565504 |  3.99e-05 |     -- |  1.62e+00 |  2.19e+00 |     -- |  4.48e+00 |  8.64e+00
 1591168 |  3.81e-05 |     -- |  1.63e+00 |  2.29e+00 |     -- |  4.39e+00 |  8.42e+00
 1616832 |  3.82e-05 |     -- |  1.54e+00 |  2.10e+00 |     -- |  4.40e+00 |  8.48e+00
 1642496 |  3.88e-05 |     -- |  1.63e+00 |  2.24e+00 |     -- |  4.46e+00 |  8.51e+00
 1668160 |  3.68e-05 |     -- |  1.64e+00 |  2.19e+00 |     -- |  4.33e+00 |  8.29e+00
 1693824 |  3.49e-05 |     -- |  1.51e+00 |  2.13e+00 |     -- |  4.24e+00 |  8.08e+00
 1719488 |  3.78e-05 |     -- |  1.67e+00 |  2.27e+00 |     -- |  4.39e+00 |  8.38e+00
 1745152 |  3.62e-05 |     -- |  1.43e+00 |  2.04e+00 |     -- |  4.29e+00 |  8.24e+00
 1770816 |  3.89e-05 |     -- |  1.57e+00 |  2.13e+00 |     -- |  4.51e+00 |  8.55e+00
 1796480 |  3.62e-05 |     -- |  1.48e+00 |  2.07e+00 |     -- |  4.29e+00 |  8.24e+00
 1822144 |  3.56e-05 |     -- |  1.46e+00 |  2.09e+00 |     -- |  4.25e+00 |  8.16e+00
 1847808 |  3.38e-05 |     -- |  1.48e+00 |  2.03e+00 |     -- |  4.20e+00 |  7.95e+00
 1873472 |  3.19e-05 |     -- |  1.35e+00 |  1.85e+00 |     -- |  4.10e+00 |  7.77e+00
 1899136 |  3.58e-05 |     -- |  1.56e+00 |  2.18e+00 |     -- |  4.28e+00 |  8.16e+00
 1924800 |  3.51e-05 |     -- |  1.55e+00 |  2.12e+00 |     -- |  4.25e+00 |  8.09e+00
 1950464 |  3.33e-05 |     -- |  1.42e+00 |  1.97e+00 |     -- |  4.16e+00 |  7.91e+00
 1976128 |  3.40e-05 |     -- |  1.49e+00 |  2.03e+00 |     -- |  4.18e+00 |  7.97e+00
 2001792 |  3.19e-05 |     -- |  1.45e+00 |  1.99e+00 |     -- |  4.07e+00 |  7.74e+00
 2027456 |  3.17e-05 |     -- |  1.34e+00 |  1.85e+00 |     -- |  4.07e+00 |  7.73e+00
 2053120 |  3.22e-05 |     -- |  1.52e+00 |  2.12e+00 |     -- |  4.08e+00 |  7.72e+00
 2078784 |  3.14e-05 |     -- |  1.38e+00 |  1.88e+00 |     -- |  4.07e+00 |  7.69e+00
 2104448 |  3.07e-05 |     -- |  1.39e+00 |  1.91e+00 |     -- |  4.02e+00 |  7.59e+00
 2130112 |  3.10e-05 |     -- |  1.44e+00 |  1.93e+00 |     -- |  4.05e+00 |  7.63e+00
 2155776 |  3.11e-05 |     -- |  1.43e+00 |  1.98e+00 |     -- |  4.04e+00 |  7.63e+00
 2181440 |  2.84e-05 |     -- |  1.31e+00 |  1.76e+00 |     -- |  3.88e+00 |  7.32e+00
 2207104 |  3.16e-05 |     -- |  1.54e+00 |  2.06e+00 |     -- |  4.05e+00 |  7.66e+00
 2232768 |  2.88e-05 |     -- |  1.30e+00 |  1.76e+00 |     -- |  3.93e+00 |  7.38e+00
 2258432 |  2.96e-05 |     -- |  1.37e+00 |  1.87e+00 |     -- |  3.92e+00 |  7.45e+00
 2284096 |  3.04e-05 |     -- |  1.39e+00 |  1.95e+00 |     -- |  3.99e+00 |  7.53e+00
 2309760 |  2.92e-05 |     -- |  1.34e+00 |  1.91e+00 |     -- |  3.92e+00 |  7.39e+00
 2335424 |  3.27e-05 |     -- |  1.37e+00 |  1.99e+00 |     -- |  4.07e+00 |  7.81e+00
 2361088 |  2.75e-05 |     -- |  1.19e+00 |  1.66e+00 |     -- |  3.83e+00 |  7.22e+00
