Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  220275 |  1.08e-03 |     -- |  7.97e+00 |  1.03e+01 |     -- |  2.96e+01 |  4.53e+01
  224280 |  1.11e-03 |     -- |  8.45e+00 |  1.08e+01 |     -- |  3.00e+01 |  4.59e+01
  228285 |  1.05e-03 |     -- |  8.34e+00 |  1.09e+01 |     -- |  2.88e+01 |  4.45e+01
  232290 |  1.03e-03 |     -- |  7.06e+00 |  9.34e+00 |     -- |  2.89e+01 |  4.44e+01
  236295 |  1.02e-03 |     -- |  7.08e+00 |  9.05e+00 |     -- |  2.86e+01 |  4.42e+01
  240300 |  1.02e-03 |     -- |  8.30e+00 |  1.05e+01 |     -- |  2.88e+01 |  4.40e+01
  244305 |  1.02e-03 |     -- |  7.63e+00 |  9.92e+00 |     -- |  2.86e+01 |  4.41e+01
  248310 |  1.01e-03 |     -- |  8.19e+00 |  1.01e+01 |     -- |  2.85e+01 |  4.37e+01
  252315 |  9.48e-04 |     -- |  8.52e+00 |  1.09e+01 |     -- |  2.79e+01 |  4.22e+01
  256320 |  9.78e-04 |     -- |  6.95e+00 |  8.76e+00 |     -- |  2.80e+01 |  4.33e+01
  260325 |  9.50e-04 |     -- |  6.70e+00 |  8.77e+00 |     -- |  2.77e+01 |  4.27e+01
  264330 |  9.87e-04 |     -- |  7.24e+00 |  9.53e+00 |     -- |  2.85e+01 |  4.34e+01
  268335 |  9.36e-04 |     -- |  7.09e+00 |  9.48e+00 |     -- |  2.72e+01 |  4.22e+01
  272340 |  9.48e-04 |     -- |  8.24e+00 |  1.01e+01 |     -- |  2.77e+01 |  4.24e+01
  276345 |  9.15e-04 |     -- |  6.37e+00 |  8.46e+00 |     -- |  2.76e+01 |  4.19e+01
  280350 |  9.00e-04 |     -- |  7.11e+00 |  9.35e+00 |     -- |  2.73e+01 |  4.14e+01
  284355 |  8.90e-04 |     -- |  8.87e+00 |  1.12e+01 |     -- |  2.66e+01 |  4.07e+01
