Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  220275 |  3.01e-03 |     -- |  1.03e+01 |  1.30e+01 |     -- |  5.16e+01 |  7.65e+01
  224280 |  2.97e-03 |     -- |  1.10e+01 |  1.36e+01 |     -- |  5.09e+01 |  7.59e+01
  228285 |  3.00e-03 |     -- |  9.31e+00 |  1.18e+01 |     -- |  5.12e+01 |  7.66e+01
  232290 |  2.90e-03 |     -- |  1.05e+01 |  1.32e+01 |     -- |  5.02e+01 |  7.50e+01
  236295 |  3.18e-03 |     -- |  9.19e+00 |  1.19e+01 |     -- |  5.25e+01 |  7.88e+01
  240300 |  2.89e-03 |     -- |  9.67e+00 |  1.22e+01 |     -- |  5.04e+01 |  7.51e+01
  244305 |  2.80e-03 |     -- |  9.78e+00 |  1.25e+01 |     -- |  4.95e+01 |  7.38e+01
  248310 |  2.80e-03 |     -- |  9.43e+00 |  1.20e+01 |     -- |  4.94e+01 |  7.39e+01
  252315 |  2.77e-03 |     -- |  1.07e+01 |  1.35e+01 |     -- |  4.92e+01 |  7.32e+01
  256320 |  2.83e-03 |     -- |  1.01e+01 |  1.27e+01 |     -- |  4.98e+01 |  7.42e+01
  260325 |  2.86e-03 |     -- |  8.77e+00 |  1.10e+01 |     -- |  4.99e+01 |  7.48e+01
  264330 |  2.83e-03 |     -- |  9.67e+00 |  1.24e+01 |     -- |  4.99e+01 |  7.42e+01
  268335 |  2.63e-03 |     -- |  1.05e+01 |  1.32e+01 |     -- |  4.80e+01 |  7.13e+01
  272340 |  2.63e-03 |     -- |  9.32e+00 |  1.18e+01 |     -- |  4.81e+01 |  7.16e+01
  276345 |  2.72e-03 |     -- |  9.08e+00 |  1.14e+01 |     -- |  4.86e+01 |  7.28e+01
  280350 |  2.57e-03 |     -- |  9.32e+00 |  1.19e+01 |     -- |  4.76e+01 |  7.07e+01
  284355 |  2.60e-03 |     -- |  9.35e+00 |  1.18e+01 |     -- |  4.77e+01 |  7.12e+01
  288360 |  2.74e-03 |     -- |  7.99e+00 |  1.04e+01 |     -- |  4.91e+01 |  7.34e+01
  292365 |  2.57e-03 |     -- |  1.08e+01 |  1.34e+01 |     -- |  4.74e+01 |  7.05e+01
  296370 |  2.51e-03 |     -- |  1.00e+01 |  1.26e+01 |     -- |  4.70e+01 |  6.98e+01
  300375 |  2.49e-03 |     -- |  9.39e+00 |  1.20e+01 |     -- |  4.69e+01 |  6.95e+01
  304380 |  2.50e-03 |     -- |  1.02e+01 |  1.30e+01 |     -- |  4.67e+01 |  6.96e+01
  308385 |  2.45e-03 |     -- |  8.72e+00 |  1.12e+01 |     -- |  4.63e+01 |  6.91e+01
  312390 |  2.47e-03 |     -- |  8.18e+00 |  1.05e+01 |     -- |  4.65e+01 |  6.95e+01
  316395 |  2.39e-03 |     -- |  9.09e+00 |  1.14e+01 |     -- |  4.61e+01 |  6.82e+01
  320400 |  2.43e-03 |     -- |  9.61e+00 |  1.21e+01 |     -- |  4.65e+01 |  6.87e+01
  324405 |  2.38e-03 |     -- |  8.69e+00 |  1.08e+01 |     -- |  4.59e+01 |  6.81e+01
  328410 |  2.47e-03 |     -- |  8.65e+00 |  1.10e+01 |     -- |  4.67e+01 |  6.95e+01
  332415 |  2.46e-03 |     -- |  8.60e+00 |  1.10e+01 |     -- |  4.67e+01 |  6.93e+01
  336420 |  2.28e-03 |     -- |  8.93e+00 |  1.12e+01 |     -- |  4.49e+01 |  6.67e+01
  340425 |  2.53e-03 |     -- |  8.22e+00 |  1.04e+01 |     -- |  4.72e+01 |  7.04e+01
  344430 |  2.32e-03 |     -- |  8.61e+00 |  1.08e+01 |     -- |  4.55e+01 |  6.73e+01
  348435 |  2.48e-03 |     -- |  9.47e+00 |  1.19e+01 |     -- |  4.66e+01 |  6.94e+01
  352440 |  2.21e-03 |     -- |  8.31e+00 |  1.05e+01 |     -- |  4.45e+01 |  6.56e+01
  356445 |  2.18e-03 |     -- |  9.02e+00 |  1.13e+01 |     -- |  4.40e+01 |  6.51e+01
  360450 |  2.24e-03 |     -- |  9.38e+00 |  1.20e+01 |     -- |  4.45e+01 |  6.58e+01
  364455 |  2.24e-03 |     -- |  8.59e+00 |  1.10e+01 |     -- |  4.46e+01 |  6.61e+01
  368460 |  2.28e-03 |     -- |  9.34e+00 |  1.19e+01 |     -- |  4.49e+01 |  6.65e+01
  372465 |  2.19e-03 |     -- |  8.63e+00 |  1.11e+01 |     -- |  4.40e+01 |  6.52e+01
  376470 |  2.22e-03 |     -- |  8.72e+00 |  1.10e+01 |     -- |  4.46e+01 |  6.57e+01
  380475 |  2.16e-03 |     -- |  9.23e+00 |  1.16e+01 |     -- |  4.38e+01 |  6.46e+01
  384480 |  2.47e-03 |     -- |  7.81e+00 |  9.78e+00 |     -- |  4.65e+01 |  6.96e+01
  388485 |  2.09e-03 |     -- |  9.50e+00 |  1.19e+01 |     -- |  4.33e+01 |  6.35e+01
  392490 |  2.22e-03 |     -- |  1.10e+01 |  1.34e+01 |     -- |  4.44e+01 |  6.52e+01
  396495 |  2.10e-03 |     -- |  9.53e+00 |  1.21e+01 |     -- |  4.31e+01 |  6.37e+01
  400500 |  2.25e-03 |     -- |  8.92e+00 |  1.14e+01 |     -- |  4.45e+01 |  6.61e+01
  404505 |  1.99e-03 |     -- |  8.12e+00 |  1.02e+01 |     -- |  4.24e+01 |  6.23e+01
  408510 |  1.98e-03 |     -- |  9.24e+00 |  1.14e+01 |     -- |  4.21e+01 |  6.18e+01
  412515 |  2.00e-03 |     -- |  8.51e+00 |  1.08e+01 |     -- |  4.25e+01 |  6.23e+01
  416520 |  2.30e-03 |     -- |  7.03e+00 |  9.11e+00 |     -- |  4.53e+01 |  6.73e+01
  420525 |  2.03e-03 |     -- |  7.74e+00 |  9.80e+00 |     -- |  4.27e+01 |  6.29e+01
  424530 |  1.96e-03 |     -- |  8.52e+00 |  1.08e+01 |     -- |  4.20e+01 |  6.17e+01
  428535 |  2.00e-03 |     -- |  9.07e+00 |  1.14e+01 |     -- |  4.22e+01 |  6.22e+01
  432540 |  2.12e-03 |     -- |  9.19e+00 |  1.16e+01 |     -- |  4.33e+01 |  6.41e+01
  436545 |  1.94e-03 |     -- |  7.98e+00 |  1.01e+01 |     -- |  4.20e+01 |  6.15e+01
  440550 |  1.99e-03 |     -- |  8.46e+00 |  1.10e+01 |     -- |  4.25e+01 |  6.22e+01
  444555 |  1.98e-03 |     -- |  8.20e+00 |  1.04e+01 |     -- |  4.24e+01 |  6.21e+01
  448560 |  1.87e-03 |     -- |  8.61e+00 |  1.11e+01 |     -- |  4.13e+01 |  6.01e+01
  452565 |  1.89e-03 |     -- |  8.38e+00 |  1.09e+01 |     -- |  4.12e+01 |  6.04e+01
  456570 |  1.95e-03 |     -- |  8.45e+00 |  1.07e+01 |     -- |  4.20e+01 |  6.16e+01
  460575 |  1.88e-03 |     -- |  8.07e+00 |  1.03e+01 |     -- |  4.13e+01 |  6.05e+01
  464580 |  1.83e-03 |     -- |  7.90e+00 |  9.82e+00 |     -- |  4.09e+01 |  5.98e+01
  468585 |  1.91e-03 |     -- |  8.06e+00 |  1.03e+01 |     -- |  4.15e+01 |  6.09e+01
  472590 |  1.80e-03 |     -- |  7.24e+00 |  9.23e+00 |     -- |  4.06e+01 |  5.93e+01
  476595 |  1.78e-03 |     -- |  8.55e+00 |  1.07e+01 |     -- |  4.03e+01 |  5.88e+01
  480600 |  2.02e-03 |     -- |  7.12e+00 |  9.08e+00 |     -- |  4.24e+01 |  6.29e+01
  484605 |  1.78e-03 |     -- |  8.09e+00 |  1.03e+01 |     -- |  4.05e+01 |  5.88e+01
  488610 |  1.83e-03 |     -- |  8.06e+00 |  1.03e+01 |     -- |  4.07e+01 |  5.96e+01
  492615 |  1.78e-03 |     -- |  7.46e+00 |  9.52e+00 |     -- |  4.04e+01 |  5.89e+01
  496620 |  1.74e-03 |     -- |  8.47e+00 |  1.07e+01 |     -- |  4.01e+01 |  5.79e+01
