structure_index,dihedral_deg,atom_index,Z,q0,q_l0_0,q_l1_0,q_l1_1,q_l1_2,q_l1_norm,q_l2_0,q_l2_1,q_l2_2,q_l2_3,q_l2_4,q_l2_norm
713,151.06058079011206,8,6,0.7093710899353027,0.0032410454005002975,0.0016317940317094326,0.0,0.0,0.0016317940317094326,-0.03257395327091217,0.0,0.0,0.0,0.018806643784046173,0.037613194435834885
713,151.06058079011206,9,6,0.6997027397155762,0.010881764814257622,0.04387366771697998,0.0,0.0,0.04387366771697998,-0.010083863511681557,0.0,0.0,0.03004557266831398,0.03338734805583954,0.0460340715944767
713,151.06058079011206,10,1,-1.7059317827224731,0.002425892511382699,0.004911063704639673,0.0015039420686662197,-0.000725925900042057,0.005187230184674263,0.010259904898703098,-0.003860756056383252,0.0018635193118825555,0.0135660320520401,0.0065226429142057896,0.01871432363986969
713,151.06058079011206,11,1,-1.7059317827224731,0.002425892511382699,0.004911062307655811,-0.0015039423014968634,0.000725925958249718,0.005187228787690401,0.010259905830025673,0.003860756289213896,-0.00186351896263659,0.0135660320520401,0.006522643379867077,0.01871432363986969
713,151.06058079011206,12,6,0.7372825145721436,-0.5194334387779236,1.137711524963379,0.0,0.0,1.137711524963379,-0.6995310187339783,0.0,0.0,-1.632678747177124,-1.0940320491790771,2.086118221282959
714,151.16075159360585,0,6,0.7372824549674988,-0.5194329619407654,-1.1377098560333252,0.0,0.0,1.1377098560333252,-1.0935616493225098,0.0,0.0,0.0,-1.7765130996704102,2.0861148834228516
714,151.16075159360585,1,1,-1.7059316635131836,0.0024258936755359173,-0.004911061841994524,0.0016699736006557941,0.0,0.005187228322029114,0.013533946126699448,0.00428697420284152,0.0,0.0,0.012193450704216957,0.01871432736515999
714,151.16075159360585,2,1,-1.7059316635131836,0.0024258936755359173,-0.004911062773317099,-0.0016699738334864378,0.0,0.005187229719012976,0.013533947989344597,-0.00428697420284152,0.0,0.0,0.012193452566862106,0.018714331090450287
714,151.16075159360585,3,6,0.6997027397155762,0.010881759226322174,-0.043873656541109085,0.0,0.0,0.043873656541109085,-0.0028326399624347687,0.0,0.0,0.0,0.045946814119815826,0.04603404551744461
714,151.16075159360585,4,6,0.7093710899353027,0.0032410435378551483,-0.0016317958943545818,0.0,0.0,0.0016317958943545818,-0.03257395327091217,0.0,0.0,0.0,0.01880664750933647,0.037613194435834885
714,151.16075159360585,5,6,0.7115345597267151,0.004523945972323418,0.0001551807508803904,0.0,0.0,0.0001551807508803904,-0.033257316797971725,0.0,0.0,0.0,0.019201116636395454,0.038402240723371506
714,151.16075159360585,6,6,0.7111343741416931,0.004366659093648195,-1.405154881339854e-10,0.0,0.0,1.405154881339854e-10,-0.03302139788866043,0.0,0.0,0.0,0.019064920023083687,0.03812982887029648
714,151.16075159360585,7,6,0.7115345597267151,0.004523949697613716,-0.0001551816239953041,0.0,0.0,0.0001551816239953041,-0.033257316797971725,0.0,0.0,0.0,0.019201131537556648,0.0384022481739521
714,151.16075159360585,8,6,0.7093710899353027,0.0032410440035164356,0.001631794380955398,0.0,0.0,0.001631794380955398,-0.03257395327091217,0.0,0.0,0.0,0.018806640058755875,0.037613190710544586
