step,epoch_est,q0_mean,q0_std,q0_abs_mean,q1_norm_mean,q1_norm_std,q2_norm_mean,q2_norm_std,sr_energy_sum,sr_energy_mean,lr_energy_sum,lr_energy_mean,e_total_sum,e_long_over_e_total,f_long_over_f_total
4005,2.0025,0.37593046976846156,0.409275438532817,0.5064612122669231,0.0016071522390414942,0.0014756316775689235,0.007277037921295146,0.006045584722374509,-2.056283585739,-0.15817566044146153,1.91038890183,0.14695299244846155,-0.14589468390900007,13.094300975500797,
8010,4.005,0.23824898898615385,0.05114110956436483,0.23824898898615385,0.011662005000269956,0.010479870062004572,0.08094367011485788,0.07144609319686107,-1.425229433926,-0.10963303337892308,1.484249789281,0.11417306071392308,0.05902035535499994,25.14809984374757,
12015,6.0075,0.20397310818692307,0.25054750152273453,0.20397310818692305,0.0254299281263618,0.02267185869358013,0.18542944367104103,0.24202129094601366,-1.013589527455,-0.07796842518884615,1.150765195488,0.08852039965292308,0.13717566803300008,8.388989184373155,
16020,8.01,0.22994119043615385,0.06249494656211634,0.22994119043615385,0.030784319287813146,0.0401322577768891,0.20809900889936303,0.3097261446282031,-0.44076247866415,-0.03390480605108846,0.9986669926454,0.0768205378958,0.55790451398125,1.7900321069618792,
20025,10.0125,0.18584391704461542,1.1070263171953254,1.0530735804446152,0.04882093366866654,0.0703950640382552,0.28083796637593783,0.4290166104928045,-0.6670304276110001,-0.05131003289315385,1.0326580936,0.07943523796923077,0.365627665989,2.8243434227186404,
24030,12.015,0.1539491323307692,1.3962592006555319,1.2972436317923077,0.10019000739882009,0.1937830058762382,0.4023902922879483,0.6969589684666758,-1.044863201694,-0.080374092438,0.784558640794,0.06035066467646154,-0.2603045609000001,3.0140026670350966,
28035,14.0175,0.03285981142307694,1.7414807064810511,1.556752984330769,0.15064880638298211,0.2817618240634924,0.509145378660617,0.9787649674279743,0.1779636480050001,0.013689511385000009,0.658544074742,0.05065723651861539,0.8365077227470001,0.787254028665047,
32040,16.02,0.27927233623076925,2.4834499825690144,2.3095638935384617,0.17295424308645962,0.34794405945025486,0.47709997514628727,0.8918773237444789,-0.383241187787,-0.02948009136823077,0.720346206806,0.05541124667738462,0.33710501901900003,2.1368599284052774,
36045,18.0225,0.41185841194615386,3.6590080156820917,3.402756690976923,0.21482978057068733,0.4304034298645678,0.5298855794898363,0.9392720584302132,-0.82539011102542,-0.06349154700195539,0.525551771748,0.04042705936523077,-0.29983833927742,1.7527837601239606,
40050,20.025,0.6227843578,4.57068767264056,4.292346844307692,0.22349417536148394,0.4550018462820465,0.5947341744750315,1.1173454260354991,-0.17076060362299997,-0.013135431047923075,0.471657881514,0.03628137550107692,0.30089727789100007,1.5675046474991972,
44055,22.0275,-0.16902619141538455,6.2024344255094,5.434893351338461,0.2518772065861308,0.5006277502589496,0.6205544575823031,1.1437010009058421,-0.087602840736,-0.006738680056615385,0.555384365841,0.042721874295461544,0.46778152510500004,1.1872729811557572,
48060,24.03,-0.7339849105153847,7.6364389010882645,6.489525391484616,0.3319467093429248,0.6616786300691552,0.7213373737293819,1.2827815150304456,-0.37781804892299997,-0.029062926840230766,0.58864962123,0.045280740094615385,0.210831572307,2.792037334772823,
52065,26.0325,-0.6055665016307693,8.241827850991369,7.075922562523077,0.3902518488298042,0.8232517547669541,0.7480292939717231,1.388595948153696,-0.4277050397443,-0.03290038767263846,0.6478312767523,0.04983317513479231,0.220126237008,2.942998915339456,
56070,28.035,-0.9596038597999998,9.014485830182853,7.625107214969232,0.4678287033414413,0.9885771032205785,0.9245785208787647,1.7593320331609987,-0.17818735155549995,-0.013706719350423073,0.534477941687,0.04111368782207692,0.3562905901315001,1.500118039855429,
60075,30.0375,-1.1558816983692308,9.699918359004059,8.15776652563077,0.5144830755335715,1.0851643230430317,0.9161479953235102,1.655827330883477,-0.04425856657150001,-0.0034045051208846165,0.693068820985,0.05331298622961538,0.6488102544134999,1.0682149615707108,
64080,32.04,-1.4694494467846155,10.607328096916763,8.841935781369232,0.5866819765139515,1.2335922976590714,1.010817522998156,1.885784306741679,-0.10095792543170003,-0.007765994263976925,0.52328084880815,0.040252372985242306,0.42232292337644994,1.2390538610230926,
68085,34.0425,-1.4498005279923076,10.821675826696529,9.039577594161539,0.7600685514828647,1.6305304542431611,1.1663276671931015,2.2579359536733032,0.3141729566288,0.024167150509907694,0.426503185179,0.03280793732146154,0.7406761418078001,0.5758295172543499,
72090,36.045,-2.061494020346154,12.390673953505868,10.195861889807691,0.8011474615876583,1.7182031060231011,1.093679600936447,2.0300702009859353,-0.222510823966,-0.017116217228153846,0.49047519417601004,0.037728861090462314,0.26796437021001007,1.8303746643317278,
76095,38.0475,-2.005947149723077,12.61570405134821,10.416782049046153,0.9974247502470589,2.1828936293830488,1.2500878253099912,2.4284644598557708,0.10849591304341002,0.008345839464877694,0.4027882800483,0.03098371384986923,0.51128419309171,0.7877972475790017,
80100,40.05,-2.1001647802615384,12.820823164086482,10.562467501738464,1.0788403489190923,2.3681135107319595,1.2610251408536781,2.351820094379701,0.19199503120630002,0.01476884855433077,0.342338990417,0.026333768493615385,0.5343340216233,0.6406834986418766,
84105,42.0525,-2.329199387384615,13.261027967322669,10.864837242923075,1.1095275681164591,2.408301596081411,1.2971996618343615,2.324400124887991,-0.17591407149800004,-0.01353185165369231,0.26041049876612,0.020031576828163075,0.08449642726811996,3.0819113563204046,
88110,44.055,-2.0963362547615385,13.29776694429531,10.986969397700003,1.3101519235107542,2.88020839814765,1.4320933822134339,2.6712057353829204,-0.414828196156,-0.031909861242769226,0.20443732291170003,0.015725947916284618,-0.21039087324429995,0.9717024306197597,
92115,46.0575,-2.3831477899076923,13.666201973334633,11.20341238609231,1.1509996509940665,2.5280260510373345,1.3228550580427507,2.4542792208953133,-0.025357995176999992,-0.001950615013615384,0.3662845427225,0.028175734055576922,0.3409265475455,1.074379643825231,
96120,48.06,-2.5812087058615387,13.916072743997484,11.348862904753846,1.2164772155848835,2.619190403828233,1.4709295182814406,2.7040127070742384,0.015319913620000014,0.0011784548938461549,0.2278334135207,0.0175256471939,0.2431533271407,0.9369948427185815,
100125,50.0625,-2.3162985582076923,13.680825851958952,11.242104457023078,1.4506240172957612,3.149837606799577,1.5738622932402135,3.003639643574263,0.15480890125100003,0.011908377019307694,0.272131202746,0.020933169442,0.426940103997,0.6373990173289324,
104130,52.065,-2.7799125451076923,14.520741577144229,11.808675582584614,1.4243637682952452,3.111821913326554,1.5939805259764188,2.9066564503890504,0.13901832328000002,0.010693717175384617,0.285381139254,0.02195239532723077,0.424399462534,0.6724352042060778,
108135,54.0675,-2.5532322297,14.486310426357571,11.86534892599231,1.3212891579936987,2.876769121160469,1.5182505042030203,2.899239885090913,0.16383619233700003,0.012602784025923078,0.1423536590337,0.01095028146413077,0.30618985137070004,0.46491958631690344,
112140,56.07,-2.685989453307692,14.897385987202206,12.178849073615385,1.4045938087668328,3.083755956250876,1.5003317045061746,2.952372894472552,-0.075320586563,-0.005793891274076923,0.206925775859,0.01591736737376923,0.13160518929599999,1.5723223146892225,
116145,58.0725,-2.4404436257615383,14.752511469962998,12.144816031776923,1.354756948656537,2.8464566727838143,1.4643068855705061,2.5635318856310305,-0.03472954035599998,-0.002671503104307691,0.2280003195671,0.017538486120546155,0.19327077921110003,1.1796936945034338,
