#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  100
#! SET periodic_psi true
   -3.141592654   -3.141592654   20.281623913  -11.212908642   24.295632193
   -3.078760801   -3.141592654   19.829369171  -11.702096815    6.904305122
   -3.015928947   -3.141592654   19.805778245   -6.742683353  -18.886747731
   -2.953097094   -3.141592654   19.720153638   -2.644313627  -18.308780750
   -2.890265241   -3.141592654   20.178089036   -9.419642373  -12.444992873
   -2.827433388   -3.141592654   19.519979161  -14.422000449   -9.482803715
   -2.764601535   -3.141592654   18.770374684  -16.393555710  -12.846365357
   -2.701769682   -3.141592654   18.757503428    3.344734760  -13.473658476
   -2.638937829   -3.141592654   19.594527317   19.809346283  -11.221733806
   -2.576105976   -3.141592654   22.696541857   11.765487096   -7.517002483
   -2.513274123   -3.141592654   24.024051229    4.940790005  -18.376818414
   -2.450442270   -3.141592654   25.355590071   11.079195350  -30.374046477
   -2.387610417   -3.141592654   25.824733386    2.575655485  -34.151934123
   -2.324778564   -3.141592654   24.334859657  -20.508359494  -27.348903563
   -2.261946711   -3.141592654   22.319046558  -27.811359587  -20.007906699
   -2.199114858   -3.141592654   21.133186606   -6.345891316  -22.428848649
   -2.136283004   -3.141592654   22.767067037   11.646211493  -36.250593442
   -2.073451151   -3.141592654   23.876197845   17.512635381  -54.482604648
   -2.010619298   -3.141592654   23.743316448   -1.483679823  -57.640348967
   -1.947787445   -3.141592654   23.149648630  -13.712958393  -50.338350818
   -1.884955592   -3.141592654   22.419655961   -8.361772805  -35.263121483
   -1.822123739   -3.141592654   21.591569462   -6.090000254  -16.322220110
   -1.759291886   -3.141592654   21.628354493    0.942358821   -8.838399180
   -1.696460033   -3.141592654   23.160434027   -6.394201536  -17.599405195
   -1.633628180   -3.141592654   23.261138548   12.580286802  -22.961700678
   -1.570796327   -3.141592654   24.767471071   31.385076647  -23.124425010
   -1.507964474   -3.141592654   27.090621447   30.281811295   -7.697166526
