#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  100
#! SET periodic_psi true
   -3.141592654   -3.141592654   23.374008713  -49.476975764   -4.185624071
   -3.078760801   -3.141592654   19.549409124  -41.325382444   -4.220155937
   -3.015928947   -3.141592654   18.371605118  -32.031404356   -5.555627649
   -2.953097094   -3.141592654   16.844485521  -33.662814211   -7.809396263
   -2.890265241   -3.141592654   18.783448919  -43.100782517   -7.235318172
   -2.827433388   -3.141592654   17.397154731  -33.696624482   -8.992044281
   -2.764601535   -3.141592654   15.493633474  -28.232383754  -16.416311727
   -2.701769682   -3.141592654   13.479847054  -19.435079078  -21.310815008
   -2.638937829   -3.141592654   14.090770737   -8.624374951  -23.057680555
   -2.576105976   -3.141592654   14.251690239   -0.427513257  -25.122446689
   -2.513274123   -3.141592654   12.954758122   -0.522265916  -25.881912244
   -2.450442270   -3.141592654   12.891819516    2.177909904  -22.147924061
   -2.387610417   -3.141592654   11.425025929  -11.133753157  -12.529538411
   -2.324778564   -3.141592654   10.998116290   -4.806935459  -12.277921701
   -2.261946711   -3.141592654   12.594559953  -14.330494065  -17.352718244
   -2.199114858   -3.141592654   14.884657390  -15.056462924  -16.843813096
   -2.136283004   -3.141592654   14.848391626  -11.199028910  -14.684143915
   -2.073451151   -3.141592654   16.117877188  -14.142332794  -13.241356474
   -2.010619298   -3.141592654   15.958532806  -15.775434889  -14.230972506
   -1.947787445   -3.141592654   14.288389925  -12.986834881  -14.564224858
   -1.884955592   -3.141592654   13.526262712  -12.833710845  -17.633051976
   -1.822123739   -3.141592654   14.060012910  -17.080169909  -16.359252472
   -1.759291886   -3.141592654   11.945120893  -21.901419278  -21.137815099
   -1.696460033   -3.141592654   11.722687102  -23.026735730  -26.503100716
   -1.633628180   -3.141592654   11.628993684  -18.085932295  -28.627984409
   -1.570796327   -3.141592654   12.556990970  -20.022885999  -29.604400312
   -1.507964474   -3.141592654   11.144893362  -17.129969778  -27.424731069
   -1.445132621   -3.141592654   10.489694306  -15.820398173  -22.456638991
   -1.382300768   -3.141592654   11.191781198  -13.005363228  -14.296827980
   -1.319468915   -3.141592654    9.005684750   -7.393855673   -4.436930891
   -1.256637061   -3.141592654    8.132899040   -1.606978792    1.261328783
   -1.193805208   -3.141592654    9.004722169   12.239527456    5.729738142
   -1.130973355   -3.141592654    9.654148929   16.457876658    4.893208455
