atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.0812343597e+01,-3.4527244568e+00,7.0895576477e-01,6.6269153357e-01,-1.3208726645e+00,1.5915168524e+00,3.1892740726e+00,7.3960971832e+00,-3.5504379272e+00,9.7073715925e-01,-1.6279697418e-01,6.8702802062e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,-2.3968505859e+02,-5.3068554401e-01,1.3936253786e+00,-4.7501489520e-01,4.7827240825e-01,1.5335408039e-02,1.6402939335e-02,2.7682527900e-01,2.3874747753e-01,-2.7482390404e-01,-1.9823789597e-01,6.8021394312e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,-2.3186013794e+02,-1.8155629933e-01,-1.6148395538e+00,4.4372832775e-01,-5.6079524755e-01,-4.5828363299e-01,-7.4975997210e-02,1.4221438766e-01,3.5139688849e-01,-4.1707172990e-01,-2.1552008390e-01,6.8941123784e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.8663192749e+01,-2.6199908447e+02,-7.0447952271e+01,-2.1412274170e+02,-1.1218585968e+02,7.2189918518e+01,-5.3045478821e+01,-5.5977954102e+02,-2.9270382690e+02,2.1725640869e+02,9.5892935991e-02,3.0201673508e-03
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-3.8904624939e+01,2.6682072878e-01,1.1737345695e+01,-5.8234863281e+00,3.8728983402e+00,3.0850711465e-01,2.6534063339e+01,2.9003417969e+01,3.2574887276e+00,2.0232160091e+00,8.4311336279e-02,9.2253200710e-02
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-3.3352634430e+01,1.5134100914e+00,-2.3097369671e+00,-6.6772770882e+00,-7.1095676422e+00,2.8868093491e+01,-2.2068946838e+01,1.1408500671e+00,-9.3346452713e+00,-2.0711805820e+00,1.0409185290e-01,1.4004454017e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.6661106110e+01,-1.4283767939e+00,-3.0297145844e+00,-3.7976334095e+00,-9.8065986633e+00,-7.6877918243e+00,1.1996442795e+01,-4.4801650047e+00,-7.4645245075e-01,-6.4933812618e-01,-6.5384060144e-03,1.0573009402e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-3.0016584396e+01,-6.6535863876e+00,-2.5742964745e+00,1.8966873884e+00,-8.9265108109e-02,4.6767783165e+00,-6.8879139423e-01,7.8934531212e+00,-1.2995409966e+01,2.6490275860e+00,-4.6517759562e-02,1.1796073616e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-3.2484172821e+01,4.2905807495e+00,6.7695474625e-01,3.7575119734e-01,-1.2415834665e+00,-4.8546285629e+00,8.3622705936e-01,-1.0124729156e+01,7.6471691132e+00,-2.1523706436e+01,-8.3082765341e-02,8.7390281260e-02
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.4634643555e+01,-2.0770516968e+02,-5.9486679077e+01,1.1846369934e+02,-5.6940025330e+01,-4.0043045044e+01,-5.8058414459e+01,1.2256232452e+02,1.2366346741e+02,4.2890994263e+02,-1.1785021424e-01,-1.4434664510e-02
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,-2.3913490295e+02,-2.4039351940e-01,1.1460021734e+00,8.0612778664e-01,-3.8288515806e-01,1.1978174746e-01,-2.4268327653e-01,1.3217207789e-01,-1.8687343597e-01,-2.5588679314e-01,-1.8647414446e-01,7.1032948792e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,-2.3337265015e+02,-1.9694654644e-01,-1.2521426678e+00,-5.8005166054e-01,2.0283511281e-01,-2.3680569232e-01,2.9683951288e-04,3.0926128849e-02,-3.9657995105e-01,-2.5011402369e-01,-2.0277833939e-01,7.0186384022e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-2.7433961868e+01,-2.5304133892e+00,-7.6996788383e-02,-7.5466823578e-01,-3.1316907406e+00,1.4411587715e+00,2.6026608944e+00,-1.2022960186e+00,1.1094615459e+00,-2.2094140053e+00,2.2182711959e-01,7.1093983948e-02
