Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  496320 |  1.29e-02 |     -- |  1.86e+00 |  2.55e+00 |     -- |  5.82e+01 |  7.97e+01
  505344 |  1.16e-02 |     -- |  1.77e+00 |  2.34e+00 |     -- |  5.68e+01 |  7.82e+01
  514368 |  1.34e-02 |     -- |  2.14e+00 |  2.76e+00 |     -- |  5.53e+01 |  7.60e+01
  523392 |  1.06e-02 |     -- |  1.86e+00 |  2.29e+00 |     -- |  5.33e+01 |  7.32e+01
  532416 |  1.34e-02 |     -- |  2.15e+00 |  2.88e+00 |     -- |  5.24e+01 |  7.17e+01
  541440 |  8.39e-03 |     -- |  1.53e+00 |  1.90e+00 |     -- |  5.07e+01 |  6.92e+01
  550464 |  1.21e-02 |     -- |  1.98e+00 |  2.74e+00 |     -- |  4.98e+01 |  6.81e+01
  559488 |  8.59e-03 |     -- |  1.44e+00 |  2.06e+00 |     -- |  4.84e+01 |  6.59e+01
  568512 |  9.18e-03 |     -- |  1.55e+00 |  2.23e+00 |     -- |  4.72e+01 |  6.47e+01
  577536 |  7.85e-03 |     -- |  1.50e+00 |  1.99e+00 |     -- |  4.58e+01 |  6.23e+01
  586560 |  8.20e-03 |     -- |  1.60e+00 |  2.11e+00 |     -- |  4.51e+01 |  6.13e+01
  595584 |  7.57e-03 |     -- |  1.38e+00 |  1.99e+00 |     -- |  4.44e+01 |  6.02e+01
  604608 |  6.89e-03 |     -- |  1.40e+00 |  1.90e+00 |     -- |  4.24e+01 |  5.74e+01
  613632 |  6.42e-03 |     -- |  1.36e+00 |  1.82e+00 |     -- |  4.13e+01 |  5.58e+01
  622656 |  8.38e-03 |     -- |  1.54e+00 |  2.26e+00 |     -- |  4.20e+01 |  5.71e+01
  631680 |  5.22e-03 |     -- |  1.11e+00 |  1.55e+00 |     -- |  3.92e+01 |  5.31e+01
  640704 |  8.14e-03 |     -- |  1.49e+00 |  2.22e+00 |     -- |  4.10e+01 |  5.65e+01
  649728 |  4.63e-03 |     -- |  1.16e+00 |  1.45e+00 |     -- |  3.73e+01 |  5.04e+01
  658752 |  8.00e-03 |     -- |  1.47e+00 |  2.28e+00 |     -- |  3.85e+01 |  5.28e+01
  667776 |  3.57e-03 |     -- |  8.46e-01 |  1.15e+00 |     -- |  3.52e+01 |  4.75e+01
  676800 |  4.75e-03 |     -- |  1.10e+00 |  1.57e+00 |     -- |  3.53e+01 |  4.80e+01
  685824 |  5.59e-03 |     -- |  1.40e+00 |  1.80e+00 |     -- |  3.57e+01 |  4.85e+01
  694848 |  6.47e-03 |     -- |  1.30e+00 |  1.97e+00 |     -- |  3.69e+01 |  5.09e+01
  703872 |  3.22e-03 |     -- |  8.32e-01 |  1.10e+00 |     -- |  3.30e+01 |  4.48e+01
  712896 |  4.91e-03 |     -- |  1.25e+00 |  1.66e+00 |     -- |  3.42e+01 |  4.65e+01
  721920 |  3.30e-03 |     -- |  8.82e-01 |  1.18e+00 |     -- |  3.21e+01 |  4.36e+01
  730944 |  8.42e-01 |     -- |  9.79e+00 |  2.74e+01 |     -- |  1.98e+02 |  3.02e+02
  739968 |  3.75e-02 |     -- |  1.98e+00 |  2.38e+00 |     -- |  1.29e+02 |  1.79e+02
  748992 |  2.46e-02 |     -- |  1.63e+00 |  1.95e+00 |     -- |  1.07e+02 |  1.44e+02
  758016 |  1.99e-02 |     -- |  1.42e+00 |  1.75e+00 |     -- |  9.53e+01 |  1.30e+02
  767040 |  1.55e-02 |     -- |  1.19e+00 |  1.50e+00 |     -- |  8.62e+01 |  1.15e+02
  776064 |  1.28e-02 |     -- |  8.58e-01 |  1.09e+00 |     -- |  7.96e+01 |  1.08e+02
  785088 |  1.14e-02 |     -- |  9.19e-01 |  1.18e+00 |     -- |  7.47e+01 |  1.00e+02
  794112 |  1.01e-02 |     -- |  8.72e-01 |  1.13e+00 |     -- |  7.08e+01 |  9.39e+01
  803136 |  9.56e-03 |     -- |  9.36e-01 |  1.22e+00 |     -- |  6.75e+01 |  8.98e+01
  812160 |  1.03e-02 |     -- |  1.26e+00 |  1.69e+00 |     -- |  6.51e+01 |  8.61e+01
  821184 |  1.08e-02 |     -- |  1.41e+00 |  1.98e+00 |     -- |  6.28e+01 |  8.30e+01
  830208 |  8.96e-03 |     -- |  1.16e+00 |  1.63e+00 |     -- |  6.03e+01 |  7.95e+01
  839232 |  9.96e-03 |     -- |  1.45e+00 |  2.00e+00 |     -- |  5.87e+01 |  7.73e+01
  848256 |  9.01e-03 |     -- |  1.39e+00 |  1.85e+00 |     -- |  5.68e+01 |  7.47e+01
  857280 |  1.01e-02 |     -- |  1.55e+00 |  2.19e+00 |     -- |  5.57e+01 |  7.32e+01
  866304 |  1.00e-02 |     -- |  1.55e+00 |  2.22e+00 |     -- |  5.42e+01 |  7.14e+01
  875328 |  6.94e-03 |     -- |  1.14e+00 |  1.46e+00 |     -- |  5.27e+01 |  6.94e+01
  884352 |  9.39e-03 |     -- |  1.31e+00 |  2.19e+00 |     -- |  5.16e+01 |  6.79e+01
