Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  220275 |  1.03e-03 |     -- |  7.45e+00 |  9.67e+00 |     -- |  2.91e+01 |  4.43e+01
  224280 |  1.10e-03 |     -- |  8.80e+00 |  1.12e+01 |     -- |  2.96e+01 |  4.56e+01
  228285 |  9.65e-04 |     -- |  6.68e+00 |  8.55e+00 |     -- |  2.83e+01 |  4.31e+01
  232290 |  1.08e-03 |     -- |  9.81e+00 |  1.19e+01 |     -- |  2.96e+01 |  4.48e+01
  236295 |  9.95e-04 |     -- |  6.92e+00 |  8.80e+00 |     -- |  2.86e+01 |  4.37e+01
  240300 |  1.04e-03 |     -- |  6.52e+00 |  8.37e+00 |     -- |  2.93e+01 |  4.48e+01
  244305 |  9.46e-04 |     -- |  7.46e+00 |  9.83e+00 |     -- |  2.80e+01 |  4.24e+01
  248310 |  9.91e-04 |     -- |  8.25e+00 |  1.06e+01 |     -- |  2.86e+01 |  4.32e+01
  252315 |  9.32e-04 |     -- |  8.79e+00 |  1.11e+01 |     -- |  2.79e+01 |  4.17e+01
  256320 |  9.65e-04 |     -- |  7.15e+00 |  9.15e+00 |     -- |  2.81e+01 |  4.30e+01
  260325 |  9.61e-04 |     -- |  9.71e+00 |  1.19e+01 |     -- |  2.78e+01 |  4.22e+01
  264330 |  8.61e-04 |     -- |  6.60e+00 |  8.32e+00 |     -- |  2.69e+01 |  4.07e+01
  268335 |  9.29e-04 |     -- |  7.60e+00 |  9.73e+00 |     -- |  2.75e+01 |  4.20e+01
  272340 |  8.88e-04 |     -- |  6.60e+00 |  8.42e+00 |     -- |  2.75e+01 |  4.13e+01
  276345 |  8.64e-04 |     -- |  7.41e+00 |  9.53e+00 |     -- |  2.68e+01 |  4.05e+01
  280350 |  9.20e-04 |     -- |  8.01e+00 |  1.05e+01 |     -- |  2.71e+01 |  4.16e+01
  284355 |  9.03e-04 |     -- |  7.30e+00 |  9.38e+00 |     -- |  2.75e+01 |  4.15e+01
  288360 |  9.43e-04 |     -- |  6.87e+00 |  9.25e+00 |     -- |  2.79e+01 |  4.24e+01
  292365 |  9.43e-04 |     -- |  6.10e+00 |  8.43e+00 |     -- |  2.78e+01 |  4.26e+01
  296370 |  9.37e-04 |     -- |  7.15e+00 |  9.08e+00 |     -- |  2.78e+01 |  4.23e+01
  300375 |  8.49e-04 |     -- |  8.16e+00 |  1.03e+01 |     -- |  2.64e+01 |  3.99e+01
  304380 |  9.14e-04 |     -- |  8.04e+00 |  1.01e+01 |     -- |  2.74e+01 |  4.15e+01
  308385 |  8.88e-04 |     -- |  7.29e+00 |  9.08e+00 |     -- |  2.73e+01 |  4.12e+01
  312390 |  8.02e-04 |     -- |  7.96e+00 |  1.02e+01 |     -- |  2.58e+01 |  3.87e+01
  316395 |  8.06e-04 |     -- |  7.62e+00 |  9.68e+00 |     -- |  2.59e+01 |  3.90e+01
  320400 |  8.83e-04 |     -- |  7.21e+00 |  9.25e+00 |     -- |  2.68e+01 |  4.10e+01
  324405 |  8.27e-04 |     -- |  7.73e+00 |  9.72e+00 |     -- |  2.63e+01 |  3.95e+01
  328410 |  9.45e-04 |     -- |  6.51e+00 |  8.65e+00 |     -- |  2.80e+01 |  4.26e+01
  332415 |  8.78e-04 |     -- |  7.56e+00 |  9.80e+00 |     -- |  2.72e+01 |  4.08e+01
  336420 |  1.19e-03 |     -- |  6.68e+00 |  9.03e+00 |     -- |  2.80e+01 |  4.80e+01
  340425 |  8.23e-04 |     -- |  6.85e+00 |  8.96e+00 |     -- |  2.62e+01 |  3.96e+01
  344430 |  8.45e-04 |     -- |  7.03e+00 |  9.21e+00 |     -- |  2.65e+01 |  4.01e+01
  348435 |  7.81e-04 |     -- |  6.99e+00 |  9.44e+00 |     -- |  2.55e+01 |  3.84e+01
