step,epoch_est,atom_index,Z,q0,q1_x,q1_y,q1_z,q1_norm,q2_0,q2_1,q2_2,q2_3,q2_4,q2_norm,energy_short,energy_long
4000,2.0,0.0,6.0,-0.10402283818,-1.6963984308e-05,-1.1105223166e-05,-3.0461702409e-05,3.659259568305055e-05,-1.1333690054e-05,3.852820555e-06,1.390619218e-05,2.8164655305e-05,-9.2412874437e-06,3.486155675644469e-05,-0.10776463151,0.25888741016
4000,2.0,1.0,1.0,0.00323026767,-1.5869512371e-09,3.5691416489e-10,-1.367235325e-09,2.1248845577960706e-09,1.7656132112e-09,1.102170244e-09,-5.9292182275e-10,-2.1914445814e-09,1.0345316825e-09,3.249063049812958e-09,-0.47912701964,0.091701999307
4000,2.0,2.0,1.0,0.00124211004,1.774564673e-08,-1.7474940606e-08,-3.1651754551e-09,2.5105773493576233e-08,2.4408206567e-09,9.1719183359e-09,-3.3197637972e-09,-5.4188844523e-09,7.956657555e-09,1.3920317211281827e-08,-0.5283318162,0.08814419806
4000,2.0,3.0,6.0,-0.082892179489,2.0159834094e-05,-1.3226339433e-05,5.4333651178e-07,2.4117424822305734e-05,2.4500864129e-06,-2.8304073112e-06,5.3338212638e-06,-9.0172552518e-06,-1.7067613953e-06,1.1255563290601573e-05,0.42354980111,0.25292953849
4000,2.0,4.0,6.0,-0.078115992248,3.7622045056e-05,2.5177943826e-05,6.2196340878e-05,7.692679603436816e-05,-1.2651803445e-05,-6.7629352998e-06,1.2589649486e-05,-1.3422782104e-05,-9.0648072728e-06,2.5032908515891743e-05,-0.2007804811,0.25078502297
4000,2.0,5.0,6.0,-0.075887933373,2.4518772989e-05,-1.5812942365e-05,1.4190375623e-05,3.2443583887215054e-05,3.026930699e-06,8.3740684431e-07,1.0351075616e-05,-5.6271960602e-06,2.5902606922e-06,1.246527625209656e-05,-0.15668818355,0.25248682499
4000,2.0,6.0,6.0,-0.076461791992,6.9880170486e-06,-1.5164937395e-05,2.0529701317e-07,1.6698798020498666e-05,6.6056040851e-06,7.4523663898e-06,3.9779865801e-06,2.4361504529e-06,1.0167726032e-05,1.4977103493644609e-05,-0.22629493475,0.25419977307
4000,2.0,7.0,6.0,-0.078716367483,-1.8903801902e-05,1.4585976714e-05,2.345325629e-05,3.346878655786364e-05,-6.2394501583e-06,8.6330155682e-06,-3.8646594476e-06,7.706676115e-06,1.2962846085e-05,1.8863285082125243e-05,-0.31826269627,0.25192478299
4000,2.0,8.0,6.0,-0.082498922944,4.8677768063e-05,-2.2726526367e-05,8.9312808996e-05,0.00010422474732548479,-1.4268033738e-05,1.1113684195e-05,-2.4990427846e-05,2.744840458e-05,-1.5616173187e-05,4.4146257214567733e-05,-0.38139349222,0.25057783723
4000,2.0,9.0,6.0,-0.080854736269,-2.0823608793e-05,5.5227908888e-05,-3.3437296224e-05,6.783654901361553e-05,3.6356914279e-06,9.7507036116e-06,-6.9176853685e-06,1.4904510863e-05,-2.0976283395e-06,1.9562549237093113e-05,-0.0087379217148,0.24941915274
4000,2.0,10.0,1.0,0.015012184158,-5.5319571146e-09,-1.6454221319e-10,-6.0451682549e-10,5.567321101750422e-09,-1.0930244487e-09,3.609016197e-09,-1.6303450812e-09,-6.0257854262e-10,-4.2973269387e-10,4.1743857665127365e-09,-0.42195671797,0.095924191177
4000,2.0,11.0,1.0,0.0072039752267,3.5159239964e-09,6.3480198875e-09,-3.7029819211e-09,8.146849277392477e-09,2.9292985815e-09,2.3323092346e-09,-1.960437146e-09,1.1016022539e-09,-8.6093154827e-10,4.451797502739664e-09,-0.4846791327,0.09139444679
