train,"{'mae': 0.03382200002670288, 'rmse': 0.051933031529188156}","{'mae': 0.4366602599620819, 'rmse': 0.6240697503089905}"
val,"{'mae': 0.012850013561546803, 'rmse': 0.014818700030446053}","{'mae': 0.24759908020496368, 'rmse': 0.3274255096912384}"
train,"{'mae': 0.008589602075517178, 'rmse': 0.010717765428125858}","{'mae': 0.1828516125679016, 'rmse': 0.24332033097743988}"
val,"{'mae': 0.0060753971338272095, 'rmse': 0.007237110286951065}","{'mae': 0.13741561770439148, 'rmse': 0.17928823828697205}"
train,"{'mae': 0.004781542811542749, 'rmse': 0.006058506201952696}","{'mae': 0.1212974563241005, 'rmse': 0.1599668711423874}"
val,"{'mae': 0.0050368658266961575, 'rmse': 0.005631667096167803}","{'mae': 0.10765266418457031, 'rmse': 0.14217296242713928}"
train,"{'mae': 0.0037494590505957603, 'rmse': 0.004800998140126467}","{'mae': 0.09810303896665573, 'rmse': 0.13047190010547638}"
val,"{'mae': 0.004057769663631916, 'rmse': 0.004638319369405508}","{'mae': 0.08849044144153595, 'rmse': 0.11835074424743652}"
train,"{'mae': 0.011552109383046627, 'rmse': 0.02092895284295082}","{'mae': 0.12719784677028656, 'rmse': 0.20808455348014832}"
val,"{'mae': 0.0023034848272800446, 'rmse': 0.002630652626976371}","{'mae': 0.06775186955928802, 'rmse': 0.08848844468593597}"
train,"{'mae': 0.007946358993649483, 'rmse': 0.010318610817193985}","{'mae': 0.06072133034467697, 'rmse': 0.08010699599981308}"
val,"{'mae': 0.0018471431685611606, 'rmse': 0.0020122970454394817}","{'mae': 0.05228177830576897, 'rmse': 0.0688028410077095}"
train,"{'mae': 0.002798664616420865, 'rmse': 0.003540100995451212}","{'mae': 0.04678959399461746, 'rmse': 0.061425238847732544}"
val,"{'mae': 0.0026990906335413456, 'rmse': 0.002905012806877494}","{'mae': 0.05056781694293022, 'rmse': 0.06490141153335571}"
train,"{'mae': 0.0037781710270792246, 'rmse': 0.004528737161308527}","{'mae': 0.04232162982225418, 'rmse': 0.05556391552090645}"
val,"{'mae': 0.005437151528894901, 'rmse': 0.005522937513887882}","{'mae': 0.03775736689567566, 'rmse': 0.04960716515779495}"
train,"{'mae': 0.004035918973386288, 'rmse': 0.005807348061352968}","{'mae': 0.04365983605384827, 'rmse': 0.05784520506858826}"
val,"{'mae': 0.00899183377623558, 'rmse': 0.009112011641263962}","{'mae': 0.0421147383749485, 'rmse': 0.054115790873765945}"
train,"{'mae': 0.007487579248845577, 'rmse': 0.009203433990478516}","{'mae': 0.04368673637509346, 'rmse': 0.057343706488609314}"
val,"{'mae': 0.002309295581653714, 'rmse': 0.0028863465413451195}","{'mae': 0.046056948602199554, 'rmse': 0.05963964760303497}"
