step,epoch_est,q0_mean,q0_std,q1_norm_mean,q2_norm_mean,sr_energy_sum,lr_energy_sum
4005,2.0025,0.0,0.0,0.0,0.0,-0.14881143718299994,0.0
8010,4.005,0.0,0.0,0.0,0.0,-0.10989673437199987,0.0
12015,6.0075,0.0,0.0,0.0,0.0,-0.034575119616999994,0.0
16020,8.01,0.0,0.0,0.0,0.0,0.807992905376,0.0
20025,10.0125,0.0,0.0,0.0,0.0,-0.028444260362000096,0.0
24030,12.015,0.0,0.0,0.0,0.0,-0.43159644305370004,0.0
28035,14.0175,0.0,0.0,0.0,0.0,0.327713713044,0.0
32040,16.02,0.0,0.0,0.0,0.0,-0.10325224697199997,0.0
36045,18.0225,0.0,0.0,0.0,0.0,-0.23400187491750002,0.0
40050,20.025,0.0,0.0,0.0,0.0,0.251350536938,0.0
44055,22.0275,0.0,0.0,0.0,0.0,0.18277013301800005,0.0
48060,24.03,0.0,0.0,0.0,0.0,-0.042851269238999956,0.0
52065,26.0325,0.0,0.0,0.0,0.0,-0.13443091512599992,0.0
56070,28.035,0.0,0.0,0.0,0.0,0.33620078860799996,0.0
60075,30.0375,0.0,0.0,0.0,0.0,0.266466841091,0.0
64080,32.04,0.0,0.0,0.0,0.0,-0.016100734469999933,0.0
68085,34.0425,0.0,0.0,0.0,0.0,0.27841472626399993,0.0
72090,36.045,0.0,0.0,0.0,0.0,0.08900207281700001,0.0
76095,38.0475,0.0,0.0,0.0,0.0,0.35314208268499997,0.0
80100,40.05,0.0,0.0,0.0,0.0,0.020596802237999978,0.0
84105,42.0525,0.0,0.0,0.0,0.0,0.472779452805,0.0
88110,44.055,0.0,0.0,0.0,0.0,0.33442136647,0.0
92115,46.0575,0.0,0.0,0.0,0.0,0.15737602115499988,0.0
96120,48.06,0.0,0.0,0.0,0.0,0.368373095998,0.0
100125,50.0625,0.0,0.0,0.0,0.0,0.4684979617659999,0.0
104130,52.065,0.0,0.0,0.0,0.0,0.41514888404499994,0.0
108135,54.0675,0.0,0.0,0.0,0.0,-0.19676560163789997,0.0
112140,56.07,0.0,0.0,0.0,0.0,-0.14639177919009994,0.0
116145,58.0725,0.0,0.0,0.0,0.0,0.11461636423900001,0.0
120150,60.075,0.0,0.0,0.0,0.0,0.12002792955199992,0.0
124155,62.0775,0.0,0.0,0.0,0.0,0.12122884394799993,0.0
128160,64.08,0.0,0.0,0.0,0.0,-0.18908762931400003,0.0
132165,66.0825,0.0,0.0,0.0,0.0,-0.07720559834629998,0.0
136170,68.085,0.0,0.0,0.0,0.0,-0.15977817773159997,0.0
140175,70.0875,0.0,0.0,0.0,0.0,0.19483834506299996,0.0
144180,72.09,0.0,0.0,0.0,0.0,0.15292099119500002,0.0
148185,74.0925,0.0,0.0,0.0,0.0,0.13977178931,0.0
