Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  220275 |  2.88e-03 |     -- |  1.08e+01 |  1.34e+01 |     -- |  5.00e+01 |  7.48e+01
  224280 |  2.97e-03 |     -- |  1.03e+01 |  1.35e+01 |     -- |  5.10e+01 |  7.58e+01
  228285 |  2.84e-03 |     -- |  9.27e+00 |  1.19e+01 |     -- |  4.98e+01 |  7.44e+01
  232290 |  2.87e-03 |     -- |  9.71e+00 |  1.21e+01 |     -- |  5.03e+01 |  7.48e+01
  236295 |  2.85e-03 |     -- |  9.69e+00 |  1.21e+01 |     -- |  5.00e+01 |  7.45e+01
  240300 |  2.80e-03 |     -- |  1.09e+01 |  1.37e+01 |     -- |  4.94e+01 |  7.36e+01
  244305 |  2.76e-03 |     -- |  9.94e+00 |  1.25e+01 |     -- |  4.89e+01 |  7.33e+01
  248310 |  2.74e-03 |     -- |  9.19e+00 |  1.17e+01 |     -- |  4.88e+01 |  7.31e+01
  252315 |  2.71e-03 |     -- |  1.09e+01 |  1.37e+01 |     -- |  4.85e+01 |  7.24e+01
  256320 |  2.66e-03 |     -- |  1.13e+01 |  1.40e+01 |     -- |  4.81e+01 |  7.16e+01
  260325 |  2.65e-03 |     -- |  9.47e+00 |  1.17e+01 |     -- |  4.80e+01 |  7.19e+01
  264330 |  2.75e-03 |     -- |  9.80e+00 |  1.22e+01 |     -- |  4.90e+01 |  7.31e+01
  268335 |  2.58e-03 |     -- |  1.03e+01 |  1.31e+01 |     -- |  4.73e+01 |  7.07e+01
  272340 |  2.62e-03 |     -- |  1.00e+01 |  1.28e+01 |     -- |  4.78e+01 |  7.12e+01
  276345 |  2.61e-03 |     -- |  8.57e+00 |  1.08e+01 |     -- |  4.77e+01 |  7.14e+01
  280350 |  2.55e-03 |     -- |  9.92e+00 |  1.21e+01 |     -- |  4.71e+01 |  7.04e+01
  284355 |  2.59e-03 |     -- |  1.05e+01 |  1.31e+01 |     -- |  4.73e+01 |  7.07e+01
  288360 |  2.69e-03 |     -- |  1.20e+01 |  1.49e+01 |     -- |  4.80e+01 |  7.18e+01
  292365 |  2.53e-03 |     -- |  8.50e+00 |  1.09e+01 |     -- |  4.69e+01 |  7.03e+01
  296370 |  2.57e-03 |     -- |  1.11e+01 |  1.36e+01 |     -- |  4.74e+01 |  7.04e+01
  300375 |  2.47e-03 |     -- |  9.86e+00 |  1.25e+01 |     -- |  4.64e+01 |  6.92e+01
  304380 |  2.44e-03 |     -- |  1.01e+01 |  1.25e+01 |     -- |  4.61e+01 |  6.87e+01
  308385 |  2.47e-03 |     -- |  9.15e+00 |  1.14e+01 |     -- |  4.64e+01 |  6.93e+01
  312390 |  2.50e-03 |     -- |  8.37e+00 |  1.07e+01 |     -- |  4.64e+01 |  6.99e+01
  316395 |  2.47e-03 |     -- |  9.97e+00 |  1.27e+01 |     -- |  4.65e+01 |  6.92e+01
  320400 |  2.38e-03 |     -- |  9.50e+00 |  1.17e+01 |     -- |  4.55e+01 |  6.80e+01
  324405 |  2.62e-03 |     -- |  8.78e+00 |  1.12e+01 |     -- |  4.78e+01 |  7.15e+01
  328410 |  2.37e-03 |     -- |  9.03e+00 |  1.14e+01 |     -- |  4.54e+01 |  6.78e+01
  332415 |  2.42e-03 |     -- |  1.12e+01 |  1.36e+01 |     -- |  4.56e+01 |  6.82e+01
  336420 |  2.29e-03 |     -- |  9.55e+00 |  1.19e+01 |     -- |  4.48e+01 |  6.66e+01
  340425 |  2.44e-03 |     -- |  8.85e+00 |  1.10e+01 |     -- |  4.61e+01 |  6.90e+01
  344430 |  2.33e-03 |     -- |  9.27e+00 |  1.15e+01 |     -- |  4.52e+01 |  6.72e+01
  348435 |  2.45e-03 |     -- |  9.78e+00 |  1.24e+01 |     -- |  4.61e+01 |  6.89e+01
  352440 |  2.29e-03 |     -- |  9.40e+00 |  1.18e+01 |     -- |  4.46e+01 |  6.66e+01
  356445 |  2.34e-03 |     -- |  8.31e+00 |  1.04e+01 |     -- |  4.52e+01 |  6.76e+01
  360450 |  2.33e-03 |     -- |  9.27e+00 |  1.18e+01 |     -- |  4.50e+01 |  6.72e+01
  364455 |  2.37e-03 |     -- |  8.68e+00 |  1.10e+01 |     -- |  4.52e+01 |  6.79e+01
  368460 |  2.29e-03 |     -- |  9.22e+00 |  1.14e+01 |     -- |  4.49e+01 |  6.67e+01
  372465 |  2.21e-03 |     -- |  8.90e+00 |  1.11e+01 |     -- |  4.41e+01 |  6.55e+01
  376470 |  2.22e-03 |     -- |  9.78e+00 |  1.22e+01 |     -- |  4.41e+01 |  6.56e+01
  380475 |  2.18e-03 |     -- |  9.41e+00 |  1.18e+01 |     -- |  4.35e+01 |  6.50e+01
  384480 |  2.23e-03 |     -- |  9.33e+00 |  1.16e+01 |     -- |  4.39e+01 |  6.57e+01
  388485 |  2.16e-03 |     -- |  8.92e+00 |  1.12e+01 |     -- |  4.38e+01 |  6.48e+01
  392490 |  2.29e-03 |     -- |  8.54e+00 |  1.07e+01 |     -- |  4.46e+01 |  6.69e+01
  396495 |  2.14e-03 |     -- |  8.66e+00 |  1.08e+01 |     -- |  4.34e+01 |  6.45e+01
  400500 |  2.10e-03 |     -- |  1.02e+01 |  1.28e+01 |     -- |  4.26e+01 |  6.36e+01
  404505 |  2.10e-03 |     -- |  9.54e+00 |  1.18e+01 |     -- |  4.30e+01 |  6.37e+01
  408510 |  2.11e-03 |     -- |  8.98e+00 |  1.16e+01 |     -- |  4.28e+01 |  6.40e+01
  412515 |  2.20e-03 |     -- |  8.50e+00 |  1.07e+01 |     -- |  4.39e+01 |  6.55e+01
