Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
44550909 |  2.33e-03 |     -- |  2.04e+01 |  6.19e+01 |     -- |  1.45e+01 |  2.89e+01
45360912 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.44e+01 |  2.88e+01
46170923 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.44e+01 |  2.89e+01
46980929 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
47790935 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
48600960 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.43e+01 |  2.87e+01
49410967 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.44e+01 |  2.88e+01
50220980 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.43e+01 |  2.89e+01
51031010 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.86e+01
51841021 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.43e+01 |  2.87e+01
52651049 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
53461073 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
54271079 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
55081105 |  2.32e-03 |     -- |  2.02e+01 |  6.18e+01 |     -- |  1.41e+01 |  2.85e+01
55891110 |  2.32e-03 |     -- |  2.02e+01 |  6.19e+01 |     -- |  1.40e+01 |  2.85e+01
56701130 |  2.32e-03 |     -- |  2.02e+01 |  6.19e+01 |     -- |  1.41e+01 |  2.86e+01
57511133 |  2.32e-03 |     -- |  2.02e+01 |  6.19e+01 |     -- |  1.41e+01 |  2.85e+01
58321162 |  2.32e-03 |     -- |  2.02e+01 |  6.19e+01 |     -- |  1.40e+01 |  2.85e+01
59131186 |  2.32e-03 |     -- |  2.02e+01 |  6.19e+01 |     -- |  1.40e+01 |  2.85e+01
59941190 |  2.32e-03 |     -- |  2.02e+01 |  6.19e+01 |     -- |  1.40e+01 |  2.85e+01
60751192 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.38e+01 |  2.83e+01
61561195 |  2.32e-03 |     -- |  2.01e+01 |  6.19e+01 |     -- |  1.39e+01 |  2.83e+01
62371198 |  2.32e-03 |     -- |  2.02e+01 |  6.19e+01 |     -- |  1.39e+01 |  2.84e+01
63181222 |  2.32e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.39e+01 |  2.83e+01
63991248 |  2.31e-03 |     -- |  2.02e+01 |  6.18e+01 |     -- |  1.38e+01 |  2.83e+01
64801274 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.39e+01 |  2.84e+01
65611301 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.38e+01 |  2.83e+01
66421306 |  2.31e-03 |     -- |  2.01e+01 |  6.19e+01 |     -- |  1.38e+01 |  2.83e+01
67231328 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.37e+01 |  2.82e+01
68041345 |  2.31e-03 |     -- |  2.01e+01 |  6.19e+01 |     -- |  1.37e+01 |  2.82e+01
68851350 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.37e+01 |  2.82e+01
69661355 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.37e+01 |  2.82e+01
70471382 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.36e+01 |  2.81e+01
71281407 |  2.31e-03 |     -- |  2.01e+01 |  6.19e+01 |     -- |  1.37e+01 |  2.82e+01
72091407 |  2.31e-03 |     -- |  2.01e+01 |  6.18e+01 |     -- |  1.37e+01 |  2.82e+01
