global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,n_structures,amp_ref_rel,amp_pred_total_rel,amp_pred_long_rel,amp_pred_short_rel,corr_total_vs_ref,corr_long_vs_ref,mean_f_long_over_total,mean_q0_abs,mean_q1_norm,mean_q2_norm
10,1,lr_only_probe,10,10.0,0.0,1000,0.742828369140625,0.19960331916809082,0.1996055245399475,1.4126300811767578e-05,0.8104752940438051,0.8104739552690128,0.9999998890757561,1.1035994304418564,2.5939969677925108,8.665686676025391
20,1,lr_only_probe,20,10.0,0.0,1000,0.742828369140625,0.2671470642089844,0.2671504020690918,1.1980533599853516e-05,0.9128381708651916,0.9128381938910383,0.999999948322773,1.1347627655267716,1.987993394613266,8.679410954475403
30,1,lr_only_probe,30,10.0,0.0,1000,0.742828369140625,0.20663046836853027,0.20662933588027954,1.52587890625e-05,0.9510380845390936,0.9510381768201294,1.0000004232525825,1.1517640521526338,1.5831405647993089,8.077989759922028
40,1,lr_only_probe,40,10.0,0.0,1000,0.742828369140625,0.22643804550170898,0.22644072771072388,1.0788440704345703e-05,0.9818186967145434,0.9818189278580212,1.000000334739685,1.17061889231205,1.6167563487291337,7.838428418159485
50,1,lr_only_probe,50,10.0,0.0,1000,0.742828369140625,0.15212368965148926,0.15212267637252808,1.1801719665527344e-05,0.942514287578923,0.9425137051933983,1.0000000482201576,1.1807429904937745,1.9329503873586655,7.677574164867401
60,1,lr_only_probe,60,10.0,0.0,1000,0.742828369140625,0.24093174934387207,0.24093538522720337,1.2755393981933594e-05,0.9892168695839955,0.9892169240401696,0.9999999904036522,1.1947058441638947,1.7896421458721161,7.356658574581147
70,1,lr_only_probe,70,10.0,0.0,1000,0.742828369140625,0.30857956409454346,0.3085780143737793,1.2040138244628906e-05,0.9029627051787757,0.9029627111307491,1.000000015437603,1.2011146494150162,1.9236621834039689,7.251720468997956
80,1,lr_only_probe,80,10.0,0.0,1000,0.742828369140625,0.21610212326049805,0.21610110998153687,1.0728836059570312e-05,0.7757913886335603,0.7757907657898028,0.9999999659657478,1.210194030880928,1.8955639338493346,6.956548738002777
90,1,lr_only_probe,90,10.0,0.0,1000,0.742828369140625,0.20196986198425293,0.2019670605659485,1.0967254638671875e-05,0.9138174177925409,0.9138171773601392,0.99999975502491,1.2170085906982422,1.9297887398004532,6.993375473022461
100,1,lr_only_probe,100,10.0,0.0,1000,0.742828369140625,0.19794845581054688,0.19795000553131104,1.2814998626708984e-05,0.5392383419902927,0.5392394742534018,1.0000000398755073,1.2236710777282716,2.274694957971573,7.121746406078339
110,1,lr_only_probe,110,10.0,0.0,1000,0.742828369140625,0.20658278465270996,0.20658493041992188,1.1265277862548828e-05,0.6059373943371912,0.6059368890539375,1.0000048834085464,1.2282734801769257,2.122240163564682,6.441529579162598
120,1,lr_only_probe,120,10.0,0.0,1000,0.742828369140625,0.2087550163269043,0.20875275135040283,1.3113021850585938e-05,0.09038782814166903,0.09038680469011516,0.9999999951720238,1.2308800559043884,2.3407369439601897,6.5664620065689085
130,1,lr_only_probe,130,10.0,0.0,1000,0.742828369140625,0.22945809364318848,0.22945940494537354,1.2576580047607422e-05,0.5360823804346954,0.5360828718165204,1.0000000128746032,1.2315817787647247,2.4832986037731173,6.788034687519073
140,1,lr_only_probe,140,10.0,0.0,1000,0.742828369140625,0.2227952480316162,0.22279560565948486,1.1026859283447266e-05,0.6641388450615178,0.6641393291274111,1.0000000138282776,1.2330838820934296,2.533386804103851,6.5546495885849
150,1,lr_only_probe,150,10.0,0.0,1000,0.742828369140625,0.21358299255371094,0.21358907222747803,1.4185905456542969e-05,0.8224331490579184,0.8224331261004446,1.0000000239014626,1.231955113172531,2.587243638753891,6.880836112976074
160,1,lr_only_probe,160,10.0,0.0,1000,0.742828369140625,0.1983318328857422,0.1983281970024109,1.1086463928222656e-05,0.7376913454375083,0.7376905444908252,1.000000029861927,1.2315469958782197,2.6952613260746,6.716028425216675
170,1,lr_only_probe,170,10.0,0.0,1000,0.742828369140625,0.15291571617126465,0.15291452407836914,1.150369644165039e-05,0.5100875056709343,0.5100889427629735,0.999999986588955,1.2301370615959168,2.8029535920619963,6.858047875881195
180,1,lr_only_probe,180,10.0,0.0,1000,0.742828369140625,0.1373898983001709,0.13739049434661865,1.043081283569336e-05,0.5790141031082583,0.5790144292230125,0.9999997155070305,1.2282556728124618,2.814092789888382,6.713640721797943
190,1,lr_only_probe,190,10.0,0.0,1000,0.742828369140625,0.14632463455200195,0.14632433652877808,1.1324882507324219e-05,0.6036760736070359,0.6036760412899518,1.0000216609835624,1.2281196043491363,2.9074794096946714,6.911217234134674
200,1,lr_only_probe,200,10.0,0.0,1000,0.742828369140625,0.12082362174987793,0.12082397937774658,1.150369644165039e-05,0.2781744597895546,0.2781745189254136,1.0000000070929527,1.2280113393068313,2.950923390865326,6.892568223953247
210,1,lr_only_probe,210,10.0,0.0,1000,0.742828369140625,0.1353135108947754,0.13531386852264404,1.0788440704345703e-05,0.7266390459685824,0.7266381589451693,0.9999999926686287,1.226709226846695,2.9787017290592193,6.839086404800415
220,1,lr_only_probe,220,10.0,0.0,1000,0.742828369140625,0.19319963455200195,0.19320130348205566,1.1324882507324219e-05,0.6393910751194759,0.6393919910266641,0.999999989926815,1.2245122700929643,3.057163226366043,6.937963461399078
230,1,lr_only_probe,230,10.0,0.0,1000,0.742828369140625,0.18390607833862305,0.18390536308288574,1.3172626495361328e-05,0.7805832471467948,0.7805823669561293,0.9999999452233315,1.2236214884519576,3.0299236943721772,6.95152953338623
240,1,lr_only_probe,240,10.0,0.0,1000,0.742828369140625,0.19246315956115723,0.1924598217010498,1.3053417205810547e-05,0.9555657399742971,0.9555660287554767,0.9999991613030433,1.2224460035562514,3.0734817786216735,7.1190359477996825
250,1,lr_only_probe,250,10.0,0.0,1000,0.742828369140625,0.19044923782348633,0.19045352935791016,1.1622905731201172e-05,0.8274209655963344,0.8274211397956162,1.000003445982933,1.2205841102600097,3.1236289269924162,7.096421465396881
260,1,lr_only_probe,260,10.0,0.0,1000,0.742828369140625,0.1772594451904297,0.1772555708885193,1.150369644165039e-05,0.8990413709758869,0.8990411616266739,1.000000017940998,1.2193296679258347,3.145494189977646,7.121801941871643
270,1,lr_only_probe,270,10.0,0.0,1000,0.742828369140625,0.1502690315246582,0.1502692699432373,1.1146068572998047e-05,0.8816384317856234,0.8816383300744212,0.99998540776968,1.2185833495855332,3.1665501823425295,7.143284290313721
280,1,lr_only_probe,280,10.0,0.0,1000,0.742828369140625,0.1756753921508789,0.1756751537322998,1.1444091796875e-05,0.8842361269127176,0.8842358369004707,0.9999999635219574,1.2179468870162964,3.1835908839702607,7.201258286952973
290,1,lr_only_probe,290,10.0,0.0,1000,0.742828369140625,0.17258477210998535,0.17258286476135254,1.3947486877441406e-05,0.8234437549849889,0.8234446584887791,1.0000000030398368,1.217016595363617,3.2022060770988463,7.215994418621063
300,1,lr_only_probe,300,10.0,0.0,1000,0.742828369140625,0.17239809036254883,0.17239898443222046,1.424551010131836e-05,0.8927695616717902,0.892770221203222,1.000000047981739,1.216901209115982,3.1988150696754456,7.2197979912757875
