struct_id,dihedral_deg,atom_index,Z,q0,q1_x,q1_y,q1_z,q1_norm,q2_0,q2_1,q2_2,q2_3,q2_4,q2_norm
645,144.27479811765923,3,6,-1.2169010639190674,1.3067587614059448,0.7033669352531433,-0.15884295105934143,1.4925061464309692,-4.121476650238037,-5.401488304138184,-1.5110509395599365,0.9903737902641296,0.3026159107685089,7.03692626953125
645,144.27479811765923,4,6,-1.216901183128357,-0.41543081402778625,-1.465838074684143,-0.17184260487556458,1.5332298278808594,-3.325270175933838,-2.453449249267578,-2.2772185802459717,1.0952657461166382,-0.3738650977611542,4.858182907104492
645,144.27479811765923,5,6,-1.216901183128357,0.36349785327911377,0.2795995771884918,0.10069123655557632,0.4695160686969757,-3.3650171756744385,-3.6499216556549072,-1.8660160303115845,0.9732707142829895,-0.30682113766670227,5.400803565979004
645,144.27479811765923,6,6,-1.2169013023376465,-1.6941311287155258e-07,-6.798601237534285e-09,2.138815524688198e-08,1.7089317339014087e-07,-3.3410794734954834,-3.265648365020752,-2.0337002277374268,0.9619975090026855,-0.4110092222690582,5.201689720153809
645,144.27479811765923,7,6,-1.216901183128357,-0.36349785327911377,-0.2795994281768799,-0.1006913110613823,0.46951597929000854,-3.364790439605713,-3.6498351097106934,-1.8659417629241943,0.9730832576751709,-0.3068414330482483,5.400546073913574
645,144.27479811765923,8,6,-1.216901183128357,0.41543081402778625,1.4658383131027222,0.17184244096279144,1.5332300662994385,-3.320835828781128,-2.436048984527588,-2.2688841819763184,1.091180682182312,-0.3810165226459503,4.842103958129883
645,144.27479811765923,9,6,-1.2169010639190674,-1.3067587614059448,-0.7033669352531433,0.15884317457675934,1.4925061464309692,-4.049169063568115,-5.31450891494751,-1.4413034915924072,0.9274961948394775,0.26067212224006653,6.902559757232666
645,144.27479811765923,10,1,-1.2169013023376465,2.787210464477539,2.9143381118774414,2.2105369567871094,4.5987372398376465,-7.975590705871582,-6.83880615234375,-3.5441980361938477,0.9758685827255249,-1.934552788734436,11.297586441040039
645,144.27479811765923,11,1,-1.216901183128357,-6.8532304763793945,-7.878037929534912,6.789925575256348,12.455253601074219,-6.211811065673828,-10.476644515991211,-4.869970321655273,-4.555231094360352,-1.0550901889801025,13.92575454711914
645,144.27479811765923,12,6,-1.216901421546936,0.19481687247753143,1.3214324712753296,-0.2738039493560791,1.363490343093872,-1.1695891618728638,-0.915008544921875,-0.8152502179145813,0.2891733944416046,-0.6464213132858276,1.8361084461212158
646,144.37419934731815,0,6,-1.216901183128357,-0.19481703639030457,-1.3214333057403564,0.2738037109375,1.363491177558899,-2.130664587020874,-1.662492036819458,-1.3308407068252563,0.8571503758430481,-0.3202205300331116,3.148332357406616
646,144.37419934731815,1,1,-1.2169010639190674,3.6432044506073,7.4707489013671875,-4.596166133880615,9.497882843017578,-5.967714309692383,-10.525177955627441,-0.6484421491622925,-3.8612375259399414,-4.420382022857666,13.463372230529785
646,144.37419934731815,2,1,-1.216901183128357,0.4228171408176422,-2.5070507526397705,-4.404295444488525,5.085459232330322,-5.179205417633057,-8.406877517700195,-2.452609062194824,0.2758098840713501,-2.609689950942993,10.507216453552246
646,144.37419934731815,3,6,-1.2169010639190674,1.3067582845687866,0.7033666968345642,-0.15884318947792053,1.4925055503845215,-4.121476650238037,-5.401488304138184,-1.511051058769226,0.9903737902641296,0.302615761756897,7.03692626953125
646,144.37419934731815,4,6,-1.216901183128357,-0.41543060541152954,-1.465838074684143,-0.17184248566627502,1.5332298278808594,-3.325270652770996,-2.4534494876861572,-2.2772185802459717,1.0952656269073486,-0.37386539578437805,4.85818338394165
646,144.37419934731815,5,6,-1.216901421546936,0.3634979724884033,0.27959924936294556,0.10069123655557632,0.46951594948768616,-3.3650171756744385,-3.6499218940734863,-1.8660162687301636,0.9732705950737,-0.30682113766670227,5.400804042816162
646,144.37419934731815,6,6,-1.2169013023376465,-7.722545092292421e-08,-2.101901941387041e-07,-4.904295636265488e-08,2.292354679411801e-07,-3.3410794734954834,-3.265648126602173,-2.0337002277374268,0.9619975090026855,-0.4110093414783478,5.201689720153809
646,144.37419934731815,7,6,-1.216901421546936,-0.36349794268608093,-0.2795991003513336,-0.10069171339273453,0.46951594948768616,-3.364790439605713,-3.6498351097106934,-1.8659424781799316,0.9730834364891052,-0.3068416714668274,5.400546073913574
646,144.37419934731815,8,6,-1.216901183128357,0.41543078422546387,1.465837836265564,0.17184245586395264,1.5332295894622803,-3.320858955383301,-2.4360978603363037,-2.2689170837402344,1.091193675994873,-0.38099977374076843,4.842161178588867
646,144.37419934731815,9,6,-1.2169010639190674,-1.3067591190338135,-0.7033670544624329,0.15884272754192352,1.492506504058838,-4.049506664276123,-5.314818382263184,-1.4416275024414062,0.9277147650718689,0.26080557703971863,6.903097629547119
646,144.37419934731815,10,1,-1.216901183128357,2.7798163890838623,2.915544271469116,2.2160394191741943,4.5976738929748535,-7.968954086303711,-6.8446245193481445,-3.5394506454467773,0.9703088402748108,-1.9394317865371704,11.295296669006348
646,144.37419934731815,11,1,-1.216901183128357,-6.845836162567139,-7.879242897033691,6.784420967102051,12.44894790649414,-6.211982727050781,-10.479570388793945,-4.856500625610352,-4.559118747711182,-1.0675820112228394,13.925552368164062
646,144.37419934731815,12,6,-1.216901183128357,0.19481687247753143,1.3214328289031982,-0.2738035321235657,1.3634905815124512,-1.1723648309707642,-0.9187537431716919,-0.8167694807052612,0.2905849814414978,-0.6464860439300537,1.840664029121399
647,144.47360867944641,0,6,-1.216901183128357,-0.19481727480888367,-1.3214333057403564,0.27380359172821045,1.363491177558899,-2.130664825439453,-1.6624925136566162,-1.330840826034546,0.857150137424469,-0.3202207386493683,3.1483325958251953
647,144.47360867944641,1,1,-1.2169009447097778,3.643205165863037,7.470751762390137,-4.596167087554932,9.497884750366211,-5.967715740203857,-10.525178909301758,-0.6484420299530029,-3.8612380027770996,-4.420382976531982,13.463374137878418
647,144.47360867944641,2,1,-1.2169009447097778,0.42281660437583923,-2.507051944732666,-4.404295444488525,5.0854597091674805,-5.1792073249816895,-8.406879425048828,-2.4526093006134033,0.27580997347831726,-2.609689950942993,10.507219314575195
647,144.47360867944641,3,6,-1.2169013023376465,1.3067591190338135,0.7033671140670776,-0.1588430404663086,1.492506504058838,-4.121476650238037,-5.4014892578125,-1.511050820350647,0.9903737902641296,0.30261605978012085,7.036927700042725
