global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,std_q,mean_abs_q,mean_q_mono,std_q_mono,mean_abs_q_mono,mean_q_dipole,std_q_dipole,mean_abs_q_dipole,mean_q_quadrupole,std_q_quadrupole,mean_abs_q_quadrupole,mean_e_short,mean_e_long,mean_e_total,mean_abs_e_short,mean_abs_e_long,mean_abs_e_total,f_long_over_f_total,e_long_over_e_total
5,1,lr_only_probe,5,10.0,0.0,3.707271049385097,2.7289529664129275,-1.0665020376352163,0.0,1.0665020376352163,-0.000687625432625795,1.8876856679183596,1.3356332577436398,-2.9972665902944713,5.30107918161799,3.897435028545673,1.2874603271484375e-08,-0.30364228022098544,-0.3036422654390335,1.681208610534668e-06,0.4976398706436157,0.4976398501396179,0.9999999964445129,1.0000000412024836
10,1,lr_only_probe,10,10.0,0.0,3.247915770084675,2.4571393062232905,-1.1035995448185847,0.0,1.1035995448185847,0.00016390283291156476,1.5894094849045752,1.1486854201096754,-2.8449506009615386,4.738118274553079,3.5129195951021637,-4.231929779052734e-08,0.023470843851566316,0.023470801413059236,1.5975236892700195e-06,0.40774270343780517,0.4077427451610565,1.0000001388656767,0.9999998976726089
15,1,lr_only_probe,15,10.0,0.0,2.9766521725411694,2.2747452590811967,-1.1217639289269081,0.0001543917645624837,1.1217639289269081,-0.0017220974335303673,1.4263241096417014,1.003024176181891,-2.7170127629206733,4.391623025086642,3.2683741943359377,-7.069110870361328e-08,-0.2408542482852936,-0.24085431778430938,1.557469367980957e-06,0.505283008813858,0.5052831594944001,0.9999999487629606,0.999999701789899
20,1,lr_only_probe,20,10.0,0.0,2.793160537193022,2.154332315037393,-1.1347627616295448,0.00017641279135667618,1.1347627616295448,-0.0023844193189572066,1.2815525215475079,0.8987654395470253,-2.5811269118088944,4.145524307594369,3.111586367563101,4.112720489501953e-08,-0.3400153824090958,-0.3400153421163559,1.5016794204711914e-06,0.5212397246360779,0.5212396788597107,0.9999999942740267,1.0000000878221076
25,1,lr_only_probe,25,10.0,0.0,2.7051785635496026,2.1184677056206596,-1.1443871553861178,0.0,1.1443871553861178,-0.0017663984787769807,1.3558433761009518,0.9522834785657052,-2.5019993013822117,3.99422699202513,3.0129943734975964,-2.0861625671386717e-08,-0.45786766254901884,-0.45786768186092375,1.5500783920288086e-06,0.5955734086036683,0.5955733890533448,1.0000000020890991,1.0000000328260528
30,1,lr_only_probe,30,10.0,0.0,2.4729383369669597,1.9539898107805822,-1.1517642106276291,0.00023487889570439853,1.1517642106276291,0.0006823571278498723,1.2743372750315576,0.8869546336638622,-2.288192457932692,3.6456648385972916,2.7546560208834134,8.952617645263672e-08,0.4268180048465729,0.42681809222698214,1.362919807434082e-06,0.5213860750198365,0.5213861494064331,0.9999993743242398,0.9999998573291662
35,1,lr_only_probe,35,10.0,0.0,2.4863541981020543,1.9921270021617923,-1.1629683339045598,0.0,1.1629683339045598,0.0013454175484486116,1.4134726743474042,1.0123087338178585,-2.2782665414663463,3.6274625008001857,2.7458497295673077,-9.417533874511719e-08,-0.213867787361145,-0.21386788141727447,1.5003681182861328e-06,0.4885168023109436,0.4885168704986572,1.0000000061828374,0.9999998604189174
40,1,lr_only_probe,40,10.0,0.0,2.4139434514009057,1.9307053379156651,-1.1706188724224385,9.233479494059588e-05,1.1706188724224385,0.000572346534484472,1.4465370873303025,1.0327045350686097,-2.1451183067908652,3.478972134896256,2.6215230506310094,3.552436828613281e-08,0.2021712919473648,0.20217132389545442,1.4207363128662108e-06,0.42795554065704344,0.4279554393291473,1.0000001175808069,1.000000236772072
45,1,lr_only_probe,45,10.0,0.0,2.379251551813726,1.9229225823818108,-1.1764162004910983,0.00017180558794610874,1.1764162004910983,-0.0013615291179754794,1.6914304252284282,1.1795667615059096,-2.106070449594351,3.3531777811459915,2.5182373553936297,-6.175041198730469e-08,-0.16503879046440126,-0.1650388526916504,1.3027191162109376e-06,0.4519537019729614,0.4519537160396576,0.9999997805016181,0.9999999688758037
50,1,lr_only_probe,50,10.0,0.0,2.6072138938738925,2.0812323112813838,-1.1807429158137395,0.00017129523281249613,1.1807429158137395,-0.0008377450918539977,1.9252111940386287,1.3324507767114884,-2.2157952223557693,3.6158411599751825,2.7105991248497596,3.206729888916016e-08,-0.27635665953159333,-0.2763566271066666,1.5000104904174805e-06,0.49669893622398376,0.4966988897323608,0.9999997633969078,1.0000000936012217
