atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-5.0615596771e-01,-4.4310949743e-02,2.6119658723e-02,-1.0272315145e-01,2.0634746179e-02,-1.0297775269e-01,1.3546885550e-01,-1.4197087288e-01,-3.5138181411e-03,7.9843997955e-02,-8.6347043514e-02,-1.6541270539e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.6955289841e+00,-6.8529485725e-04,-6.5801083110e-04,7.4350647628e-04,-1.1785056995e-04,5.3271115758e-04,-6.3101988053e-04,-4.9311187468e-05,-1.1100873817e-03,2.0032320754e-04,-2.7760061622e-01,2.2566167172e-04
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.6911823750e+00,-4.5946997125e-04,8.6316326633e-04,-1.1676228605e-03,2.1560066671e-04,2.8607118293e-04,2.4775395286e-04,4.6310562175e-04,2.7280827635e-04,-5.0722935703e-04,-3.1086313725e-01,4.3889519293e-04
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-5.2539110184e-01,-8.1306904554e-02,1.7244486511e-01,-1.0606670380e-01,-4.7550208867e-02,1.5900419652e-01,8.8359817863e-02,-1.2743926048e-01,-1.9452832639e-01,3.6609649658e-02,3.2585501671e-01,2.0693138242e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-5.1722073555e-01,1.2219502032e-01,-2.1594345570e-01,-4.8015514016e-01,-1.2129226327e-01,1.0688835382e-01,-2.4046899378e-01,1.4819306135e-01,-6.8355448544e-02,-1.1939865351e-01,2.1316730976e-01,1.3496010564e-02
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-5.4205679893e-01,2.7870094776e+00,-5.7525698096e-02,-5.3338959813e-02,1.7023979127e-01,6.5474677086e-01,3.3650476933e+00,5.8355073929e+00,3.5062859058e+00,-1.7359005213e+00,2.2519764304e-01,-5.5507142097e-02
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.9435195327e-01,4.5645754784e-02,-5.4288588464e-02,4.9657471478e-02,-4.0312718600e-02,1.0040962696e-01,-2.4927417934e-01,3.3422142267e-02,6.5252386034e-02,-1.6525390092e-03,1.6834746301e-01,-6.4371809363e-02
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-5.4293060303e-01,1.9290038347e+00,-4.1673055291e-01,9.5142476261e-02,2.2332715988e-01,1.9862508774e+00,2.8498501778e+00,-2.4084048271e+00,-1.1844383478e+00,-3.5038325787e+00,9.9831312895e-02,-3.5233385861e-02
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-5.1769131422e-01,4.5723579824e-02,1.0283266008e-01,4.9552664161e-02,1.2392958999e-01,2.6284095645e-01,9.4003140926e-02,1.0637840256e-02,-2.8266003728e-01,-1.9082698971e-02,4.3196558952e-02,7.9650171101e-03
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-5.0617337227e-01,-4.1309583932e-02,7.5929358602e-02,1.2900526822e-01,-9.2513620853e-02,1.5112383664e-01,1.5091112256e-01,-8.3889283240e-02,1.0391498357e-01,-1.9810747355e-02,6.8755745888e-02,1.1898833327e-02
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,2.6942169666e+00,-1.5536528372e-04,3.8089699228e-04,-4.2438892706e-05,-1.5319601516e-05,2.7381669497e-04,1.2894102838e-05,6.1473539972e-05,4.3503349298e-04,1.5970601817e-04,-2.6525688171e-01,3.0410347972e-04
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,2.6929421425e+00,-2.9017956695e-04,-4.2290327838e-04,1.1653131514e-04,-1.0263911099e-04,-1.0379438754e-04,1.2859910203e-04,-1.9564702234e-04,7.0674017479e-05,1.9683875144e-04,-2.9216629267e-01,4.0730473120e-04
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-5.2037930489e-01,-2.6100670919e-02,-1.0905234143e-02,-3.2576795667e-02,4.1067805141e-02,-9.2132806778e-02,-1.2492515147e-01,4.8446379602e-02,1.5898991376e-02,6.1818394810e-02,3.1267750263e-01,-2.7349339798e-03
