global_epoch,stage,stage_epoch,lr_weight,std_q,mean_abs_q,std_q_dipole,std_q_quadrupole,f_long_over_f_total,e_long_over_e_total
48,1,48,1.0,0.10710382065076507,0.051514140430678666,0.03686516938063725,0.01683348094305175,2.507193456459236e-05,3.8542857761128375
49,1,49,1.0,0.10709022402346202,0.05158676502847264,0.03674123784043439,0.017177716845433674,2.5963898726184915e-05,3.769793682666044
50,1,50,1.0,0.10720262352120945,0.05163028795291216,0.03692471110617652,0.01705419716099387,2.5786557635515167e-05,3.888964891018769
51,1,51,1.0,0.10718515589831788,0.05165885964418069,0.037085553573715686,0.017087857517056847,2.5644523573702033e-05,3.926761728808349
52,1,52,1.0,0.10732140782776978,0.05183666832426674,0.037570950520583755,0.017261663129051773,2.5838373008706932e-05,3.7295857904647987
53,1,53,1.0,0.10737117475018712,0.05176181512816339,0.0375627651960398,0.017019047777583896,2.5807107422034838e-05,3.797217413250133
54,1,54,1.0,0.10738090968225014,0.05173670183491503,0.03765917602171443,0.0168928012598216,2.577969491013409e-05,3.38788859639374
55,1,55,1.0,0.10747805358895907,0.0517765632042518,0.0378827229628811,0.0168133400144597,2.5519834778673464e-05,3.8096336973233083
56,1,56,1.0,0.10739996949838733,0.05157457680987497,0.036977999449383826,0.01683708831731929,2.5654750364344128e-05,3.9074719431772142
57,1,57,1.0,0.1075625581714148,0.05185737153403779,0.03798576335069485,0.01696016460955886,2.546812276609598e-05,3.7093150007261935
58,1,58,1.0,0.10759917383002025,0.05182372010059846,0.037854877007929194,0.016864404129907043,2.5535952676255455e-05,3.858294912161837
59,1,59,1.0,0.10769323105148164,0.05197999530368381,0.03854952001231924,0.01686770211379794,2.53841764735808e-05,3.823958197011646
60,1,60,1.0,0.1076865200941246,0.05218079542502379,0.03859808475034326,0.017462100500823224,2.558329237231139e-05,3.757787613908843
61,1,61,1.0,0.10780440144955393,0.05218463672735752,0.0388773298602481,0.017156066387381083,2.574726708393688e-05,3.864736188920335
62,1,62,1.0,0.10788702768417106,0.05243552724724142,0.039456230190516174,0.01750021948126561,2.6228874556678538e-05,3.8463248857259127
63,1,63,1.0,0.10796012809127321,0.05259003203954452,0.03978547339061316,0.01768770174386846,2.6169814079860665e-05,3.8804861274988816
64,1,64,1.0,0.10802135827205159,0.05269977504371578,0.040228437745821036,0.017717036584771147,2.6051169194805286e-05,3.84566304220874
65,1,65,1.0,0.10812872337521036,0.052989927569006244,0.04084814160833267,0.018123437513094545,2.611372490287354e-05,3.807155741308366
66,1,66,1.0,0.10815265387756128,0.052945135491526026,0.040897691433214554,0.017992913549694164,2.6755915326080065e-05,3.7558456178594755
67,1,67,1.0,0.10810623006591115,0.05288008724114834,0.04088546839524965,0.017855490717989836,2.625076084744529e-05,3.7367568239002185
68,1,68,1.0,0.10824331649224167,0.05313499633267395,0.04146062192386545,0.018166741273805773,2.6418036419806956e-05,3.8154676734366912
69,1,69,1.0,0.10836609658994646,0.0532672357151651,0.04199599902166071,0.0181695008825311,2.6618894570566144e-05,3.842728434497246
70,1,70,1.0,0.10836462529203333,0.053323585901504905,0.04206501212092266,0.01833964493591341,2.6870725148053165e-05,3.686296588865655
71,1,71,1.0,0.10839960958370724,0.05336143539298294,0.04228938642856794,0.01829019735734518,2.670827177082676e-05,3.795609214901765
72,1,72,1.0,0.10843408991062065,0.05344612196571807,0.04240570095798049,0.018444084480070167,2.697514919154413e-05,3.771371785659225
73,1,73,1.0,0.10847777290240343,0.0534217885009244,0.04262204376712649,0.01827401838910813,2.6939859236162104e-05,3.8414090220609913
74,1,74,1.0,0.10852151144438925,0.05347646201370109,0.042733983722172776,0.018321379076327606,2.7043420548769726e-05,3.6574389690016527
75,1,75,1.0,0.10863973683907906,0.053703114240597455,0.04348341799879795,0.018504886670541298,2.7014362396438822e-05,3.8053836065994466
76,1,76,1.0,0.10863151024971905,0.05367339334732447,0.043215451284726716,0.0185461281806594,2.7074077975866092e-05,3.855535082465277
77,1,77,1.0,0.10875371137003091,0.0539151728377383,0.04387160650452044,0.018780710696693747,2.7413596372798926e-05,3.8166035951683948
78,1,78,1.0,0.10870695318468943,0.053774630228678386,0.04369137997303614,0.018532176298069084,2.718558684170463e-05,3.678018844768539
79,1,79,1.0,0.10881978915530059,0.05393816669170673,0.04402518650651348,0.01871012196280493,2.737829939090619e-05,3.8642703727891954
80,1,80,1.0,0.10881704448908329,0.053911363650590946,0.04418224089422147,0.01859091609523366,2.7775566566587815e-05,3.87642208802592
81,1,81,1.0,0.10882638217580368,0.05387700930212298,0.04410617298398326,0.018555095442638787,2.768420786091942e-05,3.7629903670163816
82,1,82,1.0,0.10892236224495579,0.054053037659734744,0.04452377867560764,0.018728495988343075,2.8008165006876855e-05,3.8509664236602785
83,1,83,1.0,0.10892653538523576,0.05409762384137537,0.04460925636376796,0.018820134941369766,2.807102093603014e-05,3.877833928292958
84,1,84,1.0,0.10897710061850667,0.054198788439106735,0.04486656834657021,0.018939007846752717,2.818184148747945e-05,3.7573654527052494
85,1,85,1.0,0.10901480918525402,0.054239375644259985,0.045095989486543316,0.018904128558870168,2.8051284113585458e-05,3.7160549151327515
86,1,86,1.0,0.10905897505821682,0.0543359866020007,0.0453154522973723,0.01903892453680314,2.817866774048362e-05,3.84640515451864
87,1,87,1.0,0.1091294470881514,0.05450536010611771,0.04567864684840802,0.019262596169538584,2.818384669862042e-05,3.8155251493847038
88,1,88,1.0,0.10913742612548118,0.054457576458270734,0.04577077009051252,0.019090575496398483,2.815550059593681e-05,3.764571749373883
89,1,89,1.0,0.1091727943775782,0.05458930369320079,0.04597360911493509,0.019331507035171554,2.855492380702976e-05,3.803181501826872
90,1,90,1.0,0.10923550974107202,0.0546381104950212,0.046203868055757255,0.019290548432134777,2.863185953470545e-05,3.8815697144379517
91,1,91,1.0,0.1092469216380242,0.054608741760253904,0.046257323308508576,0.019206744446790443,2.847258002372707e-05,3.747147790681622
92,1,92,1.0,0.10933373948781486,0.054793545584393366,0.04662850400906576,0.019456474480154883,2.8744354517561437e-05,3.7475553098521526
93,1,93,1.0,0.10929552431148375,0.054737540090185964,0.04649778955441894,0.019396021711292056,2.864672520681602e-05,3.7542467601899685
94,1,94,1.0,0.10939129910731417,0.05490651742005959,0.04695342812740775,0.01954601559546779,2.8829008071531658e-05,3.855261678475621
95,1,95,1.0,0.1094299348256016,0.05495367800068651,0.04713247915556193,0.019561427433632397,2.8728490932661297e-05,3.864887708334808
96,1,96,1.0,0.10942680058150821,0.054981986412635214,0.047166468558016816,0.019639418054890185,2.8998098923068422e-05,3.7331368388934703
97,1,97,1.0,0.10951380643520797,0.05505864477565146,0.047433720652413205,0.01965655231464944,2.9259729215559876e-05,3.782257958975362
98,1,98,1.0,0.10950989023840922,0.05503900413839226,0.047440382195424395,0.01959495080566086,2.9061324968960255e-05,3.8352588705723476
99,1,99,1.0,0.10955289752607061,0.05517486167972924,0.047631304811805476,0.01982905338105119,2.9300971897893153e-05,3.8936356929732305
100,1,100,1.0,0.10957827961783513,0.05517391586303711,0.04783530113390455,0.019731366144284015,2.9114696467191163e-05,3.889360538004028
101,1,101,1.0,0.10960698542333933,0.05521070193429278,0.04793737192735878,0.01976962557350341,2.9260051501628375e-05,3.857414744197372
102,1,102,1.0,0.10962330672459271,0.05527587104862572,0.04804458060799259,0.019882743366058424,2.9503909332361307e-05,3.7985681722581788
103,1,103,1.0,0.10965868920435759,0.05530659422915206,0.04823866996189596,0.019843877639452424,2.9165540953745495e-05,3.8080980917920693
104,1,104,1.0,0.1096501966711961,0.055332769149389026,0.04825007029437421,0.01991406162371439,2.919301438489193e-05,3.8347007069616392
105,1,105,1.0,0.10972192276084965,0.05541219248323359,0.048447967546767515,0.019980853887578316,2.973023334156922e-05,3.7934099457937
106,1,106,1.0,0.1096984024080555,0.05538189397306524,0.04843913721578603,0.019919925392921235,2.945108907409156e-05,3.8302254553777564
107,1,107,1.0,0.10971178293091634,0.05544535322270842,0.0485314817837955,0.020041927899841584,2.9482349881696407e-05,3.8343268020138326
108,1,108,1.0,0.10973627952244301,0.05545547648372813,0.04864712380151309,0.01999767947948337,2.9704236110594643e-05,3.897554630342573
109,1,109,1.0,0.10975398030531032,0.05547960049881894,0.04873364568298158,0.020006159936475164,2.948559991608786e-05,3.8103929850319775
110,1,110,1.0,0.10979453955955233,0.055542413760454226,0.04892383164099514,0.020067220910815368,2.9696763944021922e-05,3.870783435784624
111,1,111,1.0,0.10978802993384497,0.05559103060991336,0.048972847551362005,0.020176911253889877,2.9665353540358e-05,3.8424792662302485
112,1,112,1.0,0.10982813134419062,0.05561780059031951,0.04911549774852994,0.020159888885896177,2.969488259304912e-05,3.8228149145822763
113,1,113,1.0,0.10984956171347704,0.055614261040320766,0.049165715610833396,0.020112581855436653,2.9791408755165698e-05,3.7580781352811097
114,1,114,1.0,0.10985462397659053,0.055655627845698954,0.04922363797277482,0.020189094795250773,2.9702397922993128e-05,3.818836449204603
115,1,115,1.0,0.10989467181924212,0.05574672112098107,0.04937495303747611,0.020327737081756937,3.000652351957007e-05,3.737183980726027
116,1,116,1.0,0.10987707148539745,0.05571509281386677,0.04937218734829948,0.020265523457893526,2.981173757817545e-05,3.7815772858164283
117,1,117,1.0,0.10994583213607972,0.05583820395184378,0.04966989034450701,0.020391262369400143,3.009191187580644e-05,3.8650967737679025
118,1,118,1.0,0.1099641169381763,0.05583486739590637,0.04974463294447233,0.02034310395883781,3.00891924546774e-05,3.7670436359003436
119,1,119,1.0,0.10995741255312165,0.05584800752819094,0.04973310806112503,0.02039394575916395,2.9912458725555426e-05,3.8155437592484707
120,1,120,1.0,0.1099821565822893,0.05591147936307467,0.04990089580933786,0.020461648984971017,3.013901739417925e-05,3.815442070563776
121,1,121,1.0,0.10998374873727093,0.05591466531998072,0.04990289241717504,0.02046112381036898,2.991086350716814e-05,3.7952343544552622
122,1,122,1.0,0.10999201623041162,0.05592894011277419,0.049952237290216715,0.02047184068503966,3.0043757324476337e-05,3.7970372147835874
123,1,123,1.0,0.11001959298752861,0.05596909377921341,0.05005393800683754,0.02052049154071202,3.0340306522980613e-05,3.834387691805283
124,1,124,1.0,0.11003563195841902,0.056010423122308195,0.05013841478144983,0.02056920402825908,3.0241745039691857e-05,3.834059220616954
125,1,125,1.0,0.11004951090167937,0.056023856432009966,0.050208297232907005,0.020564792828096645,3.0422295129578722e-05,3.8093586860392783
126,1,126,1.0,0.1100652301389555,0.05605171402499207,0.050307059940912086,0.02057400141490052,3.0111834664490725e-05,3.841377570649571
127,1,127,1.0,0.11007919539954107,0.05609063166430873,0.05031283641094576,0.02066735311747382,3.0453389521927755e-05,3.820759329406992
128,1,128,1.0,0.11011165690887616,0.05611296603210971,0.05049572034353025,0.020621841095389993,3.043310376209155e-05,3.866243491453195
129,1,129,1.0,0.11009951939758297,0.05610891430194561,0.0504101052615252,0.02065811377797789,3.0517769468909575e-05,3.829230510864336
130,1,130,1.0,0.11008394177084659,0.05608340522570488,0.05035808621970478,0.020628130592938533,3.048425792282476e-05,3.8210495902783332
131,1,131,1.0,0.11011009622254006,0.056129463391426285,0.05048467128936058,0.02067178785641863,3.0466381265412422e-05,3.8198181023394944
132,1,132,1.0,0.11012824547090945,0.05615928793361044,0.05056889877631351,0.020700902246486748,3.0739978961810005e-05,3.78783631687483
133,1,133,1.0,0.11012575142241982,0.05614570826342982,0.050564307843768905,0.02067322203375398,3.0552406347295996e-05,3.750495162303514
134,1,134,1.0,0.11014743758204691,0.056191368755112346,0.05065825927577037,0.020730282880391034,3.054804721508575e-05,3.8226477350532457
135,1,135,1.0,0.11016425925786084,0.056183148375943175,0.050708775510098406,0.020671210074198296,3.072650782810449e-05,3.8093221463826343
136,1,136,1.0,0.11020007660510767,0.05626325405153454,0.050911219299423695,0.020771319188059925,3.0643703174673516e-05,3.8369656218815136
137,1,137,1.0,0.11021267745356252,0.05630028723040198,0.05095240806102978,0.020838925331289088,3.0833358361667016e-05,3.857070202699283
138,1,138,1.0,0.11017557464542256,0.05622760818351028,0.050782156400096576,0.020748917196532914,3.0753409614266864e-05,3.7532362244505113
139,1,139,1.0,0.11020836999845161,0.05627781651162694,0.05094459509480831,0.02078522310506363,3.0778700237877254e-05,3.8411226662326934
140,1,140,1.0,0.11023278478201791,0.056350664904993825,0.05109844514626646,0.020887650152621232,3.0768629012937725e-05,3.8599971323835502
141,1,141,1.0,0.11023017579731698,0.05632997767130534,0.05106565835840242,0.020851462799800533,3.07818567584577e-05,3.8162129917499725
142,1,142,1.0,0.11021446624547475,0.056319698561969986,0.05100545091421048,0.020865288986580553,3.083066991034524e-05,3.8283439300321267
143,1,143,1.0,0.11022610238891037,0.05632395843766693,0.05105001670730598,0.020843636816115844,3.07845612593996e-05,3.8198255986833054
144,1,144,1.0,0.1102375783380318,0.05634726464035165,0.051096905760641714,0.020873747182263,3.094077067857277e-05,3.853150071676346
145,1,145,1.0,0.11025904836355681,0.056391205160026873,0.05123119029350633,0.02091687265954823,3.0811151363828705e-05,3.848904348100974
146,1,146,1.0,0.11024980390670826,0.05636351339226095,0.0511636489435705,0.02088231239223895,3.094019633381016e-05,3.7941476548504447
147,1,147,1.0,0.1102571883830143,0.05638487563173995,0.05121529854833875,0.02091049062857336,3.080384617366974e-05,3.8188877897079494
148,1,148,1.0,0.11027443043549864,0.05641957023816231,0.051291261301375804,0.02095533115350683,3.0905951881062236e-05,3.8205517916140694
149,1,149,1.0,0.11026962678828768,0.056399664854392025,0.0512619923546163,0.020915518268295828,3.095778446856736e-05,3.8340529728045967
150,1,150,1.0,0.11028535505515269,0.05642236044468024,0.051318634046614145,0.020940674170016327,3.100612941016573e-05,3.8168731936813005
151,1,151,1.0,0.11030164085729612,0.0564503921117538,0.05139508525486389,0.020970161334515944,3.101137960789898e-05,3.8071644045710715
152,1,152,1.0,0.11028581769752611,0.056447764404818544,0.0513649141177325,0.020991298383145347,3.097569175084591e-05,3.808440499706559
153,1,153,1.0,0.1103077840790639,0.05646915253207215,0.05144375383578075,0.020993120952736127,3.115066414006221e-05,3.854113513712061
154,1,154,1.0,0.11030795236410157,0.05646670740893763,0.05144770365647408,0.02098460900073376,3.0962513462699346e-05,3.8202250515524225
155,1,155,1.0,0.1103066384629905,0.05646590925689436,0.05144433237868213,0.020987417027120727,3.112266989228972e-05,3.8092774879206943
156,1,156,1.0,0.11032846990685384,0.05650430796696589,0.05154874923576371,0.02101683301456281,3.102880185127791e-05,3.845083845258875
157,1,157,1.0,0.11033003925942671,0.05652445442656166,0.051572288526625217,0.021062318331769365,3.1054892169923786e-05,3.82070278986242
158,1,158,1.0,0.11033192441190551,0.056518558241363266,0.051571948898155064,0.02104641001047574,3.1086877453229847e-05,3.812117778110061
159,1,159,1.0,0.11035844634637412,0.05656397475544204,0.0516869041487297,0.021099379970067878,3.119217887876744e-05,3.8187714563818766
160,1,160,1.0,0.11035646479729441,0.056548951043023,0.051671384125903747,0.02106355651534027,3.113734686594497e-05,3.84386371429548
161,1,161,1.0,0.11036026644433679,0.05656505799904848,0.051689715482043416,0.021094551679804306,3.124304801511216e-05,3.8280241566201814
162,1,162,1.0,0.11036078042204543,0.05656345585880117,0.05169559593145306,0.021088074901568516,3.1116755566404125e-05,3.810621142835357
163,1,163,1.0,0.11037331126495582,0.056585465846917565,0.05176154267074662,0.021107055586594762,3.117110542733889e-05,3.8330962597617573
164,1,164,1.0,0.1103674329212786,0.05658285721346863,0.05173295457712125,0.021116665871729615,3.1221598821348876e-05,3.8433174532791328
165,1,165,1.0,0.11037007471355667,0.05657890994732197,0.051736085373988,0.021103886953514374,3.126911548744205e-05,3.827723032989984
166,1,166,1.0,0.11037415621877204,0.056588367951221956,0.05175244569013987,0.021118489834116082,3.1318786092852386e-05,3.8214292514878703
167,1,167,1.0,0.1103814025523797,0.056610096532055454,0.05180847565926264,0.02114909439387031,3.123631499826334e-05,3.798472246648542
168,1,168,1.0,0.11038669363533163,0.05660680836082524,0.05182356912275673,0.021125280284628293,3.1211533356506235e-05,3.8243427541038875
169,1,169,1.0,0.11038852220277649,0.0566131343352489,0.05182020634210442,0.02114206720826942,3.1321825643545076e-05,3.831065753777324
170,1,170,1.0,0.11038864711553655,0.05661572415604551,0.051815946282485814,0.02115121119434296,3.13261841790376e-05,3.776546831372639
171,1,171,1.0,0.11039437622919597,0.05662484695564987,0.05186550422919705,0.021146950225465585,3.123868637998437e-05,3.8352957498927887
172,1,172,1.0,0.11040049693560947,0.05663512935801449,0.05189518642710482,0.02115749246342534,3.125949673762034e-05,3.850282739449519
173,1,173,1.0,0.11040424180909156,0.056651907700758716,0.05191545770175361,0.021189094133351245,3.128405855061813e-05,3.8409747089728157
174,1,174,1.0,0.11041086188589512,0.056652278737125236,0.05192899172509485,0.02118116399690971,3.139523100686313e-05,3.8332563655391914
175,1,175,1.0,0.11040637034642077,0.056650368943173664,0.05191536720707302,0.021185321105917955,3.134928862920437e-05,3.797861033387617
176,1,176,1.0,0.11040763109295307,0.05665409567417243,0.05194440067921363,0.021182947860864415,3.123267435479531e-05,3.8129378954050277
177,1,177,1.0,0.11041730541114987,0.056670385083581645,0.051967677205030746,0.021207327642939255,3.139121359869625e-05,3.818663283721737
178,1,178,1.0,0.11041974147662452,0.0566650624723516,0.051985051876642666,0.021181928438753755,3.130978400020555e-05,3.8302065673761487
179,1,179,1.0,0.11041621687350177,0.056664312183347526,0.05196752161579045,0.021192531476036856,3.135974913016487e-05,3.798769563257357
180,1,180,1.0,0.11042922060049322,0.05668846978081597,0.05203149555054657,0.021216962579795072,3.1318591694389246e-05,3.8180264628371314
181,1,181,1.0,0.1104249179975679,0.056679971874269666,0.051999553676035655,0.021211882620313427,3.141882792610983e-05,3.817068257585279
182,1,182,1.0,0.11043216186376402,0.056694765987559265,0.05204737785694352,0.02122254289363126,3.131275833552902e-05,3.838876352028355
183,1,183,1.0,0.11042450358357246,0.056683385082799145,0.05201643528661849,0.021214313370831683,3.126292620580934e-05,3.7982056051090014
184,1,184,1.0,0.11043201011600823,0.05668873720087557,0.05203389901907786,0.021214172985479444,3.1411085331923874e-05,3.8102277521338332
185,1,185,1.0,0.11043826419564308,0.05670188095223191,0.05206849121968427,0.021227627948090518,3.138741336173519e-05,3.8295446094381242
186,1,186,1.0,0.11043959485639991,0.05670565900232038,0.05207107894714648,0.021235845315703702,3.142083113141554e-05,3.8161260361614726
187,1,187,1.0,0.11043266833076065,0.0566939092456785,0.05204276706378514,0.021223559198351463,3.1392367102870346e-05,3.802394436005845
188,1,188,1.0,0.11043300553851304,0.056696985032823354,0.05204487453688153,0.021230125734920346,3.137154322932799e-05,3.805849855581075
189,1,189,1.0,0.1104457253143151,0.056718289236737114,0.052101405329149156,0.02124932089536052,3.1439721416316125e-05,3.8373643672305695
190,1,190,1.0,0.11044404992866985,0.056717894790518995,0.052101066524426295,0.021250314613101902,3.139475310817111e-05,3.8370751443827946
191,1,191,1.0,0.11044579224831473,0.0567233772277832,0.05210843193577248,0.021261340002430826,3.138668600890604e-05,3.823708275342553
192,1,192,1.0,0.11044752432950444,0.056720115335578594,0.05211483126681409,0.021248666917836067,3.140369981303179e-05,3.8204520629095797
193,1,193,1.0,0.11044684833815145,0.05671832307994875,0.0521063111212923,0.021248413799169766,3.14343323237647e-05,3.819809156825909
194,1,194,1.0,0.11045402710249494,0.05673173813127045,0.05213991714486789,0.021262408534669097,3.143649313623505e-05,3.8226992349717435
195,1,195,1.0,0.11044962215213147,0.05672839489146175,0.05212798891151726,0.02126262488267474,3.139549320989767e-05,3.817110114724738
196,1,196,1.0,0.11045448603453102,0.056727681999532584,0.05213826834921758,0.02125208990038699,3.1461307637019865e-05,3.8259173653768723
197,1,197,1.0,0.11045839835772694,0.0567398438412919,0.05217188382886694,0.0212648829172897,3.137456142089167e-05,3.837021431798742
198,1,198,1.0,0.11045418750712557,0.05672838175194895,0.05214022042039021,0.02125415931749356,3.142117561186279e-05,3.8175318321989815
199,1,199,1.0,0.110458770496531,0.05674271223280165,0.05216848061688231,0.02127522557182211,3.140709110162532e-05,3.823807440119892
200,1,200,1.0,0.1104574383443038,0.05674010356674847,0.05216110600211949,0.021273769488037254,3.142373887599216e-05,3.797909572409361
201,2,1,5.0,0.11063348437906981,0.057165631840371676,0.05345537005277329,0.02158701074491055,0.0001464621699674061,1.676258156188046
202,2,2,5.0,0.11063401305796146,0.05746387814252805,0.054441532430252855,0.02177919549559814,0.00013551624129683022,3.0512601172534137
203,2,3,5.0,0.1103750083701388,0.05747235342172476,0.05463637371828323,0.021727216249484985,0.00012746319405096033,11.211032860339051
204,2,4,5.0,0.11028767724463898,0.057448327317197095,0.0542690297179127,0.02184589439815476,0.00013609866386083975,14.19839170983109
205,2,5,5.0,0.11024339137087531,0.057419862144013754,0.05380891030024223,0.0219585285068588,0.00014574947038580358,16.133226503978467
206,2,6,5.0,0.11023991139928653,0.057406983236981256,0.05346079000931814,0.022042171655585113,0.00015328629711089837,17.476776504981444
207,2,7,5.0,0.1102817528213166,0.05744444998716697,0.05335778503363413,0.022126948886268642,0.0001582495250494347,18.372955511394263
208,2,8,5.0,0.11033796410778246,0.05750234150682759,0.05341165136794967,0.02219591301547799,0.00016031999976911788,18.905591785140984
209,2,9,5.0,0.11040444906321713,0.05756710248115735,0.053537377219247555,0.022252343750857145,0.00016116023786361063,19.080755488983968
