step,epoch_est,q0_mean,q0_std,q1_norm_mean,q2_norm_mean,sr_energy_sum,lr_energy_sum
4005,2.0025,0.05836285965958461,0.14353119444706736,1.558348874180783e-05,3.0004795642807263e-05,-4.140512228007,4.28595712781
8010,4.005,-0.12167884137192307,0.09676723079876715,0.0011521412328080378,0.0017834770298350892,-4.060873076301,3.09354668856
12015,6.0075,0.10588547931307693,0.5357802881519292,0.005339055094518496,0.007820478240488806,-3.477333441385,2.53561149538
16020,8.01,0.0751729080323077,0.8981063114243993,0.005239954971346871,0.008831547796029033,-3.0078105926659,2.48686037959
20025,10.0125,0.29014027704270773,0.3804405220501917,0.006645047748171814,0.011976759615950166,-2.7415455728750002,2.45574802158
24030,12.015,-0.0081436294132,0.014342669862411785,0.007511610627149627,0.01630911312597901,-2.973080843684,2.28461542726
28035,14.0175,0.0632610504538461,1.9774801020861035,0.022006911773981633,0.08094201924633453,-1.865204799927,2.18178254366
32040,16.02,0.45349025038384616,1.3156914097457546,0.04633465713632577,0.165124486170286,-1.925517380243,1.915972650057
36045,18.0225,0.6749952479173693,1.1612191704650658,0.05342523538295011,0.16705893640602182,-1.185298223065,1.510868214065
40050,20.025,0.7860242208620769,0.9925782378083754,0.0634109827714788,0.2054015546947619,-0.8995780497770001,1.152209460736
44055,22.0275,0.5636086824954616,1.1707318324676739,0.06613911645820558,0.24487449641659503,-1.0508780777527,1.208971649403
48060,24.03,0.37068719589076926,0.9875885671640142,0.06878174359311927,0.27046256312587713,-0.667587980619,1.227615199975
52065,26.0325,0.33482034046000003,1.0866785276794164,0.06781369085951175,0.27210520578106245,-1.226491793997,1.274200595914
56070,28.035,0.4498154978067692,0.9080520695908764,0.08851268674032377,0.34010648421345907,-0.868669085209,1.002557221799
60075,30.0375,0.5387151769240385,0.9300192175678762,0.07092585445362268,0.395221173027272,-0.9390426501693,0.758227752522
64080,32.04,0.49047283369307687,1.024843764266134,0.08696107283941708,0.4210364830581653,-0.6737627834134,0.8255325779330001
68085,34.0425,0.5343411083407692,1.1818727621989258,0.07136446765594091,0.45202814751309656,-0.68134353683,0.8968268148599999
72090,36.045,0.4849424270499231,0.8544004755084195,0.06435909001427678,0.36961174805820135,-0.473776416846,0.566840238869
76095,38.0475,0.31569426105461534,1.1441050615085948,0.07072970432405816,0.5233619474065274,-0.7820768505417,0.586546355858
80100,40.05,0.45336155693746155,0.8266246196496648,0.09873045591802368,0.526215682071455,-0.6320506632367,0.7869467549020001
84105,42.0525,0.403548576511,0.5548617151472535,0.07977694738227561,0.4376873044326287,-0.4765084087909,0.596185114234
88110,44.055,0.2817153357569231,0.8996754393754378,0.09439477780147904,0.5042169459418846,-0.5128636956298,0.632358978502
92115,46.0575,0.43492128300023075,0.8551838308233229,0.11881941533526344,0.6279176475375945,-0.7022425085370001,0.623150676488
96120,48.06,0.5397534073870769,0.5186999468071931,0.11121722841322994,0.7099937032035905,-0.47063341736310005,0.614814905449
100125,50.0625,0.33529054545153847,1.0655040393476234,0.10152812692637475,0.5602384445351049,-0.5067849680841001,0.689902529123
104130,52.065,0.3585216903068539,1.318360988740625,0.10568097092595238,0.5822836487249637,-0.202624440197,0.3382782731203
