struct_id,dihedral_deg,atom_index,Z,q0,q1_x,q1_y,q1_z,q1_norm,q2_0,q2_1,q2_2,q2_3,q2_4,q2_norm
0,83.42481930851925,0,6,-0.14457204937934875,1.1710475291693e-06,-1.3711534165850026e-06,6.064942681405228e-08,1.804187377274502e-06,-3.1527764576821937e-07,5.765211881225696e-06,-1.3351129837246845e-06,6.714781619621135e-08,-1.8376245236595423e-07,5.9294075072102714e-06
0,83.42481930851925,1,1,-0.17220580577850342,-3.7246775264065946e-06,4.536315827863291e-06,1.042456801769731e-06,5.961383976682555e-06,-3.3820697353803553e-06,-2.341039817110868e-06,-1.4689803151668457e-07,3.032005224667955e-07,-5.454793381431955e-07,4.1629218685557134e-06
0,83.42481930851925,2,1,-0.17220580577850342,1.543038138152042e-06,-2.9383505761870765e-07,1.1766711622840376e-06,1.96261566998146e-06,-2.113958998961607e-06,-4.624832399713341e-06,-1.1817523954960052e-06,-3.574468507849815e-07,2.9751376473541313e-07,5.241251528786961e-06
0,83.42481930851925,3,6,-0.12296921014785767,-3.734234610419662e-07,-1.64330231200438e-06,-2.985958644785569e-06,3.428678382988437e-06,-2.7078436914962367e-07,2.681296336959349e-06,2.0841102923441213e-06,2.635735256717453e-07,-1.1072775123466272e-06,3.5918972116633086e-06
0,83.42481930851925,4,6,-0.13567300140857697,2.730517394411436e-07,-9.231909814388928e-08,1.1900116447804976e-07,3.118354356956843e-07,-5.233370075075072e-07,1.4950937838875689e-06,1.0205666711726735e-07,2.273421984000379e-07,-2.034409590123687e-06,2.5903880214173114e-06
0,83.42481930851925,5,6,-0.13955017924308777,2.7310200767516335e-09,1.4406931825305946e-07,-7.483992447987475e-08,1.6237130751051154e-07,1.5846441669964406e-07,2.033529426626046e-06,7.135294595173036e-07,-1.6550851000829425e-07,-1.8132541299564764e-06,2.8257320536795305e-06
0,83.42481930851925,6,6,-0.13982145488262177,2.9841000377922155e-15,-3.8573951568728407e-14,-1.8669946502420515e-13,1.9066605932982483e-13,1.6132516122979723e-07,2.016628286583e-06,6.62375441606855e-07,-1.4805732462264132e-07,-1.8047048797598109e-06,2.7947157832386438e-06
0,83.42481930851925,7,6,-0.13955019414424896,-2.7309732253399943e-09,-1.4406947457246133e-07,7.483986763645589e-08,1.6237142119734926e-07,1.6126807622640627e-07,2.0355657852633158e-06,7.141593982851191e-07,-1.670224634153783e-07,-1.812762207009655e-06,2.8272888812352903e-06
0,83.42481930851925,8,6,-0.13567300140857697,-2.7305182470627187e-07,9.231911235474399e-08,-1.1900098684236582e-07,3.118354356956843e-07,-5.67180109101173e-07,1.4204471199263935e-06,7.768880294634073e-08,2.4541208176742657e-07,-2.046449480985757e-06,2.5677970825199736e-06
0,83.42481930851925,9,6,-0.12296918779611588,3.734236315722228e-07,1.6433027667517308e-06,2.985958644785569e-06,3.4286786103621125e-06,4.373486035547103e-07,2.956169737444725e-06,2.4265511910925852e-06,-2.0659338417772233e-07,-1.3079018117423402e-06,4.070829618285643e-06
0,83.42481930851925,10,1,-0.17220580577850342,9.947543730959296e-07,-5.522393621504307e-06,9.055796112988901e-07,5.683875315298792e-06,-3.804333346124622e-07,-5.660657734551933e-06,-9.12400025754323e-07,9.494665960119164e-07,6.929362257324101e-07,5.865312687092228e-06
