atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.3755178711e+04,-2.6657752991e+01,-6.7830071449e+00,-9.2433080673e+00,-3.7039928436e+01,-1.5123173523e+02,8.5507255554e+01,-4.1476943970e+01,2.6804766846e+02,2.8979200363e+01,-1.7458961904e-01,5.1569975913e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,3.1275239258e+03,-1.3894989014e+01,-7.2668108940e+00,-1.7672636509e+00,-5.1191244125e+00,-9.2988710403e+00,-2.5216312408e+00,-1.2547094345e+01,-7.6826539040e+00,4.6050643921e+00,-1.4851522446e-01,6.1920724809e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.9574367676e+03,-1.0730508804e+01,6.6426191330e+00,-8.3044195175e+00,-1.2892539501e+00,2.0059943199e+00,6.2479901314e+00,-6.5288720131e+00,-4.5396790504e+00,6.8759427071e+00,-1.6543599963e-01,6.1876155436e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.9394191406e+04,3.2985861206e+02,-4.7818298340e+02,-1.9584019470e+02,-3.6829959106e+02,1.6736318970e+02,-4.1379577637e+02,7.2947937012e+02,1.7111125183e+02,-1.7575398254e+02,4.6958059072e-02,8.0254338682e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.7410128906e+04,1.8061392212e+02,-5.9412971497e+01,2.0685365295e+02,-7.9459785461e+01,9.3839979172e+00,5.3006475830e+02,4.4073339844e+02,4.3602346802e+02,-9.5008049011e+00,1.4893352985e-01,7.7415175736e-02
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.8094949219e+04,-1.0935044922e+04,-2.4646548462e+02,-2.5511833191e+02,-9.0283068848e+02,-3.4533866882e+01,-5.8102739258e+03,-1.2226753906e+04,-9.9624853516e+03,4.9284306641e+03,1.1972533166e-01,-3.4075759351e-02
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.1691159180e+04,-1.0759104156e+02,2.6732873917e+00,-1.0412985802e+01,-1.6565898895e+01,-9.1509742737e+01,3.7470500946e+01,-2.0081602097e+01,7.1621109009e+01,7.2948989868e+01,2.9588609934e-02,4.2129587382e-02
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.5365227539e+04,-8.7311191406e+03,-4.0943182373e+02,-8.4520031738e+02,-5.2806146240e+02,-3.8610571289e+03,-7.1637646484e+03,5.3598452148e+03,3.3468471680e+03,1.0029583008e+04,-1.7089232802e-02,-2.5631533936e-03
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.4784694336e+04,4.5640118408e+02,1.0708346558e+02,-2.5341198730e+02,9.0952346802e+01,4.0681527710e+02,3.5440020752e+02,-3.5648147583e+02,-4.7866939545e+01,-8.1650689697e+02,-2.0374700427e-02,7.7004201710e-02
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.7959847656e+04,3.4344995117e+02,-9.6652839661e+01,6.8268478394e+01,6.9869293213e+01,1.9308450317e+02,3.2737597656e+02,-1.0009844208e+02,-3.2027294922e+02,-1.9015859985e+02,-1.5204685926e-01,6.2779560685e-02
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,3.1151384277e+03,-1.0457158089e+01,-5.9859218597e+00,1.3457752466e+00,-4.1064095497e-01,-1.2406374931e+01,-9.9755487442e+00,2.8867297173e+00,3.9565050602e+00,1.1153135300e+01,-1.3501009345e-01,6.2937311828e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,2.9780935059e+03,-1.0282857895e+01,1.2593606710e+00,5.7769732475e+00,-2.2172064781e+00,-2.7196031809e-01,-9.9732065201e+00,4.6291565895e+00,1.0328632355e+01,8.8403720856e+00,-1.5225097537e-01,6.3954137266e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,1.1952659180e+04,-4.5032566071e+01,-8.4343135357e-01,-3.8711261749e+01,2.2349817276e+01,-9.7068817139e+01,-1.6381861877e+02,1.2665663910e+02,-1.0891157532e+02,8.5108459473e+01,1.6895639896e-01,5.8565348387e-02
