Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  9.37e-02 |     -- |  9.75e+01 |  1.39e+02 |     -- |  2.45e+02 |  4.10e+02
    8010 |  2.21e-02 |     -- |  5.40e+01 |  6.67e+01 |     -- |  1.53e+02 |  2.00e+02
   12015 |  1.50e-02 |     -- |  3.98e+01 |  4.92e+01 |     -- |  1.25e+02 |  1.66e+02
   16020 |  1.25e-02 |     -- |  3.72e+01 |  4.71e+01 |     -- |  1.12e+02 |  1.51e+02
   20025 |  1.08e-02 |     -- |  3.44e+01 |  4.26e+01 |     -- |  1.04e+02 |  1.41e+02
   24030 |  9.92e-03 |     -- |  2.94e+01 |  3.68e+01 |     -- |  1.00e+02 |  1.36e+02
   28035 |  8.92e-03 |     -- |  2.68e+01 |  3.35e+01 |     -- |  9.39e+01 |  1.29e+02
   32040 |  6.72e-03 |     -- |  2.55e+01 |  3.19e+01 |     -- |  7.95e+01 |  1.11e+02
   36045 |  5.71e-03 |     -- |  2.29e+01 |  2.86e+01 |     -- |  7.23e+01 |  1.03e+02
   40050 |  4.31e-03 |     -- |  2.21e+01 |  2.77e+01 |     -- |  6.10e+01 |  8.86e+01
   44055 |  3.96e-03 |     -- |  1.80e+01 |  2.29e+01 |     -- |  5.92e+01 |  8.60e+01
   48060 |  3.41e-03 |     -- |  2.08e+01 |  2.60e+01 |     -- |  5.38e+01 |  7.84e+01
   52065 |  2.97e-03 |     -- |  1.47e+01 |  1.86e+01 |     -- |  5.12e+01 |  7.48e+01
   56070 |  2.98e-03 |     -- |  1.59e+01 |  2.01e+01 |     -- |  5.06e+01 |  7.45e+01
   60075 |  2.77e-03 |     -- |  1.61e+01 |  2.13e+01 |     -- |  4.84e+01 |  7.13e+01
   64080 |  2.46e-03 |     -- |  1.49e+01 |  1.88e+01 |     -- |  4.53e+01 |  6.76e+01
   68085 |  2.49e-03 |     -- |  1.36e+01 |  1.79e+01 |     -- |  4.59e+01 |  6.83e+01
   72090 |  2.25e-03 |     -- |  1.48e+01 |  1.84e+01 |     -- |  4.32e+01 |  6.46e+01
   76095 |  2.14e-03 |     -- |  1.29e+01 |  1.61e+01 |     -- |  4.23e+01 |  6.34e+01
   80100 |  2.04e-03 |     -- |  1.33e+01 |  1.68e+01 |     -- |  4.11e+01 |  6.17e+01
   84105 |  1.95e-03 |     -- |  1.20e+01 |  1.52e+01 |     -- |  4.01e+01 |  6.06e+01
   88110 |  1.82e-03 |     -- |  1.08e+01 |  1.37e+01 |     -- |  3.87e+01 |  5.88e+01
   92115 |  1.80e-03 |     -- |  1.12e+01 |  1.45e+01 |     -- |  3.81e+01 |  5.82e+01
   96120 |  1.75e-03 |     -- |  1.22e+01 |  1.58e+01 |     -- |  3.71e+01 |  5.70e+01
  100125 |  1.69e-03 |     -- |  1.13e+01 |  1.40e+01 |     -- |  3.66e+01 |  5.64e+01
  104130 |  1.57e-03 |     -- |  1.01e+01 |  1.32e+01 |     -- |  3.54e+01 |  5.45e+01
  108135 |  1.57e-03 |     -- |  1.01e+01 |  1.29e+01 |     -- |  3.54e+01 |  5.46e+01
  112140 |  1.52e-03 |     -- |  8.55e+00 |  1.07e+01 |     -- |  3.56e+01 |  5.42e+01
  116145 |  1.53e-03 |     -- |  1.04e+01 |  1.34e+01 |     -- |  3.46e+01 |  5.36e+01
  120150 |  1.48e-03 |     -- |  9.63e+00 |  1.25e+01 |     -- |  3.42e+01 |  5.30e+01
  124155 |  1.45e-03 |     -- |  9.10e+00 |  1.17e+01 |     -- |  3.42e+01 |  5.25e+01
  128160 |  1.40e-03 |     -- |  8.52e+00 |  1.10e+01 |     -- |  3.31e+01 |  5.17e+01
  132165 |  1.40e-03 |     -- |  9.30e+00 |  1.20e+01 |     -- |  3.33e+01 |  5.15e+01
  136170 |  1.31e-03 |     -- |  8.93e+00 |  1.12e+01 |     -- |  3.21e+01 |  5.00e+01
  140175 |  1.31e-03 |     -- |  9.11e+00 |  1.14e+01 |     -- |  3.21e+01 |  4.99e+01
  144180 |  1.26e-03 |     -- |  7.23e+00 |  9.28e+00 |     -- |  3.25e+01 |  4.94e+01
  148185 |  1.38e-03 |     -- |  8.57e+00 |  1.13e+01 |     -- |  3.28e+01 |  5.14e+01
  152190 |  1.28e-03 |     -- |  8.32e+00 |  1.04e+01 |     -- |  3.22e+01 |  4.96e+01
  156195 |  1.32e-03 |     -- |  9.81e+00 |  1.24e+01 |     -- |  3.22e+01 |  5.00e+01
  160200 |  1.21e-03 |     -- |  9.15e+00 |  1.16e+01 |     -- |  3.11e+01 |  4.79e+01
  164205 |  1.23e-03 |     -- |  9.07e+00 |  1.15e+01 |     -- |  3.10e+01 |  4.83e+01
  168210 |  1.18e-03 |     -- |  9.01e+00 |  1.15e+01 |     -- |  3.06e+01 |  4.72e+01
