Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  220275 |  9.73e-04 |     -- |  8.49e+00 |  1.07e+01 |     -- |  2.80e+01 |  4.28e+01
  224280 |  1.02e-03 |     -- |  7.92e+00 |  1.01e+01 |     -- |  2.89e+01 |  4.41e+01
  228285 |  9.79e-04 |     -- |  7.50e+00 |  9.57e+00 |     -- |  2.79e+01 |  4.32e+01
  232290 |  1.22e-03 |     -- |  9.16e+00 |  1.14e+01 |     -- |  2.85e+01 |  4.81e+01
  236295 |  9.92e-04 |     -- |  7.08e+00 |  9.21e+00 |     -- |  2.83e+01 |  4.36e+01
  240300 |  7.56e-04 |     -- |  7.15e+00 |  9.39e+00 |     -- |  2.45e+01 |  3.77e+01
  244305 |  8.24e-04 |     -- |  7.06e+00 |  9.06e+00 |     -- |  2.58e+01 |  3.96e+01
  248310 |  8.17e-04 |     -- |  6.87e+00 |  8.95e+00 |     -- |  2.55e+01 |  3.94e+01
  252315 |  8.45e-04 |     -- |  8.10e+00 |  1.02e+01 |     -- |  2.64e+01 |  3.98e+01
  256320 |  8.49e-04 |     -- |  7.85e+00 |  9.88e+00 |     -- |  2.60e+01 |  4.00e+01
  260325 |  8.42e-04 |     -- |  7.26e+00 |  9.52e+00 |     -- |  2.58e+01 |  3.99e+01
  264330 |  8.66e-04 |     -- |  7.67e+00 |  9.83e+00 |     -- |  2.65e+01 |  4.04e+01
  268335 |  8.18e-04 |     -- |  7.13e+00 |  9.20e+00 |     -- |  2.59e+01 |  3.94e+01
  272340 |  8.30e-04 |     -- |  6.95e+00 |  9.08e+00 |     -- |  2.62e+01 |  3.97e+01
  276345 |  8.57e-04 |     -- |  7.95e+00 |  1.00e+01 |     -- |  2.61e+01 |  4.02e+01
  280350 |  9.09e-04 |     -- |  8.60e+00 |  1.09e+01 |     -- |  2.72e+01 |  4.12e+01
  284355 |  8.40e-04 |     -- |  7.20e+00 |  9.13e+00 |     -- |  2.62e+01 |  4.00e+01
  288360 |  8.81e-04 |     -- |  7.62e+00 |  9.83e+00 |     -- |  2.64e+01 |  4.08e+01
  292365 |  8.86e-04 |     -- |  8.12e+00 |  1.06e+01 |     -- |  2.66e+01 |  4.07e+01
  296370 |  8.66e-04 |     -- |  7.27e+00 |  9.08e+00 |     -- |  2.68e+01 |  4.06e+01
  300375 |  8.57e-04 |     -- |  6.81e+00 |  8.60e+00 |     -- |  2.66e+01 |  4.05e+01
  304380 |  9.02e-04 |     -- |  7.37e+00 |  9.42e+00 |     -- |  2.73e+01 |  4.14e+01
  308385 |  8.53e-04 |     -- |  6.90e+00 |  8.99e+00 |     -- |  2.65e+01 |  4.03e+01
  312390 |  9.17e-04 |     -- |  7.95e+00 |  1.00e+01 |     -- |  2.69e+01 |  4.16e+01
  316395 |  1.17e-02 |     -- |  9.24e+00 |  1.28e+01 |     -- |  4.22e+01 |  1.52e+02
  320400 |  8.50e-04 |     -- |  6.22e+00 |  8.15e+00 |     -- |  2.64e+01 |  4.04e+01
  324405 |  8.05e-04 |     -- |  6.40e+00 |  8.47e+00 |     -- |  2.56e+01 |  3.92e+01
  328410 |  7.67e-04 |     -- |  6.36e+00 |  8.37e+00 |     -- |  2.49e+01 |  3.83e+01
  332415 |  7.78e-04 |     -- |  6.57e+00 |  8.30e+00 |     -- |  2.52e+01 |  3.86e+01
  336420 |  7.42e-04 |     -- |  6.11e+00 |  7.82e+00 |     -- |  2.46e+01 |  3.77e+01
  340425 |  7.93e-04 |     -- |  6.73e+00 |  8.66e+00 |     -- |  2.51e+01 |  3.89e+01
  344430 |  7.33e-04 |     -- |  6.74e+00 |  8.55e+00 |     -- |  2.48e+01 |  3.73e+01
  348435 |  7.43e-04 |     -- |  7.03e+00 |  9.16e+00 |     -- |  2.46e+01 |  3.74e+01
  352440 |  7.32e-04 |     -- |  6.35e+00 |  8.28e+00 |     -- |  2.42e+01 |  3.73e+01
  356445 |  7.62e-04 |     -- |  6.43e+00 |  8.41e+00 |     -- |  2.46e+01 |  3.81e+01
  360450 |  6.94e-04 |     -- |  6.84e+00 |  8.85e+00 |     -- |  2.41e+01 |  3.62e+01
  364455 |  7.49e-04 |     -- |  7.73e+00 |  9.95e+00 |     -- |  2.46e+01 |  3.74e+01
  368460 |  1.04e-03 |     -- |  7.24e+00 |  9.61e+00 |     -- |  2.74e+01 |  4.46e+01
  372465 |  7.98e-04 |     -- |  6.74e+00 |  8.47e+00 |     -- |  2.58e+01 |  3.90e+01
  376470 |  8.42e-04 |     -- |  6.59e+00 |  8.62e+00 |     -- |  2.61e+01 |  4.01e+01
  380475 |  7.90e-04 |     -- |  7.48e+00 |  9.71e+00 |     -- |  2.56e+01 |  3.85e+01
  384480 |  7.90e-04 |     -- |  7.01e+00 |  8.94e+00 |     -- |  2.52e+01 |  3.87e+01
  388485 |  7.89e-04 |     -- |  7.91e+00 |  9.88e+00 |     -- |  2.56e+01 |  3.85e+01
  392490 |  8.00e-04 |     -- |  7.06e+00 |  9.15e+00 |     -- |  2.54e+01 |  3.89e+01
  396495 |  7.58e-04 |     -- |  7.76e+00 |  1.02e+01 |     -- |  2.51e+01 |  3.76e+01
  400500 |  7.98e-04 |     -- |  7.14e+00 |  9.19e+00 |     -- |  2.52e+01 |  3.89e+01
  404505 |  7.62e-04 |     -- |  9.27e+00 |  1.16e+01 |     -- |  2.50e+01 |  3.73e+01
  408510 |  7.30e-04 |     -- |  7.65e+00 |  9.87e+00 |     -- |  2.44e+01 |  3.69e+01
  412515 |  8.31e-04 |     -- |  5.18e+00 |  6.88e+00 |     -- |  2.62e+01 |  4.02e+01
