atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.6278429031e+00,8.8801532984e-02,-8.5812248290e-02,-1.2443107367e+00,-6.3647007942e-01,-3.9031466842e-01,1.8845590949e-01,-3.3595663309e-01,7.8837992623e-03,1.7011427879e-01,-7.6482558250e-01,7.5437664986e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,5.6981773376e+00,1.1711810715e-02,3.7603240460e-02,-1.7647379637e-01,-6.5640076995e-02,-7.5717240572e-02,9.3520231545e-02,-7.5309768319e-02,-1.9503384829e-03,6.8990483880e-02,4.5860624313e-01,7.4383631349e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,5.7210946083e+00,2.5327702984e-02,-5.8907076716e-02,-1.0520308465e-01,-8.2734920084e-02,-1.0736387223e-01,5.5491346866e-02,-9.1323189437e-02,1.8203213811e-02,4.2655408382e-02,4.5807036757e-01,7.3796875775e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.4523892403e+00,-3.3421027660e+00,1.7907293141e-01,-6.0551896095e+00,-1.9467271566e+00,3.6900465488e+00,2.7516484261e-04,5.4003677368e+00,1.9912947416e+00,-2.5563421249e+00,-3.8509148359e-01,7.0460714400e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.3112075329e+00,-2.3661820590e-01,8.1205594540e-01,8.1085063517e-02,8.7859189510e-01,1.6274666414e-02,8.2294709980e-02,-1.2939609587e-01,-5.7494528592e-02,2.7855796739e-02,-2.2127342224e-01,2.5045621395e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.3372054100e+00,-1.8772223592e-01,6.7162305117e-01,8.2441881299e-02,6.6241294146e-01,1.5085485578e-01,8.7702058256e-02,-1.4377805404e-02,-1.8010129035e-01,-6.6578001715e-03,-2.5347983837e-01,3.2025134563e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.4804947376e+00,-1.5949401259e-01,3.2596684992e-02,3.9623633027e-02,1.7334896326e-01,2.7199465036e-01,1.9827937707e-02,6.7568165250e-03,7.6532267034e-02,1.1740299314e-01,-4.6246650815e-01,3.0199801922e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.4638111591e+00,-1.5393927693e-01,-2.5121530890e-01,7.1418017149e-02,6.0932070017e-01,2.4985780939e-02,1.5814411640e-01,-1.6899652779e-01,1.6765509546e-01,-1.4928704128e-02,-4.4298571348e-01,3.0838674307e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.4688065052e+00,-1.7535834014e-01,1.1817283928e-01,2.5234058499e-01,7.2317332029e-01,6.9809295237e-02,1.7837272584e-01,3.0650431290e-02,-2.7395695448e-02,8.1476360559e-02,-4.5119479299e-01,5.1796174049e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.5620810986e+00,-3.6717357635e+00,-3.0476593971e+00,5.1757330894e+00,-2.3774199486e+00,4.2215394974e+00,3.3350627422e+00,-1.1780736446e+00,-2.7765383720e+00,-4.7192015648e+00,-5.9969538450e-01,1.0539207608e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,5.6814427376e+00,2.8753045946e-02,-3.0198207125e-02,1.3413046300e-01,-6.6856205463e-02,-4.9661975354e-02,-1.3375224173e-01,5.8307386935e-02,5.0911542028e-02,8.0580845475e-02,4.6896168590e-01,7.6235465705e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,5.6987004280e+00,3.1705420464e-02,-1.3033923507e-01,8.2573123276e-02,-4.4949173927e-02,-8.9152261615e-02,-1.0444856435e-01,4.2848620564e-02,3.0110355467e-02,8.3256460726e-02,4.6479094028e-01,7.7873267233e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-2.4843883514e+00,8.5225306451e-02,-7.6350104809e-01,1.0651684999e+00,-6.8218159676e-01,-2.5960507989e-01,-3.8251173496e-01,1.3683153689e-01,1.4585809410e-01,2.4700328708e-01,-4.4355949759e-01,7.6952502131e-02
