atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.1877353191e-01,3.9257809520e-02,-1.7904760316e-02,-2.9256665707e-01,-1.4354617894e-01,-1.2619943917e-01,5.8331780136e-02,-9.2663615942e-02,1.5876932070e-02,3.9796680212e-02,-9.2713695765e-01,5.8224275708e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.1157243252e+00,-1.5334771015e-03,3.7951858249e-03,-1.3640989549e-02,-3.8710003719e-03,-1.3795333914e-02,2.8403591365e-02,-1.8939357251e-02,-1.8589955289e-03,2.1063562483e-02,6.8186157942e-01,9.2214792967e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.1136078835e+00,1.3190408936e-03,-5.2951113321e-03,-9.3813771382e-03,-6.8148355931e-03,-2.3541489616e-02,7.1151661687e-03,-2.3254036903e-02,-1.8159640022e-03,1.1755248532e-02,6.8086427450e-01,9.0222880244e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.2313051224e-01,-6.2253868580e-01,9.2747144401e-02,-1.1027892828e+00,-3.5771647096e-01,7.6667523384e-01,6.5903306007e-02,1.2129443884e+00,4.4619283080e-01,-5.6135511398e-01,-5.4643309116e-01,4.0107972920e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.2406773567e-01,-5.0851870328e-02,1.8803122640e-01,1.7290323973e-02,2.1017925441e-01,4.0533673018e-03,3.2084058970e-02,-4.9584738910e-02,-7.2964285500e-03,1.6070630401e-02,-2.2797204554e-01,2.0979107916e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.2471146584e-01,-3.6138966680e-02,1.5001200140e-01,2.0648648962e-02,1.5379592776e-01,5.7471483946e-02,2.7229294181e-02,-6.4768474549e-03,-7.4739530683e-02,-1.0829996318e-02,-2.7132746577e-01,2.8858780861e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.2434656620e-01,-3.4484893084e-02,5.6370329112e-03,8.2796858624e-03,3.4949991852e-02,7.5552769005e-02,8.9020881569e-04,1.6142566456e-03,2.2420762107e-02,3.3833429217e-02,-4.9639090896e-01,2.8704294562e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.2470467091e-01,-3.0886039138e-02,-5.2142161876e-02,1.1935539544e-02,1.3827453554e-01,7.6319854707e-03,5.0199754536e-02,-5.8132477105e-02,5.1259901375e-02,-1.6225358471e-02,-4.5989319682e-01,2.7143210173e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.2470145226e-01,-3.5042475909e-02,2.6720345020e-02,5.8969065547e-02,1.6559903324e-01,2.3196507245e-02,6.1351336539e-02,1.2877019122e-02,-1.4564275742e-02,2.1396931261e-02,-4.6027365327e-01,4.6470111609e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.2195093632e-01,-6.8810027838e-01,-5.4668420553e-01,9.7973203659e-01,-4.7527197003e-01,9.4022679329e-01,7.0717000961e-01,-2.6007091999e-01,-5.8906698227e-01,-1.0648719072e+00,-6.7861557007e-01,1.0382734239e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,2.1204006672e+00,6.5541145159e-04,-9.5897563733e-04,1.6733672470e-02,-8.2350196317e-03,-1.6502076760e-03,-3.2249759883e-02,1.4098684303e-02,2.1548464894e-02,2.1802037954e-02,6.8420338631e-01,9.2151537538e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,2.1170608997e+00,1.3419053284e-03,-1.4080859721e-02,6.7031257786e-03,-3.7595101167e-03,-2.8384411708e-02,-1.8320750445e-02,6.4984979108e-03,8.0064944923e-03,2.4366335943e-02,6.8258053064e-01,9.3380585313e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-9.2290496826e-01,3.9360854775e-02,-1.7811062932e-01,2.5114431977e-01,-1.5229505301e-01,-8.4048680961e-02,-1.3285645843e-01,4.9823731184e-02,3.1527806073e-02,6.7050702870e-02,-6.6358584166e-01,6.0867425054e-02
