atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0423338413e+00,5.8923929930e-02,-3.2525710762e-02,-4.5409542322e-01,-2.2612771392e-01,-1.9390125573e-01,1.0195670277e-01,-1.5067493916e-01,1.7268465832e-02,7.5836375356e-02,-8.8649398088e-01,5.8936607093e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.4187448025e+00,-2.6810559211e-04,7.5658308342e-03,-2.5038389489e-02,-6.6506890580e-03,-2.1877923980e-02,3.6024738103e-02,-3.2791569829e-02,-7.0381574333e-03,3.0084576458e-02,6.8176811934e-01,8.5145615041e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.4231479168e+00,3.4597292542e-03,-9.6877561882e-03,-1.6928622499e-02,-1.2023060583e-02,-3.0318155885e-02,1.7242532223e-02,-3.2445598394e-02,-4.2930138297e-03,1.9926631823e-02,6.8395704031e-01,8.4529720247e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0475113392e+00,-1.0189676285e+00,1.2213632464e-01,-1.8096894026e+00,-5.7175749540e-01,1.2751220465e+00,9.2968605459e-02,1.9846385717e+00,7.1060800552e-01,-9.0535229445e-01,-4.9913638830e-01,4.4316601008e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0379511118e+00,-6.8471685052e-02,2.8772467375e-01,3.1406443566e-02,3.2017317414e-01,7.8811496496e-04,4.6438422054e-02,-7.7383860946e-02,-1.1469488032e-02,2.2554904222e-02,-2.6869907975e-01,2.2747388482e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0409392118e+00,-4.7808218747e-02,2.3651857674e-01,2.6723736897e-02,2.4292838573e-01,8.4748752415e-02,3.7808097899e-02,-1.3481668197e-02,-1.1403312534e-01,-1.9550010562e-02,-3.0890604854e-01,2.8575676680e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0486483574e+00,-4.9544069916e-02,1.2065566145e-02,1.4188270085e-02,6.3287198544e-02,1.1354955286e-01,1.1907073203e-03,3.1819164287e-03,3.3865559846e-02,5.0542742014e-02,-5.2365708351e-01,3.0892899632e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0479813814e+00,-4.1597642004e-02,-8.2724936306e-02,2.3506762460e-02,2.1830028296e-01,1.1383414268e-02,7.4961386621e-02,-8.7051190436e-02,7.8717932105e-02,-2.5858087465e-02,-4.9503481388e-01,2.7305445075e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0482615232e+00,-4.8163518310e-02,4.0368802845e-02,9.0126745403e-02,2.6028692722e-01,3.5833787173e-02,9.2514164746e-02,2.0472988486e-02,-2.4683337659e-02,3.1823925674e-02,-4.9932143092e-01,4.7002452612e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0469125509e+00,-1.1226092577e+00,-8.9724415541e-01,1.5877512693e+00,-7.4487632513e-01,1.5309727192e+00,1.1541680098e+00,-4.1830563545e-01,-9.5278072357e-01,-1.7212157249e+00,-6.7039728165e-01,1.0677801818e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,2.4313819408e+00,9.0414902661e-04,-3.1577507034e-03,3.0160315335e-02,-1.4890091494e-02,-1.2444968335e-02,-4.2127382010e-02,1.7566863447e-02,3.0045958236e-02,3.6079626530e-02,6.8811297417e-01,8.5124962032e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,2.4278829098e+00,2.2524704691e-03,-2.5412771851e-02,1.2230696157e-02,-6.8492293358e-03,-3.3599674702e-02,-2.8267255053e-02,1.0261522606e-02,1.8730398268e-02,3.7396833301e-02,6.8643456697e-01,8.7018199265e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-1.0464884043e+00,5.8422900736e-02,-2.7641725540e-01,3.8842049241e-01,-2.3688992858e-01,-1.3081365824e-01,-2.0747902989e-01,7.6549686491e-02,6.1493732035e-02,1.1320519447e-01,-5.9649318457e-01,6.1397306621e-02
