Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4000 |  8.10e-02 |     -- |  1.07e+02 |  1.46e+02 |     -- |  2.25e+02 |  3.75e+02
    8000 |  1.93e-02 |     -- |  4.71e+01 |  5.92e+01 |     -- |  1.42e+02 |  1.88e+02
   12000 |  1.23e-02 |     -- |  3.47e+01 |  4.36e+01 |     -- |  1.12e+02 |  1.51e+02
   16000 |  6.40e-03 |     -- |  3.02e+01 |  3.79e+01 |     -- |  7.53e+01 |  1.07e+02
   20000 |  4.96e-03 |     -- |  3.23e+01 |  4.06e+01 |     -- |  6.28e+01 |  9.10e+01
   24000 |  4.25e-03 |     -- |  2.84e+01 |  3.61e+01 |     -- |  5.78e+01 |  8.49e+01
   28000 |  3.59e-03 |     -- |  2.49e+01 |  3.23e+01 |     -- |  5.33e+01 |  7.83e+01
   32000 |  3.13e-03 |     -- |  2.25e+01 |  2.91e+01 |     -- |  4.98e+01 |  7.36e+01
   36000 |  2.86e-03 |     -- |  1.97e+01 |  2.53e+01 |     -- |  4.81e+01 |  7.12e+01
   40000 |  2.53e-03 |     -- |  1.84e+01 |  2.27e+01 |     -- |  4.55e+01 |  6.74e+01
   44000 |  2.27e-03 |     -- |  1.55e+01 |  2.05e+01 |     -- |  4.31e+01 |  6.41e+01
   48000 |  2.34e-03 |     -- |  1.75e+01 |  2.23e+01 |     -- |  4.35e+01 |  6.47e+01
   52000 |  2.12e-03 |     -- |  1.59e+01 |  2.02e+01 |     -- |  4.14e+01 |  6.20e+01
   56000 |  1.90e-03 |     -- |  1.53e+01 |  1.99e+01 |     -- |  3.90e+01 |  5.83e+01
   60000 |  1.79e-03 |     -- |  1.58e+01 |  2.01e+01 |     -- |  3.75e+01 |  5.63e+01
   64000 |  1.69e-03 |     -- |  1.22e+01 |  1.58e+01 |     -- |  3.72e+01 |  5.60e+01
   68000 |  1.50e-03 |     -- |  1.31e+01 |  1.67e+01 |     -- |  3.46e+01 |  5.23e+01
   72000 |  1.51e-03 |     -- |  1.27e+01 |  1.62e+01 |     -- |  3.47e+01 |  5.25e+01
   76000 |  1.39e-03 |     -- |  1.23e+01 |  1.58e+01 |     -- |  3.31e+01 |  5.03e+01
   80000 |  1.36e-03 |     -- |  1.15e+01 |  1.45e+01 |     -- |  3.31e+01 |  5.00e+01
   84000 |  1.26e-03 |     -- |  1.09e+01 |  1.37e+01 |     -- |  3.19e+01 |  4.83e+01
   88000 |  1.22e-03 |     -- |  1.10e+01 |  1.45e+01 |     -- |  3.11e+01 |  4.73e+01
   92000 |  1.16e-03 |     -- |  1.14e+01 |  1.39e+01 |     -- |  3.07e+01 |  4.61e+01
   96000 |  1.15e-03 |     -- |  1.13e+01 |  1.45e+01 |     -- |  2.98e+01 |  4.56e+01
  100000 |  1.08e-03 |     -- |  1.03e+01 |  1.32e+01 |     -- |  2.92e+01 |  4.46e+01
  104000 |  1.07e-03 |     -- |  1.10e+01 |  1.39e+01 |     -- |  2.90e+01 |  4.42e+01
  108000 |  1.02e-03 |     -- |  9.76e+00 |  1.32e+01 |     -- |  2.85e+01 |  4.33e+01
  112000 |  1.05e-03 |     -- |  1.13e+01 |  1.43e+01 |     -- |  2.87e+01 |  4.34e+01
  116000 |  9.32e-04 |     -- |  8.74e+00 |  1.15e+01 |     -- |  2.74e+01 |  4.16e+01
  120000 |  9.82e-04 |     -- |  8.46e+00 |  1.06e+01 |     -- |  2.83e+01 |  4.30e+01
  124000 |  9.56e-04 |     -- |  9.01e+00 |  1.14e+01 |     -- |  2.78e+01 |  4.22e+01
  128000 |  9.11e-04 |     -- |  8.94e+00 |  1.10e+01 |     -- |  2.71e+01 |  4.12e+01
  132000 |  8.83e-04 |     -- |  8.67e+00 |  1.08e+01 |     -- |  2.66e+01 |  4.06e+01
