train,"{'mae': 0.09141525626182556, 'rmse': 0.10843029618263245}","{'mae': 0.33749473094940186, 'rmse': 0.6809989213943481}"
val,"{'mae': 0.015146092511713505, 'rmse': 0.01883028633892536}","{'mae': 0.15121614933013916, 'rmse': 0.19484783709049225}"
train,"{'mae': 0.02004236727952957, 'rmse': 0.024294644594192505}","{'mae': 0.13983803987503052, 'rmse': 0.18175378441810608}"
val,"{'mae': 0.016215253621339798, 'rmse': 0.019127266481518745}","{'mae': 0.1298549622297287, 'rmse': 0.17107342183589935}"
train,"{'mae': 0.019146094098687172, 'rmse': 0.022823184728622437}","{'mae': 0.1294427216053009, 'rmse': 0.17031864821910858}"
val,"{'mae': 0.024681229144334793, 'rmse': 0.028149837628006935}","{'mae': 0.1264888048171997, 'rmse': 0.16692250967025757}"
train,"{'mae': 0.01839008741080761, 'rmse': 0.02209915779531002}","{'mae': 0.12670351564884186, 'rmse': 0.16719046235084534}"
val,"{'mae': 0.0203079991042614, 'rmse': 0.023250333964824677}","{'mae': 0.11998025327920914, 'rmse': 0.16064110398292542}"
train,"{'mae': 0.017494723200798035, 'rmse': 0.020669013261795044}","{'mae': 0.12304816395044327, 'rmse': 0.16342642903327942}"
val,"{'mae': 0.01781812123954296, 'rmse': 0.02053776942193508}","{'mae': 0.1196507140994072, 'rmse': 0.15962959825992584}"
train,"{'mae': 0.017026575282216072, 'rmse': 0.02015877701342106}","{'mae': 0.12248777598142624, 'rmse': 0.1628202497959137}"
val,"{'mae': 0.017835404723882675, 'rmse': 0.02057543769478798}","{'mae': 0.11936430633068085, 'rmse': 0.15965914726257324}"
train,"{'mae': 0.016978666186332703, 'rmse': 0.019914355129003525}","{'mae': 0.12016166746616364, 'rmse': 0.16058041155338287}"
val,"{'mae': 0.020779110491275787, 'rmse': 0.0237100999802351}","{'mae': 0.11985158920288086, 'rmse': 0.15927782654762268}"
train,"{'mae': 0.01662026159465313, 'rmse': 0.01954805850982666}","{'mae': 0.11968110501766205, 'rmse': 0.16008451581001282}"
val,"{'mae': 0.014542454853653908, 'rmse': 0.01874227076768875}","{'mae': 0.11767103523015976, 'rmse': 0.1581246554851532}"
