Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  220275 |  1.08e-03 |     -- |  7.04e+00 |  8.86e+00 |     -- |  2.99e+01 |  4.57e+01
  224280 |  1.07e-03 |     -- |  6.75e+00 |  8.97e+00 |     -- |  3.00e+01 |  4.54e+01
  228285 |  1.07e-03 |     -- |  7.32e+00 |  9.18e+00 |     -- |  2.97e+01 |  4.54e+01
  232290 |  1.09e-03 |     -- |  8.73e+00 |  1.12e+01 |     -- |  2.97e+01 |  4.52e+01
  236295 |  1.05e-03 |     -- |  7.43e+00 |  9.38e+00 |     -- |  2.91e+01 |  4.50e+01
  240300 |  1.04e-03 |     -- |  6.53e+00 |  8.31e+00 |     -- |  2.96e+01 |  4.48e+01
  244305 |  1.01e-03 |     -- |  6.45e+00 |  8.51e+00 |     -- |  2.91e+01 |  4.41e+01
  248310 |  9.95e-04 |     -- |  7.16e+00 |  9.42e+00 |     -- |  2.87e+01 |  4.36e+01
  252315 |  9.63e-04 |     -- |  6.75e+00 |  8.59e+00 |     -- |  2.84e+01 |  4.30e+01
  256320 |  1.01e-03 |     -- |  7.12e+00 |  9.14e+00 |     -- |  2.89e+01 |  4.39e+01
  260325 |  1.00e-03 |     -- |  6.06e+00 |  7.77e+00 |     -- |  2.89e+01 |  4.40e+01
  264330 |  9.88e-04 |     -- |  6.29e+00 |  8.62e+00 |     -- |  2.85e+01 |  4.36e+01
  268335 |  9.67e-04 |     -- |  7.08e+00 |  9.80e+00 |     -- |  2.79e+01 |  4.29e+01
  272340 |  9.82e-04 |     -- |  7.27e+00 |  9.52e+00 |     -- |  2.85e+01 |  4.33e+01
  276345 |  1.04e-03 |     -- |  6.59e+00 |  8.61e+00 |     -- |  2.93e+01 |  4.48e+01
  280350 |  9.62e-04 |     -- |  7.86e+00 |  1.01e+01 |     -- |  2.80e+01 |  4.27e+01
  284355 |  9.43e-04 |     -- |  6.31e+00 |  8.39e+00 |     -- |  2.81e+01 |  4.26e+01
  288360 |  9.98e-04 |     -- |  5.86e+00 |  7.66e+00 |     -- |  2.88e+01 |  4.40e+01
  292365 |  9.26e-04 |     -- |  6.89e+00 |  8.88e+00 |     -- |  2.76e+01 |  4.21e+01
  296370 |  1.00e-03 |     -- |  6.29e+00 |  8.60e+00 |     -- |  2.87e+01 |  4.39e+01
  300375 |  9.45e-04 |     -- |  7.45e+00 |  9.52e+00 |     -- |  2.80e+01 |  4.24e+01
  304380 |  9.75e-04 |     -- |  7.26e+00 |  9.03e+00 |     -- |  2.83e+01 |  4.32e+01
  308385 |  9.09e-04 |     -- |  6.39e+00 |  8.09e+00 |     -- |  2.78e+01 |  4.19e+01
  312390 |  8.81e-04 |     -- |  7.19e+00 |  9.13e+00 |     -- |  2.74e+01 |  4.10e+01
  316395 |  8.86e-04 |     -- |  7.03e+00 |  8.94e+00 |     -- |  2.69e+01 |  4.11e+01
  320400 |  9.50e-04 |     -- |  7.41e+00 |  9.66e+00 |     -- |  2.80e+01 |  4.25e+01
  324405 |  8.89e-04 |     -- |  7.70e+00 |  9.73e+00 |     -- |  2.71e+01 |  4.10e+01
  328410 |  8.70e-04 |     -- |  6.96e+00 |  9.05e+00 |     -- |  2.69e+01 |  4.07e+01
  332415 |  8.96e-04 |     -- |  6.88e+00 |  9.02e+00 |     -- |  2.70e+01 |  4.14e+01
  336420 |  8.63e-04 |     -- |  6.93e+00 |  8.68e+00 |     -- |  2.69e+01 |  4.06e+01
  340425 |  9.28e-04 |     -- |  6.69e+00 |  8.81e+00 |     -- |  2.76e+01 |  4.22e+01
  344430 |  8.82e-04 |     -- |  7.32e+00 |  9.80e+00 |     -- |  2.71e+01 |  4.09e+01
  348435 |  8.98e-04 |     -- |  5.82e+00 |  7.62e+00 |     -- |  2.76e+01 |  4.17e+01
  352440 |  8.95e-04 |     -- |  7.51e+00 |  9.85e+00 |     -- |  2.71e+01 |  4.12e+01
  356445 |  8.61e-04 |     -- |  6.42e+00 |  8.33e+00 |     -- |  2.66e+01 |  4.07e+01
  360450 |  9.06e-04 |     -- |  6.60e+00 |  8.26e+00 |     -- |  2.75e+01 |  4.18e+01
