train,"{'mae': 0.045209851115942, 'rmse': 0.059031013399362564}","{'mae': 0.03689391911029816, 'rmse': 0.05957398936152458}"
val,"{'mae': 0.0858747586607933, 'rmse': 0.09630095213651657}","{'mae': 0.02889033406972885, 'rmse': 0.045186012983322144}"
train,"{'mae': 0.052943989634513855, 'rmse': 0.06645824760198593}","{'mae': 0.028086092323064804, 'rmse': 0.04222259670495987}"
val,"{'mae': 0.02989950403571129, 'rmse': 0.033241670578718185}","{'mae': 0.025664810091257095, 'rmse': 0.0394028015434742}"
train,"{'mae': 0.03252880275249481, 'rmse': 0.03736512362957001}","{'mae': 0.026017261669039726, 'rmse': 0.03959572687745094}"
val,"{'mae': 0.03237568214535713, 'rmse': 0.036160290241241455}","{'mae': 0.026632729917764664, 'rmse': 0.04085974395275116}"
train,"{'mae': 0.033349670469760895, 'rmse': 0.03852922469377518}","{'mae': 0.025340929627418518, 'rmse': 0.03868118301033974}"
val,"{'mae': 0.030479688197374344, 'rmse': 0.03057907149195671}","{'mae': 0.025746898725628853, 'rmse': 0.038832999765872955}"
train,"{'mae': 0.02312147617340088, 'rmse': 0.032443221658468246}","{'mae': 0.022375477477908134, 'rmse': 0.03429032117128372}"
val,"{'mae': 0.02097002975642681, 'rmse': 0.02098054252564907}","{'mae': 0.014794661663472652, 'rmse': 0.021112900227308273}"
train,"{'mae': 0.01195315457880497, 'rmse': 0.015303628519177437}","{'mae': 0.01260659284889698, 'rmse': 0.01823592372238636}"
val,"{'mae': 0.003171707736328244, 'rmse': 0.0032776298467069864}","{'mae': 0.01096047181636095, 'rmse': 0.015770183876156807}"
train,"{'mae': 0.008099548518657684, 'rmse': 0.010401149280369282}","{'mae': 0.009776098653674126, 'rmse': 0.014130429364740849}"
val,"{'mae': 0.008581639267504215, 'rmse': 0.008607078343629837}","{'mae': 0.008766704238951206, 'rmse': 0.01293451339006424}"
train,"{'mae': 0.01050650980323553, 'rmse': 0.013065829873085022}","{'mae': 0.00924147292971611, 'rmse': 0.013415436260402203}"
val,"{'mae': 0.004390401765704155, 'rmse': 0.004426475614309311}","{'mae': 0.00968241598457098, 'rmse': 0.014188331551849842}"
train,"{'mae': 0.015456808730959892, 'rmse': 0.020884839817881584}","{'mae': 0.01011621579527855, 'rmse': 0.014850875362753868}"
val,"{'mae': 0.001409949385561049, 'rmse': 0.0017860537627711892}","{'mae': 0.010942256078124046, 'rmse': 0.015991244465112686}"
train,"{'mae': 0.01627744920551777, 'rmse': 0.020932147279381752}","{'mae': 0.009997126646339893, 'rmse': 0.014581374824047089}"
val,"{'mae': 0.024412309750914574, 'rmse': 0.024641990661621094}","{'mae': 0.010970128700137138, 'rmse': 0.015520843677222729}"
train,"{'mae': 0.011345132254064083, 'rmse': 0.014261988922953606}","{'mae': 0.008478643372654915, 'rmse': 0.012317712418735027}"
val,"{'mae': 0.014577530324459076, 'rmse': 0.01459051575511694}","{'mae': 0.007928506471216679, 'rmse': 0.011508185416460037}"
train,"{'mae': 0.009725947864353657, 'rmse': 0.012263047508895397}","{'mae': 0.007979165762662888, 'rmse': 0.011572467163205147}"
val,"{'mae': 0.013313734903931618, 'rmse': 0.013318508863449097}","{'mae': 0.007342152297496796, 'rmse': 0.010626586154103279}"
train,"{'mae': 0.012446318753063679, 'rmse': 0.016290932893753052}","{'mae': 0.008658708073198795, 'rmse': 0.01262948289513588}"
val,"{'mae': 0.03171085566282272, 'rmse': 0.031770505011081696}","{'mae': 0.00802801176905632, 'rmse': 0.011839856393635273}"
train,"{'mae': 0.012676587328314781, 'rmse': 0.0162199717015028}","{'mae': 0.008922462351620197, 'rmse': 0.012985650449991226}"
val,"{'mae': 0.018544701859354973, 'rmse': 0.018555141985416412}","{'mae': 0.009379830211400986, 'rmse': 0.013399366289377213}"
train,"{'mae': 0.009002328850328922, 'rmse': 0.01179772149771452}","{'mae': 0.007667056284844875, 'rmse': 0.01109540555626154}"
val,"{'mae': 0.010788430459797382, 'rmse': 0.010793465189635754}","{'mae': 0.007695799693465233, 'rmse': 0.010898602195084095}"
train,"{'mae': 0.009165272116661072, 'rmse': 0.011606146581470966}","{'mae': 0.007526565343141556, 'rmse': 0.010891858488321304}"
val,"{'mae': 0.010598388500511646, 'rmse': 0.01062410231679678}","{'mae': 0.007545534987002611, 'rmse': 0.010977011173963547}"
train,"{'mae': 0.01280419435352087, 'rmse': 0.016612419858574867}","{'mae': 0.008267046883702278, 'rmse': 0.012064349837601185}"
val,"{'mae': 0.0030268682166934013, 'rmse': 0.003184797940775752}","{'mae': 0.008795604109764099, 'rmse': 0.012814711779356003}"
train,"{'mae': 0.0129703339189291, 'rmse': 0.01669699139893055}","{'mae': 0.008518906310200691, 'rmse': 0.01238540094345808}"
val,"{'mae': 0.006606112699955702, 'rmse': 0.006720894481986761}","{'mae': 0.008204834535717964, 'rmse': 0.011866985820233822}"
train,"{'mae': 0.009668933227658272, 'rmse': 0.012831713072955608}","{'mae': 0.007345736492425203, 'rmse': 0.01064120139926672}"
val,"{'mae': 0.00793828722089529, 'rmse': 0.007987143471837044}","{'mae': 0.006915308069437742, 'rmse': 0.010065355338156223}"
train,"{'mae': 0.009448057971894741, 'rmse': 0.012119347229599953}","{'mae': 0.007138737943023443, 'rmse': 0.010330624878406525}"
val,"{'mae': 0.004921159707009792, 'rmse': 0.004925659857690334}","{'mae': 0.006820551585406065, 'rmse': 0.00985512975603342}"
train,"{'mae': 0.001545283361338079, 'rmse': 0.0019315876998007298}","{'mae': 0.006472461391240358, 'rmse': 0.00935088749974966}"
