global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,std_q,mean_abs_q,mean_q_mono,std_q_mono,mean_abs_q_mono,mean_q_dipole,std_q_dipole,mean_abs_q_dipole,mean_q_quadrupole,std_q_quadrupole,mean_abs_q_quadrupole,mean_e_short,mean_e_long,mean_e_total,mean_abs_e_short,mean_abs_e_long,mean_abs_e_total,f_long_over_f_total,e_long_over_e_total
5,1,joint_warmup,5,10.0,1.0,0.04561248664541454,0.01597930689754649,-0.14264081067305345,0.02529139335899058,0.14264081067305345,-3.159346420150728e-07,0.0001620632303478419,0.00011049217167191017,-7.716835981521469e-06,0.00025332759651326226,0.00016829510927200318,40.356730133056644,-40.88923001098633,-0.5325003356933594,40.356730133056644,40.88923001098633,0.6222839813232421,0.00024248422827642264,65.70831202184944
10,1,joint_warmup,10,10.0,1.0,0.047338421524730556,0.01660358827542036,-0.14832194225604717,0.024771687481902616,0.14832194225604717,-3.5084084121104426e-07,0.00014816962242753413,0.00010458863540910758,-3.950127568812325e-06,0.00024409389369552424,0.00015931722028897358,40.70778164672851,-40.88857946777344,-0.18079823303222656,40.70778164672851,40.88857946777344,0.43101048278808596,0.00022250129409304476,94.86678654142396
15,1,joint_warmup,15,10.0,1.0,0.04758714859166155,0.016740849470480896,-0.14954879423288198,0.02237348019906157,0.14954879423288198,-4.2485652598910605e-07,0.00015011741517955554,0.00010664180007118446,3.9938908034505754e-07,0.0002476956468164518,0.00015978498114989354,40.66318490600586,-40.88841561889648,-0.2252304916381836,40.66318490600586,40.88841561889648,0.4566458511352539,0.00019164432269136962,89.5407579358161
20,1,joint_warmup,20,10.0,1.0,0.04791062296793062,0.016872627274602908,-0.15077545518141527,0.02122543929493975,0.15077545518141527,-4.5812423997678055e-07,0.00014468845568548963,0.00010414908979183588,4.197600285092799e-06,0.00024015625773705923,0.0001531483063331017,40.84525189208984,-40.88826904296875,-0.043016807556152344,40.84525189208984,40.88826904296875,0.42033248138427737,0.00018609561378053575,97.27601566339048
25,1,joint_warmup,25,10.0,1.0,0.048264282901623434,0.017001917553763103,-0.1519192620057326,0.02118973831783429,0.1519192620057326,-5.090318266481448e-07,0.00015344239038694518,0.00010907833679364278,3.4192268611290134e-06,0.0002409528699966388,0.00015415233029769017,40.862021118164066,-40.888133758544924,-0.02611248779296875,40.862021118164066,40.888133758544924,0.4281339263916016,0.0001745812174917226,95.50313870979181
30,1,joint_warmup,30,10.0,1.0,0.04762306706672934,0.01678276626065246,-0.14994592967400183,0.020618324794783142,0.14994592967400183,-5.342574343861391e-07,0.00015604581265876854,0.0001102905090038593,3.6008646317686026e-06,0.0002407943657298558,0.00015361888156487392,40.8023932800293,-40.88835339355469,-0.08596012878417969,40.8023932800293,40.88835339355469,0.4282499084472656,0.0001868868881504817,95.47778665454086
35,1,joint_warmup,35,10.0,1.0,0.04743233739188047,0.016718427731440617,-0.14938162121405968,0.020295190283938405,0.14938162121405968,-5.271609974069855e-07,0.00015486308062632401,0.00010918968247297482,4.853108227969362e-06,0.0002371886901620916,0.0001513318644120143,40.67826641845703,-40.888415405273435,-0.21014886474609376,40.67826641845703,40.888415405273435,0.4485421905517578,0.00019350177477181786,91.15846015505485
40,1,joint_warmup,40,10.0,1.0,0.04740157151095789,0.016710018940460987,-0.14931111211043138,0.020103858917840056,0.14931111211043138,-5.291369239925049e-07,0.000154542054132308,0.00010871055655372449,6.030215892510918e-06,0.00023594325139932889,0.00015058533939031455,40.83457971191406,-40.888423828125,-0.05384418487548828,40.83457971191406,40.888423828125,0.4092037124633789,0.0001880876716628717,99.92192783877603
45,1,joint_warmup,45,10.0,1.0,0.04667776171198398,0.016465437489697057,-0.14709759932297928,0.019352597716809004,0.14709759932297928,-5.317464465639578e-07,0.00015801428177503743,0.00011032543789881927,5.991472004769513e-06,0.0002374638627824616,0.0001520720845231643,40.53872729492188,-40.88866952514648,-0.3499420928955078,40.53872729492188,40.88866952514648,0.5097170562744141,0.00020661058068072687,80.21836629130463
50,1,joint_warmup,50,10.0,1.0,0.04584157679809695,0.016194767634073893,-0.14468231817392202,0.017453257683974748,0.14468231817392202,-5.172720997600267e-07,0.00015343984433676132,0.00010746070752159144,6.564171701812973e-06,0.00023335147966334154,0.0001496413455559657,40.73682626342774,-40.88893267822266,-0.15210648345947267,40.73682626342774,40.88893267822266,0.43665372467041014,0.00019809662472715912,93.64155248895669
55,1,joint_warmup,55,10.0,1.0,0.045486665354568356,0.016068357288327992,-0.14353280977102426,0.017535621222516243,0.14353280977102426,-5.287990020289539e-07,0.0001567603892280487,0.00010904139261215161,5.902426607476977e-06,0.00023457293291387587,0.0001510559756022233,40.890584014892575,-40.889063110351564,0.0015204010009765626,40.890584014892575,40.889063110351564,0.4237689056396484,0.00018577773573294785,96.48905940522579
60,1,joint_warmup,60,10.0,1.0,0.04517453021679984,0.015976834582467365,-0.142709245461684,0.016199565401705262,0.142709245461684,-5.333887939998068e-07,0.0001572251859532285,0.00010907302147302872,5.503451120323287e-06,0.000234059282728686,0.00015100907935545994,40.938233520507815,-40.88914886474609,0.04908441925048828,40.938233520507815,40.88914886474609,0.4040564956665039,0.00018711927438272682,101.19661310554643
65,1,joint_warmup,65,10.0,1.0,0.04485705026385051,0.015866397335998015,-0.14171740678640513,0.016001380219053153,0.14171740678640513,-5.305451893199904e-07,0.0001572126338460979,0.00010910214369113629,4.879271101134901e-06,0.00023263686967803614,0.00015057261677888724,41.0102412109375,-40.88926232910156,0.12097932434082032,41.0102412109375,40.88926232910156,0.4187236022949219,0.00017490293583261588,97.65215551499246
70,1,joint_warmup,70,10.0,1.0,0.0447179757147538,0.015790518948155592,-0.14104697807018574,0.017677442420000185,0.14104697807018574,-5.330469702573445e-07,0.0001558895744384644,0.00010765000614218222,4.605182321169055e-06,0.00022898901642888443,0.00014894853211366214,40.95491748046875,-40.88935595703125,0.06556159210205079,40.95491748046875,40.88935595703125,0.4183812484741211,0.00017550363034317474,97.73228629667052
75,1,joint_warmup,75,10.0,1.0,0.04503135683832285,0.01589259221003606,-0.1419688997268677,0.0182747152317682,0.1419688997268677,-5.360858594007695e-07,0.0001568123504441916,0.00010815808769219962,2.8942256592787227e-06,0.0002270349693225534,0.0001479912505700038,40.78317144775391,-40.889255493164065,-0.10608465576171874,40.78317144775391,40.889255493164065,0.4240517578125,0.00016359162110345872,96.42515268441306
80,2,lr_focus_strict,5,10.0,0.0,0.14625132302132296,0.051751485449636085,-0.46468091113750754,0.02382921383802196,0.46468091113750754,-5.421523991315507e-07,0.0001606717434410249,0.00011035401603350273,1.4078828112150614e-06,0.0002303045674003449,0.00015027955369307445,-3.0517578125e-08,-40.85231915283203,-40.85231921386719,1.220703125e-07,40.85231915283203,40.85231921386719,0.9999999913384047,0.9999999985059561
85,2,lr_focus_strict,10,10.0,0.0,0.22683057412836624,0.08031870537130242,-0.7217665006197416,0.0022392789683997427,0.7217665006197416,-5.409242913652307e-07,0.00016504019589462754,0.00011253661977557035,-1.128705648275522e-08,0.0002338610449110986,0.00015284819763440352,2.288818359375e-08,-40.822906616210936,-40.822906616210936,9.918212890625e-08,40.822906616210936,40.822906616210936,1.0000000068571375,1.0
90,2,lr_focus_strict,15,10.0,0.0,0.27733212019573517,0.09818529569185697,-0.8824686983548677,0.0008482294951916643,0.8824686983548677,-5.820200641233569e-07,0.00018942400994015058,0.0001248277819309479,-6.081562546583323e-06,0.0002514559377280114,0.00016489534790699298,-5.340576171875e-08,-40.80382333374023,-40.803823455810544,1.2969970703125e-07,40.80382333374023,40.803823455810544,0.9999999152022506,0.999999997008361
95,2,lr_focus_strict,20,10.0,0.0,4.318233395007717,2.6067415719317575,-1.2451713280310999,0.0021796120910398315,1.2451713280310999,-0.003628427144808647,1.1169099673346372,0.7161419372558594,-0.5108436403714693,5.72965038546537,4.01341542593149,-6.556510925292969e-09,0.6341567311286926,0.6341567225456238,1.3753175735473634e-06,0.7129477663040161,0.7129477796554565,1.000000082816795,0.9999999812729056
100,2,lr_focus_strict,25,10.0,0.0,4.516865821201985,2.8943863348023506,-1.2472364138089693,0.007380854523881105,1.2472364138089693,-0.009784505893022585,2.315693506709648,1.6480105215219352,-0.6266253892164964,5.798902517084093,3.971641845703125,-4.947185516357422e-09,0.11310816109180451,0.11310815823078156,1.3657212257385254e-06,0.4268221564292908,0.4268221573829651,1.0000000116848338,0.9999999977656401
105,2,lr_focus_strict,30,10.0,0.0,4.601326732306211,3.0144555038060896,-1.2409212540846604,0.008619539470497543,1.2409212540846604,-0.010871350899720803,2.824377870934149,2.0475895041441308,-0.6559538907564604,5.785882829282208,3.9492819110576924,-2.0682811737060545e-08,0.05192935174703598,0.051929330229759214,1.3394951820373535e-06,0.402430403470993,0.40243030118942263,0.999999785755077,1.0000002541597144
110,2,lr_focus_strict,35,10.0,0.0,4.424065078297569,2.9552513897235575,-1.237732879638672,0.006050173301885466,1.237732879638672,-0.010685479213029911,2.964283522266487,2.1782972662510014,-0.663594257061298,5.488111394339832,3.764927546574519,-7.271766662597656e-08,-0.2960245108604431,-0.29602458238601687,1.2221336364746095e-06,0.49522459411621095,0.4952246012687683,1.000000018754053,0.9999999855569426
115,2,lr_focus_strict,40,10.0,0.0,4.625077763623815,3.101725126869658,-1.2286140823364258,0.003904419241120646,1.2286140823364258,-0.01033875316228622,3.2601901372572906,2.408888155423678,-0.6916471613957331,5.685054318841033,3.8920494779146635,-1.468658447265625e-07,-0.07476563477516174,-0.0747657812833786,1.3773441314697266e-06,0.42418471217155457,0.4241847348213196,1.0000006219180841,0.9999999466040073
120,2,lr_focus_strict,45,10.0,0.0,4.6585496405419855,3.1507969876802884,-1.2163273561917818,0.002879719989441638,1.2163273561917818,-0.010509679280794583,3.432153943095001,2.5521868865184296,-0.6983358168381911,5.674436942585988,3.8968569373497597,1.347064971923828e-07,-0.031009745240211488,-0.031009607911109925,1.3613700866699219e-06,0.4066546664237976,0.4066547420024872,1.0000000056746807,0.9999998141453136
125,2,lr_focus_strict,50,10.0,0.0,4.546899120256984,3.1002487000033385,-1.2092570078923153,0.002015876523164841,1.2092570078923153,-0.009563600540161133,3.4554698365223486,2.5850699494190703,-0.6868848919208234,5.499294054344961,3.7875543419471156,5.424022674560547e-08,-0.13505231142044066,-0.1350522562265396,1.2704133987426758e-06,0.4440569624900818,0.4440569815635681,0.9999999992959573,0.9999999570472099
130,2,lr_focus_strict,55,10.0,0.0,4.639105010437195,3.1723205962873933,-1.2010205852801983,0.0020873907173309192,1.2010205852801983,-0.009435646595099033,3.6022608808254906,2.7054790931114785,-0.6997197143554688,5.582186880299381,3.846685460486779,-2.231597900390625e-07,0.03654858863353729,0.03654836416244507,1.332998275756836e-06,0.42234311294555665,0.42234306144714356,1.0,1.000000121935028
135,2,lr_focus_strict,60,10.0,0.0,4.570392853300274,3.139536804720887,-1.2017791079007663,0.0015333556173816338,1.2017791079007663,-0.008391619951297075,3.604384882627184,2.705045137845553,-0.6784173475999099,5.47627586282148,3.7877833514873798,-2.1338462829589843e-08,0.10597684860229492,0.10597682785987854,1.2096166610717774e-06,0.4099143562316895,0.4099143822193146,0.9999999291214776,0.9999999366023096
140,2,lr_focus_strict,65,10.0,0.0,4.499535727698165,3.10336825796274,-1.2025857620239258,0.0012395338057264779,1.2025857620239258,-0.007428794200603778,3.6017849245100524,2.7104446724133613,-0.6725653836763822,5.370031113938118,3.7192789400540867,3.4332275390625e-08,-0.02806003451347351,-0.028059996128082274,1.291990280151367e-06,0.4182251777648926,0.4182251617908478,0.9999999910288788,1.000000038194844
145,2,lr_focus_strict,70,10.0,0.0,4.556475800997135,3.145576856303419,-1.1979010127140926,0.0012696787109960893,1.1979010127140926,-0.0071072017229520355,3.7153877836253297,2.795317946213942,-0.6723666710486779,5.4099490818777225,3.7452673414963944,8.189678192138673e-08,-0.027449324607849122,-0.0274492427110672,1.3135671615600586e-06,0.417711966753006,0.4177118811607361,1.000000017111791,1.0000002049074344
150,2,lr_focus_strict,75,10.0,0.0,4.537019542346761,3.1437782681456996,-1.1929234865628755,0.0008301707872587898,1.1929234865628755,-0.006967631535652356,3.7682114415128987,2.8497110282702325,-0.679824623460036,5.359178401025145,3.710389520733173,1.2695789337158202e-07,0.04790198600292206,0.04790211236476898,1.2987852096557617e-06,0.4130888845920563,0.41308893585205075,1.0000002137900126,0.9999998759105121
155,2,lr_focus_strict,80,10.0,0.0,4.567295705183722,3.173637465778579,-1.1898492138202375,0.0003761270704468666,1.1898492138202375,-0.006319818252172225,3.8536678043617356,2.9197130095653043,-0.6828714909480168,5.369330599594365,3.7227497802734373,-6.7949295043945315e-09,0.004179068326950073,0.004179062008857727,1.2689828872680664e-06,0.41193394947052003,0.41193395495414736,1.0,0.999999986688091
160,2,lr_focus_strict,85,10.0,0.0,4.524495870161099,3.152032894297543,-1.1888854446411132,0.0002511679342216206,1.1888854446411132,-0.00586881833198743,3.8762316251843525,2.9400621369190705,-0.656059130859375,5.291264675480294,3.671844903094952,1.3113021850585937e-09,-0.007779709696769714,-0.00777970814704895,1.2754201889038086e-06,0.4139469809532165,0.4139469366073608,1.000000006241271,1.0000001071293245
165,2,lr_focus_strict,90,10.0,0.0,4.486730395674809,3.1400265090811965,-1.1859820709228515,0.00013312204782489775,1.1859820709228515,-0.005715258182623448,3.884808064617642,2.95638189853766,-0.6575060110238882,5.229448529824319,3.641022128530649,7.62939453125e-09,0.024235527873039245,0.024235536098480226,1.2962818145751954e-06,0.41675791907310483,0.4167578432559967,1.00000000563827,1.000000181921251
170,2,lr_focus_strict,95,10.0,0.0,4.4572216760455765,3.1206924370659723,-1.1865911935659554,0.0,1.1865911935659554,-0.005072703092526167,3.8950072053601765,2.970443813226162,-0.672256064077524,5.180612220942042,3.597661857722356,9.620189666748047e-08,-0.09858914661407471,-0.09858905172348023,1.326441764831543e-06,0.4232352957725525,0.4232352123260498,1.0000000663552377,1.0000001971634218
175,2,lr_focus_strict,100,10.0,0.0,4.533460682116609,3.181966079059829,-1.1859359089778019,0.0,1.1859359089778019,-0.005072835702162523,4.020284430116663,3.057485292092348,-0.6716869746281551,5.241867447669991,3.6558605712890624,3.027915954589844e-08,-0.24482840764522554,-0.24482837748527528,1.2857913970947265e-06,0.46839269399642947,0.4683926730155945,1.0000000939726388,1.0000000447932604
180,2,lr_focus_strict,105,10.0,0.0,4.473084653831776,3.149172283987714,-1.1844343965970552,0.00014842680377234895,1.1844343965970552,-0.004782878729013296,4.007973129622058,3.0506049131735775,-0.6643584923377404,5.152719050344085,3.601260261418269,-3.5762786865234374e-08,-0.05273404622077942,-0.0527340829372406,1.276254653930664e-06,0.40561343693733215,0.40561346769332884,1.000000004262,0.9999999241741235
185,2,lr_focus_strict,110,10.0,0.0,4.486193031717819,3.162640165932158,-1.183680146437425,7.7144575081038e-05,1.183680146437425,-0.004660463895553198,4.026138300329661,3.066849335499299,-0.6462627990722656,5.162991774106869,3.6159066518930287,2.9325485229492187e-08,-0.12775127732753755,-0.12775124895572662,1.2683868408203126e-06,0.4342669677734375,0.43426707983016966,0.9999999986025925,0.9999997419635579
190,2,lr_focus_strict,115,10.0,0.0,4.551699421090467,3.2094755421173877,-1.184025767986591,0.00017108888712603755,1.184025767986591,-0.0043351960059924005,4.136018237384352,3.1488560290214345,-0.6538536395733173,5.214523507345024,3.650937176983173,6.937980651855468e-08,-0.14759797954559326,-0.14759791052341462,1.2748241424560548e-06,0.4376528069972992,0.43765287137031555,0.999999966241456,0.999999852913072
195,2,lr_focus_strict,120,10.0,0.0,4.460546549654957,3.152197513938969,-1.1816960930457483,0.00013616696264261028,1.1816960930457483,-0.004038576786334698,4.064818792443846,3.0920189678485577,-0.6675260695237379,5.106567746504439,3.5824049447866586,1.0073184967041015e-07,0.07939085638523102,0.07939095795154572,1.212000846862793e-06,0.4022766361236572,0.40227655267715456,0.999999999290012,1.000000207435661
200,2,lr_focus_strict,125,10.0,0.0,4.500255950056745,3.1818575846354165,-1.1799586780254658,0.0,1.1799586780254658,-0.0037975747279631786,4.1525553301831355,3.163295081505409,-0.659879931640625,5.1261690461340885,3.593374842247596,-2.0396709442138673e-07,0.09006583416461944,0.09006562972068786,1.2258291244506835e-06,0.41758145809173586,0.41758145117759704,0.9999999992943824,1.0000000165575813
205,2,lr_focus_strict,130,10.0,0.0,4.450560110864717,3.1555593887720352,-1.1789041090745191,0.0,1.1789041090745191,-0.0033441795446933842,4.1366745245178365,3.1479648797450923,-0.6374664963942308,5.053103925792123,3.555447141676683,-1.1456012725830078e-07,-0.0413722630739212,-0.0413723748922348,1.2770891189575194e-06,0.42711865091323853,0.4271185760498047,1.0000000297925427,1.0000001752755279
210,2,lr_focus_strict,135,10.0,0.0,4.461017421940147,3.1672462857238246,-1.1768215866088867,0.00022015591344238795,1.1768215866088867,-0.00351608943939209,4.173267110838395,3.178398451585036,-0.5923644129826472,5.047485864436144,3.5586399939903846,-9.1552734375e-08,0.12171776711940765,0.12171767711639404,1.2421607971191406e-06,0.389934068441391,0.3899339940547943,1.000000000715448,1.0000001907671499
