atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7109293938e-01,-4.4265094399e-01,-4.7251409851e-03,9.3729734421e-01,5.7621860504e-01,6.7700862885e-01,-5.1428866386e-01,8.7134212255e-01,2.9148349166e-01,-5.8676850796e-01,-1.2135219574e+00,7.3671378195e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,1.1743290424e+00,-1.0530989384e-03,-3.0483939918e-04,5.6768949144e-03,2.0132116042e-03,-1.1125975288e-02,7.8358678147e-03,-9.0479012579e-03,2.9648852069e-03,6.8866554648e-03,8.7643420696e-01,1.9526645541e-01
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,1.1761851311e+00,-4.8658109154e-04,-4.8155989498e-04,5.6483820081e-03,1.8137588631e-03,-1.1549706571e-02,8.2823922858e-03,-7.6919752173e-03,3.7982396316e-03,7.0326854475e-03,8.7354296446e-01,1.9339616597e-01
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7048145533e-01,-1.3118620031e-02,-3.7625845522e-02,1.4729759097e-01,2.8410378844e-02,-4.4265626930e-03,3.6295421422e-02,1.6983941197e-02,1.6024821671e-03,2.5508295745e-02,-6.7277204990e-01,3.8904190063e-01
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7084417939e-01,-8.6757177487e-03,6.4689703286e-03,-8.7671459187e-04,-1.5037719277e-04,5.0255037844e-02,3.6741457880e-02,-3.0414832756e-02,-3.7288896739e-02,1.4161806554e-02,-4.0621587634e-01,2.1759510040e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7072890401e-01,-1.4046877623e-02,8.4576588124e-03,1.0374157690e-02,9.0448865667e-03,5.0002936274e-02,4.1368730366e-02,-3.2235018909e-02,-1.5720034018e-02,1.7539383844e-02,-4.4895866513e-01,2.4103493989e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7033429146e-01,-2.3072252050e-02,2.1459944546e-03,-2.3893311154e-03,5.2577238530e-03,3.5911343992e-02,2.0513070747e-02,1.9796970300e-03,1.4236094430e-02,3.4152656794e-02,-6.6446977854e-01,2.2848486900e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7043189406e-01,-1.8421167508e-02,-8.7392004207e-03,3.0495305546e-03,1.4280174859e-02,3.7056058645e-02,4.9711126834e-02,-1.6761893407e-02,1.7908168957e-02,2.4993517436e-03,-6.3563960791e-01,3.4334173799e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7048753500e-01,-1.4673734084e-02,3.3590097446e-03,5.2104885690e-03,1.4075469226e-02,4.0202993900e-02,4.7930177301e-02,-1.2558833696e-02,1.4024496078e-02,3.4421232995e-03,-6.3968509436e-01,3.3008909225e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.7046703100e-01,-1.9252697006e-02,4.9871444702e-02,-1.2813866138e-01,4.8088416457e-02,8.6472285911e-03,-1.2375277467e-02,1.5853030607e-02,2.2280907258e-02,6.6212159581e-03,-8.3562076092e-01,3.7717267871e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,1.1791019440e+00,-2.4956003763e-03,3.9047494065e-03,-5.3480411880e-03,2.7484563179e-03,-9.3930521980e-03,-1.6730936244e-02,7.3850951158e-03,2.0628978964e-03,8.0916834995e-03,8.8417577744e-01,1.9492819905e-01
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,1.1772842407e+00,-1.7339158803e-03,3.1612231396e-03,-5.3215501830e-03,2.7103601024e-03,-7.9049058259e-03,-1.6253802925e-02,7.2429464199e-03,2.4047812913e-03,7.5052161701e-03,8.8180840015e-01,1.9692210853e-01
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-4.6945118904e-01,-4.5412883162e-01,5.5462443829e-01,-7.5550484657e-01,5.9977030754e-01,5.9006673098e-01,7.2937500477e-01,-2.0622630417e-01,-6.5255886316e-01,-7.7252453566e-01,-9.4356244802e-01,1.9973446429e-01
