Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  220002 |  9.63e-04 |     -- |  8.73e+00 |  1.14e+01 |     -- |  2.72e+01 |  4.24e+01
  224002 |  9.38e-04 |     -- |  7.12e+00 |  9.34e+00 |     -- |  2.77e+01 |  4.23e+01
  228002 |  9.72e-04 |     -- |  8.70e+00 |  1.11e+01 |     -- |  2.76e+01 |  4.27e+01
  232002 |  9.37e-04 |     -- |  8.29e+00 |  1.05e+01 |     -- |  2.70e+01 |  4.20e+01
  236002 |  9.15e-04 |     -- |  8.30e+00 |  1.04e+01 |     -- |  2.68e+01 |  4.15e+01
  240002 |  9.35e-04 |     -- |  8.22e+00 |  1.04e+01 |     -- |  2.69e+01 |  4.20e+01
  244002 |  9.37e-04 |     -- |  7.50e+00 |  9.91e+00 |     -- |  2.69e+01 |  4.21e+01
  248002 |  8.89e-04 |     -- |  6.83e+00 |  8.81e+00 |     -- |  2.68e+01 |  4.12e+01
  252002 |  8.84e-04 |     -- |  9.11e+00 |  1.12e+01 |     -- |  2.63e+01 |  4.05e+01
  256002 |  8.97e-04 |     -- |  7.98e+00 |  1.01e+01 |     -- |  2.66e+01 |  4.11e+01
  260002 |  8.36e-04 |     -- |  7.04e+00 |  9.16e+00 |     -- |  2.59e+01 |  3.98e+01
  264002 |  8.77e-04 |     -- |  8.23e+00 |  1.07e+01 |     -- |  2.64e+01 |  4.05e+01
  268002 |  8.66e-04 |     -- |  8.31e+00 |  1.08e+01 |     -- |  2.61e+01 |  4.02e+01
  272002 |  8.92e-04 |     -- |  8.15e+00 |  1.05e+01 |     -- |  2.62e+01 |  4.09e+01
  276002 |  8.47e-04 |     -- |  7.69e+00 |  9.65e+00 |     -- |  2.61e+01 |  4.00e+01
  280002 |  8.32e-04 |     -- |  7.00e+00 |  9.09e+00 |     -- |  2.58e+01 |  3.98e+01
  284002 |  8.68e-04 |     -- |  8.34e+00 |  1.09e+01 |     -- |  2.61e+01 |  4.02e+01
  288002 |  8.39e-04 |     -- |  7.74e+00 |  9.70e+00 |     -- |  2.58e+01 |  3.98e+01
  292002 |  7.84e-04 |     -- |  8.70e+00 |  1.09e+01 |     -- |  2.49e+01 |  3.81e+01
  296002 |  8.11e-04 |     -- |  6.63e+00 |  8.66e+00 |     -- |  2.56e+01 |  3.93e+01
  300002 |  8.28e-04 |     -- |  8.06e+00 |  1.02e+01 |     -- |  2.57e+01 |  3.94e+01
  304002 |  8.06e-04 |     -- |  8.15e+00 |  1.06e+01 |     -- |  2.51e+01 |  3.87e+01
  308003 |  8.15e-04 |     -- |  7.88e+00 |  1.02e+01 |     -- |  2.55e+01 |  3.91e+01
  312004 |  7.78e-04 |     -- |  7.14e+00 |  9.14e+00 |     -- |  2.50e+01 |  3.84e+01
  316004 |  8.22e-04 |     -- |  8.76e+00 |  1.10e+01 |     -- |  2.57e+01 |  3.90e+01
  320005 |  7.51e-04 |     -- |  7.54e+00 |  9.71e+00 |     -- |  2.46e+01 |  3.75e+01
  324005 |  8.17e-04 |     -- |  7.41e+00 |  9.74e+00 |     -- |  2.55e+01 |  3.92e+01
  328005 |  7.77e-04 |     -- |  6.93e+00 |  8.94e+00 |     -- |  2.51e+01 |  3.84e+01
  332005 |  7.28e-04 |     -- |  7.30e+00 |  9.27e+00 |     -- |  2.43e+01 |  3.70e+01
  336005 |  7.65e-04 |     -- |  8.64e+00 |  1.07e+01 |     -- |  2.47e+01 |  3.76e+01
  340005 |  7.73e-04 |     -- |  7.85e+00 |  9.89e+00 |     -- |  2.49e+01 |  3.81e+01
  344005 |  7.94e-04 |     -- |  7.81e+00 |  9.98e+00 |     -- |  2.52e+01 |  3.86e+01
  348005 |  7.27e-04 |     -- |  7.90e+00 |  1.01e+01 |     -- |  2.41e+01 |  3.67e+01
  352005 |  7.36e-04 |     -- |  6.80e+00 |  8.87e+00 |     -- |  2.42e+01 |  3.73e+01
  356005 |  7.52e-04 |     -- |  7.75e+00 |  9.64e+00 |     -- |  2.46e+01 |  3.76e+01
  360005 |  7.44e-04 |     -- |  7.15e+00 |  9.22e+00 |     -- |  2.46e+01 |  3.75e+01
  364005 |  7.50e-04 |     -- |  6.98e+00 |  9.07e+00 |     -- |  2.47e+01 |  3.77e+01
  368005 |  7.17e-04 |     -- |  6.83e+00 |  8.66e+00 |     -- |  2.43e+01 |  3.69e+01
  372005 |  7.29e-04 |     -- |  8.32e+00 |  1.05e+01 |     -- |  2.40e+01 |  3.67e+01
  376005 |  7.23e-04 |     -- |  8.75e+00 |  1.09e+01 |     -- |  2.38e+01 |  3.64e+01
  380005 |  6.98e-04 |     -- |  7.48e+00 |  9.41e+00 |     -- |  2.41e+01 |  3.62e+01
  384005 |  6.91e-04 |     -- |  5.93e+00 |  7.95e+00 |     -- |  2.36e+01 |  3.63e+01
