step,epoch_est,q0_mean,q0_std,q0_abs_mean,q1_norm_mean,q1_norm_std,q2_norm_mean,q2_norm_std,sr_energy_sum,sr_energy_mean,lr_energy_sum,lr_energy_mean,e_total_sum,e_long_over_e_total,f_long_over_f_total
4005,2.0025,-0.0489159080719,0.07428734535477081,0.05377367035874615,1.0417413006771342e-05,1.0989264724993755e-05,2.235700364041219e-05,2.28337701586594e-05,-3.884719565506,-0.298824581962,4.12118573487,0.3170142872976923,0.23646616936400022,17.42822555105598,
8010,4.005,0.01995637439776923,0.139301881694899,0.11462007233761538,0.0006784463316844645,0.0006191751777546997,0.0036012127782960065,0.0035799784916212634,-3.941188082108,-0.3031683140083077,2.70947876572,0.2084214435169231,-1.2317093163879997,2.199771268813306,
12015,6.0075,0.14760483887384618,0.38919457745349,0.28787858010461537,0.001712923202337265,0.001908607700992973,0.010889268707674649,0.014610192846499299,-3.209589511157,-0.24689150085823078,2.64194735885,0.20322671991153846,-0.5676421523070001,4.654248011907941,
16020,8.01,0.11666584759915385,0.2786702822741281,0.2016295120116154,0.0032605810115126713,0.0030783945410439257,0.01599392257196466,0.021266754119469575,-2.30104884506,-0.1770037573123077,2.58697713911,0.19899824147,0.2859282940500001,9.047643038284336,
20025,10.0125,0.0035858016723077177,1.8073553929816057,1.6000663821430772,0.032332651602601625,0.038093728026728446,0.09656998175755777,0.12072942380547744,-2.2621599882741,-0.17401230679031537,2.31040644645,0.17772357280384615,0.04824645817590012,47.88758664991672,
24030,12.015,0.13599189542707693,0.2559432222855646,0.25565663782400005,0.10122746999909002,0.16250491444073098,0.28730153929906194,0.42366158279500415,-1.9551861882325,-0.15039893755634615,2.04345799983,0.15718907691,0.0882718115975003,23.14960985674239,
28035,14.0175,-0.013047119745384618,0.42667216506464456,0.38057072575307693,0.11443807344616859,0.20025973871881625,0.35171980071349424,0.61108610069699,-1.2109764292869998,-0.0931520330220769,1.47264962643,0.11328074049461538,0.2616731971430002,5.6278199009630345,
32040,16.02,-0.08440086295673077,0.19810835938528787,0.14169382762433075,0.17155843551878755,0.34586291898774746,0.5030134106296621,1.02073709464178,-0.38502615689319,-0.029617396684091538,1.300121121095,0.1000093170073077,0.9150949642018101,1.420749946131578,
36045,18.0225,0.06273012696047692,0.0650420635662442,0.0650760233223077,0.18686590224007565,0.3885655558225783,0.5524752561666803,1.1708595838060822,-1.176121495659,-0.09047088428146154,1.310460358859,0.10080464298915384,0.1343388632,9.754886468765354,
40050,20.025,0.04404621599961538,0.20269949671519782,0.1634819155126923,0.24388732333242924,0.5270110128282937,0.7513830026555046,1.6569017782402233,-1.0786772966312,-0.08297517666393846,1.213727757328,0.09336367364061539,0.13505046069680016,8.987216711929053,
44055,22.0275,0.12067367480307692,0.5730026016219142,0.4606101512907692,0.2211049896052584,0.4824806117994299,0.6357486017468097,1.4296044874352056,-0.9166399240560001,-0.07051076338892309,1.037796892225,0.07983053017115385,0.1211569681689999,8.565721872285495,
48060,24.03,0.01622262195946154,0.236743608246079,0.20209821084515384,0.3917000618664171,0.8562759364644339,1.0650503457748726,2.399866515016231,-1.0291815549057,-0.07916781191582307,1.1423963979,0.0878766459923077,0.11321484299430007,10.090517883397279,
52065,26.0325,0.0360616009976923,0.10506827492540029,0.10107063444815385,0.36530592384946,0.8138643981304832,0.9376455203781384,2.165049691494919,-0.6419239491339999,-0.04937876531799999,0.982811819757,0.07560090921207693,0.3408878706230002,2.8830941328620225,
56070,28.035,0.020836643588,0.11999385544580678,0.11121581981876924,0.5298799990075476,1.1960371759147288,1.4029337432395839,3.2535886014473108,-0.8253257572611999,-0.06348659671239999,0.773766051976,0.059520465536615386,-0.05155970528519993,15.007185314499992,
60075,30.0375,0.032070661967692295,0.5553041290197418,0.5039649170184616,0.48452760571137976,1.0878506097513303,1.1990201076764064,2.7864335206382767,-0.52230274678101,-0.04017713436777,0.48916670307599996,0.037628207928923074,-0.03313604370501,14.762374996567273,
64080,32.04,-0.04930465281638462,0.19531595740754062,0.15174284563130772,0.5531338720863546,1.2643104610103588,1.4129535710440397,3.3221247792242146,-0.601928621526,-0.046302201655846156,0.6665439605726999,0.05127261235174615,0.06461533904669992,10.31556856942225,
68085,34.0425,0.02725422496983077,0.04884842061123235,0.04545421525844614,0.40004742289278156,0.9063429936313149,1.0185285917946136,2.4032643925088855,-0.5622843355049001,-0.04325264119268462,0.485549055041,0.03734992731084615,-0.0767352804639001,6.327585591733455,
72090,36.045,0.06660398496984615,0.12435358969863661,0.13021778372446155,0.4608819233987707,1.0360884592123687,1.0468828057471904,2.450255949697844,-0.09539262949400001,-0.007337894576461539,0.387037375942,0.029772105841692306,0.291644746448,1.3270850260661509,
76095,38.0475,-0.0516339574876923,0.38878104575322875,0.3247916939169231,0.5330897004414756,1.2144586266865618,1.3386688721152988,3.1469089090314313,-0.053688943373000064,-0.004129918721000005,0.10944280051656001,0.008418676962812309,0.055753857143559946,1.96296375037797,
80100,40.05,0.04294504053361538,0.12430707590346342,0.12301084112592306,0.5506570301401665,1.2820403819059034,1.3407558569198768,3.1896470511816504,0.11246050893399995,0.008650808379538457,0.32714501395900003,0.025165001073769233,0.439605522893,0.7441785803920101,
84105,42.0525,0.07319905924142309,0.05147182000018311,0.07319905924142307,0.8615987930071387,1.9708754635413233,1.9083418873299733,4.499365127991851,-0.34019595383999995,-0.02616891952615384,0.31247494742299997,0.024036534417153844,-0.027721006416999983,11.272135748699725,
88110,44.055,-0.013167024231615383,0.15248162683226066,0.12996936474838464,0.594997835581757,1.378499057521407,1.37295057331251,3.292389427642541,-0.2031889259709999,-0.01562991738238461,0.37918811664,0.029168316664615387,0.1759991906690001,2.154487842805682,
92115,46.0575,0.005223819843769231,0.13646542663132968,0.1226491744699231,0.5551075145267356,1.283237691823004,1.2743217320656905,3.0365079050452266,0.14698188005699997,0.011306298465923074,0.246708285064,0.01897756038953846,0.39369016512099997,0.6266559516115284,
96120,48.06,0.07094141138846154,0.0620195217711929,0.08017098574092306,0.4652300276488092,1.0680698404424696,1.0621146074900276,2.5354815185342927,-0.16195176543400014,-0.012457828110307703,0.36080590263,0.027754300202307694,0.19885413719599987,1.8144249233013088,
100125,50.0625,0.012834945263538462,0.11534177507647363,0.10530137987123078,0.8100562098917045,1.8873668242117683,1.9386234080279676,4.6916231097256,-0.22812541574099987,-0.017548108903153836,0.26293337345,0.020225644111538463,0.03480795770900014,7.553829375689413,
104130,52.065,0.04556405401,0.009906087510485464,0.045564054009999994,0.2931340184398488,0.6711796176091362,0.6690573031215183,1.6040470293057991,0.15811505913699997,0.012162696856692305,0.0737732625575,0.005674866350576923,0.23188832169449997,0.31814134501646957,
108135,54.0675,0.012289001391538459,0.34492585929702535,0.31042404816692304,0.5031624366288548,1.163629344486771,1.1538340112495513,2.784165460630916,-0.25840210915339995,-0.019877085319492303,0.21349019557200002,0.016422322736307695,-0.044911913581399926,4.7535314919294835,
112140,56.07,0.027788877057330772,0.022093625653710595,0.027788877057330772,0.601866445208225,1.411389204458198,1.3654422443448415,3.2987805131644805,0.14008893072400003,0.010776071594153848,0.239553146063,0.01842716508176923,0.379642076787,0.6309973543775613,
116145,58.0725,0.09631857462215385,0.0915407981862272,0.09631857462215385,1.011156339476541,2.397861238813661,2.456421446367608,5.964737441072155,-0.08155563473600003,-0.006273510364307695,0.266959611326,0.020535354717384616,0.18540397658999996,1.4398807201225847,
120150,60.075,-0.050992821271538466,0.27018697487955734,0.22000262141307692,0.7110593979000606,1.631841746104786,1.6037292580367681,3.843954439017179,-0.04037551582320004,-0.003105808909476926,0.179422754794,0.01380175036876923,0.13904723897079996,1.2903726540854144,
124155,62.0775,-0.014574117957846154,0.16572402501183336,0.14136130248061538,0.7014049211757049,1.6414405830496002,1.6413236079558369,3.956559362852929,0.023352965718999974,0.0017963819783846134,0.235821262003,0.018140097077153847,0.25917422772199994,0.9098947224642675,
128160,64.08,-0.009082331680307691,0.17406724430500461,0.15084453213507693,0.582106207682875,1.353350085968093,1.3699688296723183,3.249189786209794,-0.03287416697299994,-0.0025287820748461495,0.168117847293,0.012932142099461539,0.13524368032000006,1.243073590538326,
132165,66.0825,0.013824483164846154,0.012385590509246638,0.015961817895615384,0.46611657724159955,1.068109625362239,1.056456380540134,2.5104019679610334,0.24609763920299998,0.018930587630999998,0.09380961582,0.007216124293846154,0.339907255023,0.27598591802240974,
